#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.0666933 0 8.625 8.875 142488
9.00 0 0.10128 0 8.875 9.125 235032
9.25 0 0.0836163 0 9.125 9.375 884923
9.50 7.3363e-07 0.0615908 -1.10045e-06 9.375 9.625 2.72617e+06
9.75 1.3153e-05 0.0785426 2.50531e-06 9.625 9.875 4.78977e+06
10.00 2.73881e-05 0.0662279 1.4567e-05 9.875 10.125 3.97983e+06
10.25 8.30542e-05 0.0617409 7.28683e-05 10.125 10.375 2.55255e+06
10.50 0.000387007 0.0699 0.000352525 10.375 10.625 1.58395e+06
10.75 0.00134136 0.0715317 0.00113865 10.625 10.875 914000
11.00 0.00434329 0.0710076 0.00328122 10.875 11.125 493174
11.25 0.0126036 0.069193 0.00768649 11.125 11.375 260958
11.50 0.0299142 0.0675685 0.0146214 11.375 11.625 135755
11.75 0.0677812 0.0628383 0.0248267 11.625 11.875 69208
12.00 0.136112 0.0689768 0.0290564 11.875 12.125 33950
12.25 0.250251 0.0663667 0.0433174 12.125 12.375 15944
12.50 0.405558 0.0745606 0.0577379 12.375 12.625 7089
12.75 0.571328 0.0997796 0.0751854 12.625 12.875 2853
13.00 0.718838 0.101313 0.0890347 12.875 13.125 1067
13.25 0.855385 0.0738462 0.113846 13.125 13.375 325
13.50 0.938144 0.0309278 0.072165 13.375 13.625 97
13.75 1 0 0 13.625 13.875 12
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
