#Peak halo mass range: 9.875 < log10(Mh/Msun) < 10.125
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
0.597310 0.00284559 0.0346311 0.0027034 0.0115106 0.0825819 0.0113105 2.53058e+06 475649
0.592248 0.00255238 0.0351095 0.00240822 0.0100221 0.0832491 0.0097992 2.53058e+06 475649
0.587185 0.00219317 0.0353992 0.00206565 0.00823506 0.0832747 0.00805375 2.53058e+06 475649
0.582123 0.00181302 0.03594 0.00169653 0.00682436 0.083148 0.00662985 2.53058e+06 475649
0.577060 0.00142576 0.036601 0.00131597 0.00529172 0.0834691 0.00514367 2.53058e+06 475649
0.571997 0.00100096 0.0347968 0.000892654 0.0036897 0.0814364 0.0035378 2.53058e+06 475649
0.566935 0.000702605 0.0338186 0.000605097 0.00251025 0.0792628 0.00236797 2.53058e+06 475649
0.561872 0.000428755 0.0335973 0.000337946 0.00146537 0.0787901 0.00131024 2.53058e+06 475649
0.556810 0.000193631 0.0335169 0.000100694 0.000603386 0.0783888 0.000449384 2.53058e+06 475649
0.551747 8.97027e-05 0.0333792 5.07862e-09 0.000163986 0.0771039 1.95679e-05 2.53058e+06 475649
0.546685 8.89124e-05 0.0330279 0 0.000161884 0.0747936 1.96262e-05 2.53058e+06 475649
0.541622 8.29849e-05 0.0342419 -1.52482e-06 0.000155577 0.0749083 2.19041e-05 2.53058e+06 475649
0.536560 7.98236e-05 0.0340422 -3.74428e-07 0.00014086 0.0735636 1.80688e-05 2.53058e+06 475649
0.531497 7.98236e-05 0.0333151 5.38937e-06 0.000134553 0.0716705 1.8781e-05 2.53058e+06 475649
0.526435 6.75734e-05 0.0333697 0 0.000128246 0.0704122 1.58388e-05 2.53058e+06 475649
0.521372 6.75734e-05 0.0327435 0 0.000128246 0.0685146 1.7997e-05 2.53058e+06 475649
0.516310 6.32266e-05 0.0323348 2.75239e-06 0.000109324 0.065302 1.59896e-05 2.53058e+06 475649
0.511247 6.63879e-05 0.0319398 4.2883e-06 0.000109324 0.0640425 1.87201e-05 2.53058e+06 475649
0.506185 7.11299e-05 0.0315296 9.77029e-06 9.25052e-05 0.062262 0 2.53058e+06 475649
0.501122 6.71782e-05 0.0310304 6.81417e-06 8.40956e-05 0.0605943 6.18456e-07 2.53058e+06 475649
0.496060 6.00653e-05 0.0310754 4.05224e-06 8.19932e-05 0.0588986 4.50034e-06 2.53058e+06 475649
0.490997 6.24363e-05 0.0306659 7.66798e-06 7.56861e-05 0.0575728 2.98014e-06 2.53058e+06 475649
0.485935 5.53233e-05 0.0302874 8.32551e-06 6.09693e-05 0.0564076 -5.86607e-06 2.53058e+06 475649
0.480872 5.29523e-05 0.0301635 1.24402e-05 6.09693e-05 0.0557634 2.2444e-06 2.53058e+06 475649
0.475810 5.17668e-05 0.0298476 1.63243e-05 6.09693e-05 0.0548098 1.49033e-05 2.53058e+06 475649
0.470747 4.54441e-05 0.0301908 1.30505e-05 5.67645e-05 0.0539128 9.6662e-06 2.53058e+06 475649
0.465685 4.93958e-05 0.0300926 1.9384e-05 5.67645e-05 0.0529017 1.65586e-05 2.53058e+06 475649
0.460622 4.50489e-05 0.0298559 1.77814e-05 6.30717e-05 0.0518053 2.23467e-05 2.53058e+06 475649
0.455560 3.83311e-05 0.0306021 1.19529e-05 6.51741e-05 0.050762 2.51185e-05 2.53058e+06 475649
0.450497 3.71456e-05 0.0308297 1.32232e-05 6.51741e-05 0.0499725 2.92622e-05 2.53058e+06 475649
0.445435 3.35891e-05 0.0311196 1.31463e-05 6.09693e-05 0.0498943 2.2295e-05 2.53058e+06 475649
