#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0227273 0.0471618 0.0227273 8.625 8.875 28116
9.00 0.0325449 0.0723691 0.0324844 8.875 9.125 49593
9.25 0.0280514 0.0681096 0.0280471 9.125 9.375 235033
9.50 0.0238072 0.0572861 0.0237724 9.375 9.625 889814
9.75 0.0292971 0.0708681 0.0289115 9.625 9.875 2.52298e+06
10.00 0.0231583 0.0584321 0.0225788 9.875 10.125 3.64781e+06
10.25 0.0206413 0.0529311 0.0194 10.125 10.375 2.63617e+06
10.50 0.0190485 0.0486564 0.0155647 10.375 10.625 1.65777e+06
10.75 0.0203243 0.0472349 0.0101755 10.625 10.875 1.02951e+06
11.00 0.0269578 0.0455333 0.00270267 10.875 11.125 630430
11.25 0.0440645 0.0402731 -0.00463412 11.125 11.375 366667
11.50 0.0862896 0.0377964 -0.00588635 11.375 11.625 214290
11.75 0.170868 0.0351431 1.77622e-05 11.625 11.875 123926
12.00 0.311994 0.0276632 0.0138824 11.875 12.125 71713
12.25 0.510679 0.0209937 0.0318814 12.125 12.375 41110
12.50 0.713132 0.025742 0.052766 12.375 12.625 23028
12.75 0.860132 0.0245641 0.0651205 12.625 12.875 12855
13.00 0.937765 0.012948 0.0495224 12.875 13.125 7070
13.25 0.968478 0.00560087 0.0290678 13.125 13.375 3680
13.50 0.970745 0.00848854 0.016874 13.375 13.625 1880
13.75 0.983766 0.00645113 0.0121196 13.625 13.875 924
14.00 0.976623 0.00519484 0.0131769 13.875 14.125 385
14.25 0.981132 0.0062893 0.0062893 14.125 14.375 159
14.50 1 0 0 14.375 14.625 30
14.75 1 0 0 14.625 14.875 9
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
