#Peak halo mass range: 12.625 < log10(Mh/Msun) < 12.875
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 4636 9752
0.994717 0.127912 0.0916409 0.0574724 0.936731 0.0238138 0.030793 4636 9752
0.987123 0.159836 0.0811221 0.0448186 0.913966 0.02333 0.0300913 4636 9752
0.979529 0.182916 0.0686218 0.0339233 0.893458 0.0237403 0.0329307 4636 9752
0.971935 0.205781 0.0597184 0.0300628 0.881153 0.0218978 0.0381442 4636 9752
0.964342 0.222174 0.0587687 0.0315015 0.869258 0.0233406 0.0428559 4636 9752
0.956748 0.235764 0.050091 0.023409 0.855209 0.0249544 0.0511027 4636 9752
0.949154 0.257118 0.0452614 0.0218241 0.844032 0.0249149 0.062497 4636 9752
0.941560 0.276747 0.0414228 0.0229216 0.830804 0.0280911 0.0663506 4636 9752
0.933967 0.284081 0.0488792 0.0147557 0.8226 0.0294687 0.0755845 4636 9752
0.926373 0.305436 0.0457498 0.019183 0.813679 0.0290107 0.081175 4636 9752
0.918779 0.314064 0.0507895 0.0125539 0.806296 0.0316153 0.0874583 4636 9752
0.911185 0.326359 0.0479482 0.0181061 0.798503 0.0345816 0.0935357 4636 9752
0.903592 0.341674 0.0488891 0.0141175 0.795734 0.0321123 0.0940134 4636 9752
0.895998 0.35893 0.0483547 0.0184136 0.788659 0.0362521 0.0955837 4636 9752
0.888404 0.372519 0.0459774 0.017612 0.783634 0.0318787 0.10116 4636 9752
0.880810 0.385677 0.0464291 0.0199927 0.777276 0.0328515 0.0964892 4636 9752
0.873217 0.39409 0.0455111 0.0166837 0.773893 0.0347679 0.0992908 4636 9752
0.865623 0.397541 0.0486278 0.0191308 0.769893 0.0348081 0.102324 4636 9752
0.858029 0.394737 0.0636348 0.0116996 0.766612 0.0347372 0.100322 4636 9752
0.850435 0.405091 0.0565458 0.0174564 0.766612 0.0334488 0.102585 4636 9752
0.842842 0.414582 0.0524514 0.0211616 0.762408 0.0362344 0.098067 4636 9752
0.835248 0.419111 0.0537247 0.0186886 0.763331 0.0319896 0.0981566 4636 9752
0.827654 0.430112 0.0503092 0.0209301 0.762305 0.0324861 0.0967697 4636 9752
0.820060 0.436799 0.0499226 0.0226313 0.763638 0.0341687 0.0964855 4636 9752
0.812467 0.447153 0.0496145 0.0258373 0.764459 0.0319647 0.0986598 4636 9752
0.804873 0.449741 0.0483227 0.0244433 0.770714 0.0300341 0.100259 4636 9752
0.797279 0.462252 0.0453518 0.0306776 0.770201 0.0298232 0.0981377 4636 9752
0.789685 0.465056 0.0460413 0.033326 0.769381 0.0290409 0.0993254 4636 9752
0.782092 0.473253 0.0440888 0.0340005 0.77379 0.0239221 0.104139 4636 9752
0.774498 0.484469 0.0456631 0.0371716 0.775636 0.0223494 0.103093 4636 9752
0.766904 0.49849 0.0431301 0.0380387 0.777687 0.0207879 0.102559 4636 9752
0.759310 0.510785 0.0417885 0.0409576 0.776046 0.0218072 0.102142 4636 9752
0.751717 0.513589 0.0449889 0.0358141 0.779122 0.0210057 0.0995492 4636 9752
0.744123 0.521139 0.0449646 0.0401744 0.772252 0.0236714 0.094712 4636 9752
0.736529 0.531493 0.0422588 0.0414083 0.776046 0.0189626 0.0962759 4636 9752
0.728935 0.538395 0.0412469 0.0414564 0.77943 0.0178247 0.0973805 4636 9752
0.721342 0.545729 0.0401769 0.0433357 0.778404 0.0220759 0.0972422 4636 9752
0.713748 0.554573 0.0446049 0.0408504 0.777379 0.0201387 0.0952337 4636 9752
0.706154 0.561691 0.0440264 0.0409881 0.777789 0.0200108 0.0922836 4636 9752
0.698560 0.567084 0.0406757 0.0456234 0.779532 0.0175896 0.0959336 4636 9752
0.690967 0.575927 0.039709 0.0475482 0.777379 0.0206795 0.0940573 4636 9752
0.683373 0.582399 0.0448508 0.0468286 0.777174 0.0224978 0.0916827 4636 9752
0.678310 0.587144 0.0448657 0.0464495 0.778917 0.0244878 0.091274 4636 9752
0.673248 0.58887 0.0455607 0.04634 0.778815 0.0240369 0.0897562 4636 9752
0.668185 0.592537 0.0467038 0.045902 0.780558 0.0228551 0.0924222 4636 9752
0.663123 0.606126 0.0424722 0.0570188 0.77943 0.0238576 0.0925533 4636 9752
0.658060 0.613028 0.0439218 0.0576602 0.778302 0.0248598 0.0900695 4636 9752
0.652998 0.609146 0.0549763 0.0496696 0.779225 0.0241883 0.093801 4636 9752
0.647935 0.613028 0.055809 0.0491773 0.77461 0.0255281 0.089796 4636 9752
0.642873 0.620147 0.057208 0.0542946 0.778097 0.0238573 0.0906895 4636 9752
0.637810 0.625971 0.0539067 0.0582057 0.775841 0.0262424 0.0919304 4636 9752
0.632748 0.627265 0.0579965 0.0573805 0.775533 0.02562 0.0929328 4636 9752
0.627685 0.628559 0.0552449 0.0633053 0.771842 0.0297965 0.0932155 4636 9752
0.622623 0.629206 0.0586975 0.0628213 0.767022 0.0337905 0.0876303 4636 9752
0.617560 0.633089 0.0631925 0.0659168 0.76815 0.0326625 0.086661 4636 9752
0.612498 0.634815 0.0629864 0.0721648 0.764561 0.0339023 0.0882426 4636 9752
0.607435 0.639129 0.0586457 0.0756123 0.765074 0.033551 0.0876481 4636 9752
0.602373 0.64107 0.0574324 0.0773562 0.761075 0.0360652 0.0827606 4636 9752
0.597310 0.637834 0.0634897 0.0755179 0.759844 0.0304517 0.0816769 4636 9752
0.592248 0.634815 0.0663012 0.0753603 0.757588 0.033863 0.0806075 4636 9752
0.587185 0.639991 0.0694459 0.0754588 0.759537 0.0328523 0.0838337 4636 9752
0.582123 0.635893 0.0725149 0.0774134 0.755127 0.0350487 0.0852515 4636 9752
0.577060 0.633305 0.0737241 0.0822989 0.756153 0.0345231 0.0904803 4636 9752
0.571997 0.639991 0.06944 0.0912584 0.751641 0.036965 0.0951825 4636 9752
0.566935 0.635246 0.0735595 0.0895142 0.748975 0.0363355 0.0979199 4636 9752
0.561872 0.632226 0.0762179 0.0906919 0.744258 0.0400339 0.0975535 4636 9752
0.556810 0.628559 0.0820352 0.0896084 0.739541 0.0414739 0.100561 4636 9752
0.551747 0.628128 0.0792542 0.0859965 0.732875 0.0423525 0.095374 4636 9752
0.546685 0.627049 0.0772014 0.0906219 0.7258 0.0442169 0.0921895 4636 9752
0.541622 0.622951 0.0781678 0.0925471 0.719647 0.0428226 0.0954525 4636 9752
0.536560 0.616695 0.0802268 0.092748 0.712162 0.0427308 0.0959059 4636 9752
0.531497 0.608067 0.0790529 0.0916104 0.705291 0.043988 0.0970657 4636 9752
0.526435 0.600949 0.0828537 0.0924786 0.698011 0.0457873 0.0967476 4636 9752
0.521372 0.595125 0.0761953 0.0975452 0.6895 0.0483806 0.0951764 4636 9752
0.516310 0.585418 0.0866118 0.095583 0.683244 0.0480304 0.0953313 4636 9752
0.511247 0.586066 0.0787582 0.0987765 0.672272 0.0516451 0.096505 4636 9752
0.506185 0.571829 0.0893161 0.0924634 0.663146 0.0501575 0.0992257 4636 9752
0.501122 0.564495 0.0892842 0.101004 0.650533 0.0523558 0.0961992 4636 9752
0.496060 0.556083 0.089895 0.0951093 0.639356 0.0542312 0.0948349 4636 9752
0.490997 0.540552 0.0912249 0.0857745 0.626128 0.0534938 0.095073 4636 9752
0.485935 0.526747 0.0935718 0.0853496 0.611464 0.0529042 0.0914798 4636 9752
0.480872 0.521786 0.0872326 0.0916904 0.598134 0.0506976 0.0904102 4636 9752
0.475810 0.499569 0.0948618 0.0826247 0.582752 0.0524533 0.0886784 4636 9752
0.470747 0.490725 0.0893966 0.0842045 0.567678 0.0507994 0.0878679 4636 9752
0.465685 0.475841 0.091487 0.0804164 0.554861 0.0494292 0.0866234 4636 9752
0.460622 0.463546 0.0895127 0.0796849 0.536505 0.0523192 0.0832325 4636 9752
0.455560 0.445859 0.0872304 0.0771381 0.520509 0.0518988 0.077759 4636 9752
0.450497 0.425582 0.0905898 0.0716863 0.503692 0.0519767 0.0751967 4636 9752
0.445435 0.408973 0.0889376 0.0682816 0.484824 0.0540232 0.0746105 4636 9752
0.440372 0.391717 0.0933597 0.0625432 0.465135 0.056509 0.0724063 4636 9752
0.435310 0.378991 0.0862815 0.0576198 0.449651 0.0562298 0.0675797 4636 9752
0.430247 0.360656 0.0859272 0.0479258 0.432629 0.0523056 0.0657004 4636 9752
0.425185 0.34189 0.0862834 0.0464517 0.411095 0.0549905 0.0629035 4636 9752
0.420122 0.327437 0.0879187 0.0430372 0.396842 0.0491657 0.0644267 4636 9752
0.415060 0.318378 0.0777488 0.0426369 0.378692 0.0507697 0.0586804 4636 9752
0.409997 0.304357 0.079898 0.0419655 0.361054 0.0482357 0.0528412 4636 9752
0.404935 0.291199 0.0757893 0.0434322 0.340648 0.051116 0.0502642 4636 9752
0.399872 0.27157 0.078036 0.039918 0.323934 0.0498138 0.0483121 4636 9752
0.394810 0.254961 0.0752045 0.037249 0.308552 0.0458265 0.0446984 4636 9752
0.389747 0.238568 0.0805983 0.0338415 0.291325 0.0482371 0.0390612 4636 9752
0.384685 0.22692 0.0768993 0.034368 0.274918 0.0474589 0.0365535 4636 9752
0.379622 0.211173 0.0727424 0.0376805 0.254512 0.0433579 0.0345796 4636 9752
0.374560 0.198016 0.0722774 0.0366722 0.239336 0.0440508 0.0344133 4636 9752
0.369497 0.183132 0.0777618 0.0294942 0.221801 0.0434114 0.0287524 4636 9752
0.364435 0.171053 0.0694236 0.0249121 0.209701 0.0442164 0.0274346 4636 9752
0.359372 0.160699 0.0680116 0.0248376 0.199241 0.0424972 0.0314025 4636 9752
0.354310 0.154875 0.0684584 0.0233473 0.187654 0.0424277 0.0304788 4636 9752
0.349247 0.143443 0.0690457 0.0197291 0.175246 0.0439962 0.028223 4636 9752
0.344185 0.137187 0.0705287 0.018751 0.162736 0.0463448 0.0236447 4636 9752
0.339122 0.129638 0.0690408 0.021867 0.154225 0.0461061 0.0254312 4636 9752
0.334060 0.121009 0.0711213 0.0209406 0.142125 0.0486527 0.0248956 4636 9752
0.328997 0.116695 0.0704373 0.0230759 0.134742 0.0471791 0.0246173 4636 9752
0.323935 0.109146 0.0772 0.0198601 0.127666 0.052763 0.0253173 4636 9752
0.318873 0.104185 0.0753975 0.0220936 0.117207 0.0531565 0.026093 4636 9752
0.313810 0.10138 0.069256 0.0232121 0.110849 0.0488051 0.0251235 4636 9752
0.308748 0.100733 0.0657791 0.0258156 0.103363 0.0535013 0.0218805 4636 9752
0.303685 0.090811 0.0713903 0.0232667 0.0972108 0.0535929 0.0207391 4636 9752
0.298623 0.0869284 0.0688966 0.0233227 0.0939294 0.0536521 0.0228324 4636 9752
0.293560 0.0826143 0.0715503 0.0233933 0.0870591 0.0540704 0.0231775 4636 9752
0.288498 0.0795945 0.0699516 0.023192 0.0814192 0.0607352 0.0224569 4636 9752
0.283435 0.0724763 0.0722574 0.0216138 0.0800861 0.0580824 0.0248509 4636 9752
0.278373 0.0744176 0.0734783 0.0236046 0.0788556 0.0555999 0.0258291 4636 9752
0.273310 0.071182 0.0702614 0.0230996 0.0700369 0.0588152 0.0225866 4636 9752
