#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0777087 0.061933 0.0694643 8.625 8.875 35054
9.00 0.123345 0.101955 0.109491 8.875 9.125 56662
9.25 0.108654 0.101469 0.0953828 9.125 9.375 239540
9.50 0.0660857 0.0657329 0.0504666 9.375 9.625 759711
9.75 0.110912 0.0902038 0.0602601 9.625 9.875 1.99812e+06
10.00 0.0994809 0.0684409 0.0402112 9.875 10.125 3.13052e+06
10.25 0.101274 0.0570504 0.0332296 10.125 10.375 2.39942e+06
10.50 0.114501 0.0478345 0.0290673 10.375 10.625 1.53325e+06
10.75 0.13965 0.0427669 0.0272068 10.625 10.875 954013
11.00 0.177084 0.0359708 0.0220669 10.875 11.125 590752
11.25 0.218727 0.0275935 0.0215223 11.125 11.375 354268
11.50 0.272401 0.0232117 0.0230253 11.375 11.625 210062
11.75 0.336032 0.0178908 0.0262863 11.625 11.875 124274
12.00 0.411688 0.0205196 0.0310771 11.875 12.125 72657
12.25 0.493484 0.0314253 0.0381419 12.125 12.375 42360
12.50 0.589364 0.0452498 0.0469339 12.375 12.625 24652
12.75 0.679091 0.0500664 0.054978 12.625 12.875 14353
13.00 0.756098 0.0477062 0.0541526 12.875 13.125 7995
13.25 0.812844 0.0465069 0.0577191 13.125 13.375 4547
13.50 0.876981 0.0410451 0.0604053 13.375 13.625 2398
13.75 0.913078 0.0264354 0.0481914 13.625 13.875 1277
14.00 0.947368 0.0223286 0.0381328 13.875 14.125 627
14.25 0.976667 0.00666666 0.0368674 14.125 14.375 300
14.50 0.982143 0 0.0446429 14.375 14.625 112
14.75 0.976744 0.0232558 0.0232558 14.625 14.875 43
15.00 1 0 0 14.875 15.125 5
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
