#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.025692 0.047915 0.025692 8.625 8.875 27674
9.00 0.0386473 0.0698027 0.0386269 8.875 9.125 48852
9.25 0.0345749 0.067864 0.0345618 9.125 9.375 230225
9.50 0.0290671 0.0567303 0.0289995 9.375 9.625 859117
9.75 0.0369557 0.0719222 0.0363431 9.625 9.875 2.42071e+06
10.00 0.0290034 0.0571194 0.0275859 9.875 10.125 3.5852e+06
10.25 0.0258496 0.0532344 0.0226685 10.125 10.375 2.60704e+06
10.50 0.0244592 0.0491098 0.0171936 10.375 10.625 1.64245e+06
10.75 0.0276327 0.04667 0.0106781 10.625 10.875 1.02078e+06
11.00 0.0373929 0.0452077 0.00175878 10.875 11.125 626376
11.25 0.059922 0.037902 -0.00427433 11.125 11.375 365642
11.50 0.106525 0.0328395 -0.00515599 11.375 11.625 214259
11.75 0.191956 0.029819 0.00378953 11.625 11.875 124346
12.00 0.329126 0.0234886 0.015618 11.875 12.125 72088
12.25 0.507345 0.0190395 0.0315112 12.125 12.375 41526
12.50 0.694444 0.0188986 0.0555054 12.375 12.625 23220
12.75 0.832789 0.0250621 0.059833 12.625 12.875 13163
13.00 0.918975 0.0144688 0.05217 12.875 13.125 7257
13.25 0.959061 0.00820768 0.0328513 13.125 13.375 3835
13.50 0.977029 0.00306278 0.0283902 13.375 13.625 1959
13.75 0.974385 0.0061475 0.0171987 13.625 13.875 976
14.00 0.97907 0.00697672 0.0167168 13.875 14.125 430
14.25 0.982558 0.00581396 0.0116279 14.125 14.375 172
14.50 1 0 0.0263158 14.375 14.625 38
14.75 1 0 0 14.625 14.875 10
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
