#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.06271 0.0571831 0.0619514 8.625 8.875 27683
9.00 0.100727 0.0918861 0.0992186 8.875 9.125 47733
9.25 0.085691 0.096295 0.0836557 9.125 9.375 217654
9.50 0.053876 0.0569419 0.0487744 9.375 9.625 759968
9.75 0.0829755 0.0865942 0.0625653 9.625 9.875 2.0794e+06
10.00 0.0685762 0.0675256 0.0412439 9.875 10.125 3.26252e+06
10.25 0.0657456 0.0562535 0.0278088 10.125 10.375 2.46356e+06
10.50 0.0725329 0.050973 0.0203475 10.375 10.625 1.56708e+06
10.75 0.0918704 0.0464152 0.0152509 10.625 10.875 974373
11.00 0.124473 0.0358145 0.0115022 10.875 11.125 602604
11.25 0.165157 0.0279964 0.0107722 11.125 11.375 358804
11.50 0.22162 0.0206446 0.013115 11.375 11.625 211795
11.75 0.297652 0.0151044 0.017722 11.625 11.875 124810
12.00 0.391575 0.015759 0.0250541 11.875 12.125 72714
12.25 0.49628 0.0243791 0.0404468 12.125 12.375 42208
12.50 0.606938 0.04246 0.0536568 12.375 12.625 24444
12.75 0.714449 0.0488098 0.0610241 12.625 12.875 14015
13.00 0.807203 0.04602 0.0657376 12.875 13.125 7858
13.25 0.85688 0.039529 0.0616799 13.125 13.375 4346
13.50 0.917238 0.027468 0.0603999 13.375 13.625 2332
13.75 0.950042 0.0181059 0.0471371 13.625 13.875 1201
14.00 0.9806 0.00529099 0.0440917 13.875 14.125 567
14.25 0.973881 0.00753206 0.0300604 14.125 14.375 268
14.50 0.975309 0 0.0246913 14.375 14.625 81
14.75 1 -0.03125 0.03125 14.625 14.875 32
15.00 1 0 0 14.875 15.125 3
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
