#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.0634954 0 8.625 8.875 94180
9.00 6.19886e-06 0.0988098 6.19886e-06 8.875 9.125 161320
9.25 1.51857e-06 0.0819616 0 9.125 9.375 658516
9.50 1.33825e-06 0.0606537 4.46085e-07 9.375 9.625 2.24173e+06
9.75 3.01239e-05 0.0711339 9.66635e-06 9.625 9.875 4.4483e+06
10.00 2.31728e-05 0.0645155 6.99906e-06 9.875 10.125 4.14278e+06
10.25 5.46079e-06 0.0607565 -3.48663e-07 10.125 10.375 2.74685e+06
10.50 6.99525e-06 0.0623594 3.52611e-06 10.375 10.625 1.71545e+06
10.75 0.000108554 0.0632486 6.98854e-05 10.625 10.875 1.03174e+06
11.00 0.00074328 0.0623935 0.000439091 10.875 11.125 571790
11.25 0.0039243 0.0627907 0.00185356 11.125 11.375 311903
11.50 0.016098 0.0596519 0.00528444 11.375 11.625 169276
11.75 0.0505183 0.0577626 0.010575 11.625 11.875 90581
12.00 0.135212 0.0631535 0.0190948 11.875 12.125 47089
12.25 0.293967 0.0552947 0.0369922 12.125 12.375 23819
12.50 0.527351 0.0825333 0.0600711 12.375 12.625 11590
12.75 0.761753 0.0865331 0.0925296 12.625 12.875 5339
13.00 0.892459 0.0548862 0.0803213 12.875 13.125 2241
13.25 0.953356 0.0204778 0.050167 13.125 13.375 879
13.50 0.972603 0.0102152 0.0139821 13.375 13.625 292
13.75 0.973684 0.0131579 0 13.625 13.875 76
14.00 1 0 0 13.875 14.125 13
14.25 1 0 0 14.125 14.375 1
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
