#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.06418 0 8.625 8.875 60455
9.00 1.86118e-05 0.0995449 9.30588e-06 8.875 9.125 107459
9.25 2.09397e-06 0.0828709 2.09397e-06 9.125 9.375 477562
9.50 1.17797e-05 0.0641998 6.73124e-06 9.375 9.625 1.78273e+06
9.75 6.6329e-05 0.0760131 2.74896e-05 9.625 9.875 3.96509e+06
10.00 4.66958e-05 0.0673688 2.27523e-05 9.875 10.125 4.17596e+06
10.25 9.56425e-06 0.0620742 1.0623e-06 10.125 10.375 2.82301e+06
10.50 6.25088e-06 0.0614461 6.03627e-07 10.375 10.625 1.75975e+06
10.75 1.84894e-05 0.0618684 -1.57291e-06 10.625 10.875 1.0817e+06
11.00 0.000173586 0.0613979 9.35237e-07 10.875 11.125 616408
11.25 0.00136247 0.0615415 -1.28617e-05 11.125 11.375 344227
11.50 0.00954068 0.0600018 0.000273566 11.375 11.625 191391
11.75 0.0429939 0.0617141 0.00271836 11.625 11.875 105643
12.00 0.142984 0.0569841 0.0183509 11.875 12.125 57335
12.25 0.372144 0.0419291 0.0364341 12.125 12.375 30327
12.50 0.679056 0.0911171 0.0844169 12.375 12.625 15766
12.75 0.888974 0.0585153 0.0943133 12.625 12.875 7791
13.00 0.96174 0.0126405 0.04769 12.875 13.125 3633
13.25 0.971591 0 0.0157828 13.125 13.375 1584
13.50 0.991922 0 0.00646204 13.375 13.625 619
13.75 0.987069 0.00431037 0.00431031 13.625 13.875 232
14.00 1 0 0.0196078 13.875 14.125 51
14.25 1 0 0 14.125 14.375 8
14.50 1 0 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
