#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0278433 0.0503094 0.0278433 8.625 8.875 27152
9.00 0.0399399 0.069936 0.0399193 8.875 9.125 48573
9.25 0.0357345 0.0687246 0.0357171 9.125 9.375 229554
9.50 0.0308816 0.0576981 0.030809 9.375 9.625 853096
9.75 0.0386272 0.0724146 0.037931 9.625 9.875 2.40018e+06
10.00 0.0302706 0.0574239 0.0287017 9.875 10.125 3.57136e+06
10.25 0.0269842 0.052211 0.0233017 10.125 10.375 2.60075e+06
10.50 0.0255965 0.0479603 0.0173367 10.375 10.625 1.63905e+06
10.75 0.029035 0.0461933 0.0107536 10.625 10.875 1.01863e+06
11.00 0.0398058 0.0449825 0.001724 10.875 11.125 625386
11.25 0.0632804 0.0377865 -0.00407993 11.125 11.375 365453
11.50 0.11046 0.0325531 -0.00456017 11.375 11.625 214051
11.75 0.196507 0.0287221 0.00337803 11.625 11.875 124408
12.00 0.333587 0.0212509 0.0173954 11.875 12.125 72167
12.25 0.507824 0.0182337 0.0324332 12.125 12.375 41540
12.50 0.687003 0.0202312 0.0537834 12.375 12.625 23275
12.75 0.830199 0.0257893 0.0626637 12.625 12.875 13239
13.00 0.919395 0.0144339 0.0516366 12.875 13.125 7270
13.25 0.959606 0.00429249 0.0354308 13.125 13.375 3862
13.50 0.979198 0.00287127 0.0304414 13.375 13.625 1971
13.75 0.975806 0.00705642 0.0134463 13.625 13.875 992
14.00 0.981395 0.00683993 0.0119836 13.875 14.125 430
14.25 0.988827 0.00558662 0.0223464 14.125 14.375 179
14.50 1 0 0.0263158 14.375 14.625 38
14.75 1 0 0 14.625 14.875 10
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
