#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0235328 0.0481027 0.0235328 8.625 8.875 27961
9.00 0.0347335 0.0720998 0.034693 8.875 9.125 49376
9.25 0.0309931 0.066547 0.0309845 9.125 9.375 232858
9.50 0.0263697 0.0579519 0.0263286 9.375 9.625 876347
9.75 0.0322246 0.0701118 0.0318111 9.625 9.875 2.48099e+06
10.00 0.0254537 0.058227 0.0246158 9.875 10.125 3.62242e+06
10.25 0.0227849 0.0546396 0.0207993 10.125 10.375 2.62467e+06
10.50 0.0211737 0.0503025 0.0167189 10.375 10.625 1.65181e+06
10.75 0.0229903 0.0472592 0.0108486 10.625 10.875 1.02587e+06
11.00 0.0308303 0.0457494 0.00220761 10.875 11.125 628732
11.25 0.050055 0.0384908 -0.00494266 11.125 11.375 366337
11.50 0.0937934 0.0359602 -0.00662666 11.375 11.625 214354
11.75 0.179207 0.0332481 0.0014322 11.625 11.875 124102
12.00 0.319171 0.025191 0.0150673 11.875 12.125 71811
12.25 0.509865 0.0189474 0.0317199 12.125 12.375 41307
12.50 0.704407 0.0235635 0.0526192 12.375 12.625 23123
12.75 0.851355 0.022346 0.0621349 12.625 12.875 12984
13.00 0.926308 0.0147521 0.0480952 12.875 13.125 7165
13.25 0.966506 0.00700939 0.0347304 13.125 13.375 3732
13.50 0.97738 0.00472492 0.0195744 13.375 13.625 1901
13.75 0.972746 0.0104998 0.0125786 13.625 13.875 954
14.00 0.9775 0.0025 0.0103283 13.875 14.125 400
14.25 0.993902 0 0.0182927 14.125 14.375 164
14.50 1 0 0 14.375 14.625 33
14.75 1 0 0 14.625 14.875 10
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
