#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0518121 0.0621668 0.0517354 8.625 8.875 26075
9.00 0.077631 0.0926529 0.0775663 8.875 9.125 46399
9.25 0.0631768 0.0832727 0.0630247 9.125 9.375 217010
9.50 0.0433908 0.0550244 0.0423871 9.375 9.625 786088
9.75 0.0621913 0.0782432 0.0565322 9.625 9.875 2.18553e+06
10.00 0.0501797 0.065268 0.0396106 9.875 10.125 3.39759e+06
10.25 0.0458186 0.0589346 0.0279094 10.125 10.375 2.5235e+06
10.50 0.0476228 0.0517787 0.018329 10.375 10.625 1.59741e+06
10.75 0.0585247 0.0440341 0.00974616 10.625 10.875 992846
11.00 0.0826909 0.0363147 0.00391645 10.875 11.125 612522
11.25 0.118267 0.0314199 0.00122511 11.125 11.375 362492
11.50 0.175372 0.0251301 0.0054404 11.375 11.625 213016
11.75 0.258552 0.0201941 0.0121595 11.625 11.875 124795
12.00 0.368554 0.0167331 0.0199512 11.875 12.125 72760
12.25 0.499476 0.0212329 0.0350703 12.125 12.375 42008
12.50 0.639313 0.0319409 0.0520604 12.375 12.625 24043
12.75 0.76675 0.0392238 0.0608845 12.625 12.875 13672
13.00 0.859503 0.0299325 0.0581048 12.875 13.125 7687
13.25 0.915133 0.0196499 0.0535575 13.125 13.375 4183
13.50 0.959872 0.00667214 0.0451152 13.375 13.625 2193
13.75 0.977457 0.00365794 0.0359104 13.625 13.875 1109
14.00 0.986616 0.00376898 0.0325927 13.875 14.125 523
14.25 0.99115 0 0.0309734 14.125 14.375 226
14.50 0.932203 0.0338983 0.0338984 14.375 14.625 59
14.75 1 0 0.04 14.625 14.875 25
15.00 1 0 0 14.875 15.125 1
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
