#Observed stellar mass range: 7.6 < log10(M*/Msun) < 7.8
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
0.577060 0.000287392 0.0152042 0.000270202 0.00240561 0.0630385 0.00228466 448864 95610
0.571997 0.000213873 0.0157041 0.000195411 0.00162117 0.0632561 0.00151323 448864 95610
0.566935 0.000149266 0.0155686 0.000136211 0.00110867 0.0627746 0.00100103 448864 95610
0.561872 8.6886e-05 0.0159764 7.27921e-05 0.000711223 0.0621953 0.000625645 448864 95610
0.556810 2.67342e-05 0.016073 1.40773e-05 9.41324e-05 0.0615219 2.98893e-05 448864 95610
0.551747 1.78228e-05 0.0161163 4.93019e-06 1.04592e-05 0.0582613 -4.0162e-05 448864 95610
0.546685 2.00506e-05 0.0166586 6.05468e-06 0 0.0575069 -3.71264e-05 448864 95610
0.541622 1.78228e-05 0.0164956 6.06506e-06 1.04592e-05 0.0561076 -2.34475e-05 448864 95610
0.536560 1.55949e-05 0.0165183 1.47462e-06 0 0.0535237 -3.26229e-05 448864 95610
0.531497 2.00506e-05 0.017148 6.0957e-06 1.04592e-05 0.0518692 -2.18329e-05 448864 95610
0.526435 2.00506e-05 0.0170434 7.22141e-06 3.13775e-05 0.0497434 -1.7205e-06 448864 95610
0.521372 1.78228e-05 0.017182 5.17223e-06 3.13775e-05 0.049212 -7.97518e-06 448864 95610
0.516310 1.78228e-05 0.017573 7.71249e-06 3.13775e-05 0.0486898 0 448864 95610
0.511247 1.11392e-05 0.0178911 1.43722e-06 2.09183e-05 0.0480954 -1.44179e-06 448864 95610
0.506185 8.91139e-06 0.0183297 1.85123e-06 2.09183e-05 0.0466153 -4.41353e-06 448864 95610
0.501122 1.11392e-05 0.0182647 2.56572e-06 1.04592e-05 0.045836 -9.17005e-06 448864 95610
0.496060 1.78228e-05 0.0186488 8.28525e-06 1.04592e-05 0.0446399 -8.74908e-06 448864 95610
0.490997 1.78228e-05 0.0185011 3.10509e-06 2.09183e-05 0.0442927 -2.26597e-06 448864 95610
0.485935 2.22785e-05 0.0179085 6.71447e-06 2.09183e-05 0.042397 -5.2995e-06 448864 95610
0.480872 1.78228e-05 0.017838 5.21134e-06 6.27549e-05 0.0413703 3.17822e-05 448864 95610
0.475810 1.78228e-05 0.0178035 7.59498e-06 5.22958e-05 0.0412532 2.74412e-05 448864 95610
0.470747 8.91139e-06 0.0183405 1.75824e-06 4.18366e-05 0.0393553 2.09777e-05 448864 95610
0.465685 1.78228e-05 0.0181809 9.64054e-06 4.18366e-05 0.0391705 1.63615e-05 448864 95610
0.460622 1.11392e-05 0.0182561 6.93542e-06 3.13775e-05 0.038638 1.10049e-05 448864 95610
0.455560 8.91139e-06 0.0181008 4.48538e-06 3.13775e-05 0.0376392 7.62789e-06 448864 95610
0.450497 8.91139e-06 0.0183314 2.9474e-06 4.18366e-05 0.0378391 2.92447e-05 448864 95610
0.445435 1.11392e-05 0.018591 6.7242e-06 2.09183e-05 0.0367028 9.42076e-06 448864 95610
0.440372 1.11392e-05 0.0192631 5.3084e-06 3.13775e-05 0.0362545 1.96357e-05 448864 95610
0.435310 1.33671e-05 0.0193974 4.53702e-06 4.18366e-05 0.0351038 3.03391e-05 448864 95610
0.430247 1.78228e-05 0.0202771 6.45578e-06 4.18366e-05 0.0355925 2.52669e-05 448864 95610
0.425185 1.78228e-05 0.021116 7.49883e-06 2.09183e-05 0.0348276 1.2248e-05 448864 95610
0.420122 1.55949e-05 0.0216234 5.46807e-06 2.09183e-05 0.0349618 1.26198e-05 448864 95610
