#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.000173502 0 8.625 8.875 109509
9.00 0 0.00139082 0 8.875 9.125 185502
9.25 1.35889e-06 0.00646154 1.35889e-06 9.125 9.375 735893
9.50 4.47516e-05 0.0238224 4.39229e-05 9.375 9.625 2.41332e+06
9.75 0.000199123 0.0437473 0.000192594 9.625 9.875 4.59516e+06
10.00 0.000299514 0.0519187 0.000289268 9.875 10.125 4.09998e+06
10.25 0.000724725 0.0577941 0.000701969 10.125 10.375 2.69206e+06
10.50 0.00141409 0.0571586 0.00137545 10.375 10.625 1.68094e+06
10.75 0.00250295 0.0614478 0.00237037 10.625 10.875 998820
11.00 0.00476518 0.0684967 0.00435443 10.875 11.125 548143
11.25 0.00918778 0.0777404 0.00786491 11.125 11.375 296263
11.50 0.0162703 0.0856902 0.0126723 11.375 11.625 158510
11.75 0.0300755 0.102394 0.0215779 11.625 11.875 83756
12.00 0.0509706 0.108674 0.0316013 11.875 12.125 42809
12.25 0.0730151 0.104186 0.032949 12.125 12.375 21160
12.50 0.0970157 0.101985 0.0364005 12.375 12.625 10019
12.75 0.0991566 0.100706 0.0409241 12.625 12.875 4387
13.00 0.10535 0.091561 0.0474352 12.875 13.125 1813
13.25 0.076087 0.102484 0.0310559 13.125 13.375 644
13.50 0.0735294 0.0972023 0.0390467 13.375 13.625 204
13.75 0.104167 0.0833333 0.0416667 13.625 13.875 48
14.00 0 0.2 0 13.875 14.125 5
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
