#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0215999 0.0132352 0.0180528 8.625 8.875 37778
9.00 0.0556898 0.0273666 0.0452814 8.875 9.125 61681
9.25 0.0847295 0.0543388 0.0702819 9.125 9.375 254091
9.50 0.0850988 0.0861441 0.0671052 9.375 9.625 758659
9.75 0.0915629 0.139375 0.0612254 9.625 9.875 1.92647e+06
10.00 0.0934123 0.174677 0.0446992 9.875 10.125 3.00623e+06
10.25 0.0891597 0.171911 0.0265866 10.125 10.375 2.32566e+06
10.50 0.0872129 0.156711 0.0194363 10.375 10.625 1.48891e+06
10.75 0.0936901 0.13522 0.00993393 10.625 10.875 926363
11.00 0.109869 0.135333 0.0024197 10.875 11.125 573527
11.25 0.139225 0.136082 6.77258e-05 11.125 11.375 346857
11.50 0.18966 0.144787 0.000994459 11.375 11.625 206749
11.75 0.266184 0.14513 0.00517908 11.625 11.875 122573
12.00 0.380355 0.1482 0.00715727 11.875 12.125 72088
12.25 0.534119 0.133728 0.00409865 12.125 12.375 42073
12.50 0.648563 0.113736 0.0147593 12.375 12.625 24710
12.75 0.656867 0.13072 0.0361797 12.625 12.875 14388
13.00 0.580522 0.159032 0.0450943 12.875 13.125 8153
13.25 0.50745 0.158916 0.0657662 13.125 13.375 4564
13.50 0.408692 0.171464 0.0574163 13.375 13.625 2508
13.75 0.335248 0.164031 0.055189 13.625 13.875 1393
14.00 0.262391 0.153539 0.0552901 13.875 14.125 686
14.25 0.252125 0.128557 0.0617837 14.125 14.375 353
14.50 0.207407 0.120951 0.0518518 14.375 14.625 135
14.75 0.213115 0.0655738 0.0491803 14.625 14.875 61
15.00 0.142857 0.142857 0 14.875 15.125 7
15.25 0 0.5 0 15.125 15.375 2
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
