#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 270967
9.00 0 4.60559e-06 0 8.875 9.125 434255
9.25 1.47849e-06 3.6223e-05 1.47849e-06 9.125 9.375 1.35273e+06
9.50 1.91029e-05 0.000190721 1.87948e-05 9.375 9.625 3.24558e+06
9.75 5.57696e-05 0.000591365 5.31389e-05 9.625 9.875 3.80135e+06
10.00 0.000113872 0.00132947 0.000107478 9.875 10.125 2.66088e+06
10.25 0.000162706 0.00232073 0.000156697 10.125 10.375 1.49964e+06
10.50 0.00022709 0.00326933 0.000216704 10.375 10.625 775024
10.75 0.000278832 0.00458272 0.00026832 10.625 10.875 380157
11.00 0.000500537 0.0057765 0.000478136 10.875 11.125 179807
11.25 0.00100168 0.0073449 0.000951624 11.125 11.375 79866
11.50 0.000842612 0.00884509 0.000812448 11.375 11.625 33230
11.75 0.00145005 0.00947182 0.00145005 11.625 11.875 13103
12.00 0.00194595 0.00951351 0.00172973 11.875 12.125 4625
12.25 0.00424328 0.0113154 0.00424328 12.125 12.375 1414
12.50 0.00557103 0.00835655 0.00557103 12.375 12.625 359
12.75 0.011236 0 0.011236 12.625 12.875 89
13.00 0 0 0 12.875 13.125 10
13.25 0 0 0 13.125 13.375 1
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
