#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.00315895 0.00443023 0.00315895 8.625 8.875 25958
9.00 0.0098415 0.0158067 0.00981997 8.875 9.125 46436
9.25 0.0190324 0.0360022 0.0190278 9.125 9.375 217681
9.50 0.0189624 0.076445 0.0188954 9.375 9.625 791144
9.75 0.0185563 0.14572 0.0174289 9.625 9.875 2.20227e+06
10.00 0.016776 0.175438 0.0147536 9.875 10.125 3.41542e+06
10.25 0.0138038 0.179123 0.0112242 10.125 10.375 2.53156e+06
10.50 0.0110858 0.158656 0.00723448 10.375 10.625 1.6015e+06
10.75 0.00999652 0.149542 0.00323237 10.625 10.875 995146
11.00 0.0116573 0.148778 -0.00109037 10.875 11.125 613948
11.25 0.0173944 0.152339 -0.00705964 11.125 11.375 362817
11.50 0.0352113 0.158264 -0.0103197 11.375 11.625 213142
11.75 0.0806983 0.163334 -0.0126948 11.625 11.875 124823
12.00 0.189932 0.162886 -0.00352521 11.875 12.125 72763
12.25 0.352516 0.142621 0.00124007 12.125 12.375 41930
12.50 0.450889 0.138212 0.0146808 12.375 12.625 23966
12.75 0.41674 0.175888 0.016578 12.625 12.875 13644
13.00 0.324621 0.184232 0.026823 12.875 13.125 7652
13.25 0.259875 0.164382 0.0349588 13.125 13.375 4152
13.50 0.221917 0.131349 0.0273072 13.375 13.625 2181
13.75 0.193784 0.119635 0.0358896 13.625 13.875 1094
14.00 0.191033 0.103085 0.0545809 13.875 14.125 513
14.25 0.2 0.0767857 0.0488889 14.125 14.375 225
14.50 0.125 0.0535714 0.0535714 14.375 14.625 56
14.75 0.166667 0.0833333 0.0833333 14.625 14.875 24
15.00 0 1 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
