#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 238435
9.00 0 1.81293e-05 0 8.875 9.125 386116
9.25 8.59323e-06 0.000152335 8.59323e-06 9.125 9.375 1.28008e+06
9.50 7.13518e-05 0.000871086 6.89734e-05 9.375 9.625 3.36362e+06
9.75 0.000186462 0.00222639 0.000179264 9.625 9.875 4.3065e+06
10.00 0.00029348 0.00445225 0.000278182 9.875 10.125 3.1382e+06
10.25 0.000522378 0.0071249 0.000498174 10.125 10.375 1.82052e+06
10.50 0.000644283 0.00897862 0.000609864 10.375 10.625 996456
10.75 0.00092093 0.010991 0.000871268 10.625 10.875 506010
11.00 0.00116694 0.0135001 0.00106693 10.875 11.125 250228
11.25 0.00203513 0.0160394 0.00190709 11.125 11.375 117437
11.50 0.00351604 0.0186243 0.0032489 11.375 11.625 52616
11.75 0.00419656 0.0194184 0.00374471 11.625 11.875 22161
12.00 0.00430888 0.0208612 0.00351496 11.875 12.125 8819
12.25 0.00707851 0.019305 0.00514801 12.125 12.375 3108
12.50 0.0104275 0.0198123 0.00938478 12.375 12.625 959
12.75 0.0206612 0.00826446 0.0165289 12.625 12.875 242
13.00 0.0181818 0 0.0181818 12.875 13.125 55
13.25 0 0 0 13.125 13.375 7
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
