#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 230167
9.00 2.70219e-06 1.89153e-05 2.70219e-06 8.875 9.125 370070
9.25 7.99775e-06 0.000184748 7.99775e-06 9.125 9.375 1.25035e+06
9.50 8.24113e-05 0.00111285 7.97433e-05 9.375 9.625 3.37332e+06
9.75 0.000212295 0.00267414 0.000204567 9.625 9.875 4.39954e+06
10.00 0.00032543 0.00523903 0.00030971 9.875 10.125 3.24494e+06
10.25 0.000599171 0.00818414 0.00057221 10.125 10.375 1.89095e+06
10.50 0.000724634 0.0103314 0.000686031 10.375 10.625 1.04605e+06
10.75 0.00106307 0.0123933 0.00100714 10.625 10.875 536182
11.00 0.00137118 0.0147565 0.00126659 10.875 11.125 267652
11.25 0.00224684 0.0176371 0.00208085 11.125 11.375 126845
11.50 0.00389361 0.0201122 0.00356338 11.375 11.625 57787
11.75 0.00441958 0.0217094 0.00389157 11.625 11.875 24663
12.00 0.00625372 0.0220397 0.00506254 11.875 12.125 10074
12.25 0.0071311 0.0244103 0.00575974 12.125 12.375 3646
12.50 0.0102828 0.0222793 0.00771208 12.375 12.625 1167
12.75 0.020339 0.0135593 0.0169492 12.625 12.875 295
13.00 0.0140845 0 0.0140845 12.875 13.125 71
13.25 0 0 0 13.125 13.375 9
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
