#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0073886 0.00710333 0.00724596 8.625 8.875 35054
9.00 0.0277258 0.0186721 0.0268257 8.875 9.125 56662
9.25 0.0527678 0.0451657 0.0502964 9.125 9.375 239540
9.50 0.0552842 0.0742875 0.0519039 9.375 9.625 759711
9.75 0.0582326 0.1457 0.050656 9.625 9.875 1.99812e+06
10.00 0.0554419 0.180043 0.0419833 9.875 10.125 3.13052e+06
10.25 0.04804 0.176821 0.0276389 10.125 10.375 2.39942e+06
10.50 0.0430217 0.155141 0.0145713 10.375 10.625 1.53325e+06
10.75 0.0446734 0.1508 0.00412784 10.625 10.875 954013
11.00 0.0544205 0.146229 -0.00295351 10.875 11.125 590752
11.25 0.0752227 0.145884 -0.00768894 11.125 11.375 354268
11.50 0.116699 0.152695 -0.00576425 11.375 11.625 210062
11.75 0.185807 0.15529 -0.0012473 11.625 11.875 124274
12.00 0.30611 0.151639 0.00358051 11.875 12.125 72657
12.25 0.469051 0.136414 0.00270194 12.125 12.375 42360
12.50 0.586808 0.120183 0.0161095 12.375 12.625 24652
12.75 0.5796 0.146649 0.0308154 12.625 12.875 14353
13.00 0.496435 0.175483 0.0435862 12.875 13.125 7995
13.25 0.407741 0.178658 0.0439653 13.125 13.375 4547
13.50 0.331526 0.172421 0.0527127 13.375 13.625 2398
13.75 0.266249 0.171055 0.0312764 13.625 13.875 1277
14.00 0.226475 0.139925 0.0504753 13.875 14.125 627
14.25 0.213333 0.133333 0.0433333 14.125 14.375 300
14.50 0.241071 0.0714286 0.0714286 14.375 14.625 112
14.75 0.139535 0.0697674 0.0465116 14.625 14.875 43
15.00 0.2 0.2 0 14.875 15.125 5
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
