#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.00687144 0.00718065 0.00683708 8.625 8.875 29106
9.00 0.0218259 0.0185632 0.0217246 8.875 9.125 49345
9.25 0.0406996 0.0426832 0.0403373 9.125 9.375 220813
9.50 0.0409555 0.075291 0.0401502 9.375 9.625 756186
9.75 0.0421418 0.14836 0.0391712 9.625 9.875 2.05008e+06
10.00 0.0393363 0.176667 0.0328274 9.875 10.125 3.21761e+06
10.25 0.0329393 0.167963 0.0214348 10.125 10.375 2.44285e+06
10.50 0.0280628 0.163939 0.0130329 10.375 10.625 1.55637e+06
10.75 0.0275917 0.151908 0.00414896 10.625 10.875 968080
11.00 0.0337379 0.145618 -0.00331677 10.875 11.125 598941
11.25 0.0489462 0.149067 -0.00924382 11.125 11.375 357515
11.50 0.0816441 0.151099 -0.00955114 11.375 11.625 211283
11.75 0.14438 0.157725 -0.00546332 11.625 11.875 124650
12.00 0.26327 0.155536 0.00030005 11.875 12.125 72834
12.25 0.431055 0.141875 0.00112107 12.125 12.375 42215
12.50 0.546221 0.12392 0.0143336 12.375 12.625 24448
12.75 0.527733 0.156982 0.0292887 12.625 12.875 14153
13.00 0.436021 0.183318 0.0337292 12.875 13.125 7901
13.25 0.351591 0.177375 0.0406665 13.125 13.375 4400
13.50 0.281541 0.174198 0.028687 13.375 13.625 2362
13.75 0.227869 0.1634 0.0220104 13.625 13.875 1220
14.00 0.199324 0.139085 0.0326577 13.875 14.125 592
14.25 0.192029 0.107241 0.0512348 14.125 14.375 276
14.50 0.235955 0.0674157 0.0674157 14.375 14.625 89
14.75 0.147059 0.0588235 0.0588235 14.625 14.875 34
15.00 0 0.333333 0 14.875 15.125 3
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
