#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.0120732 0.00696095 0.0108093 8.625 8.875 53010
9.00 0.0389205 0.0208469 0.0338203 8.875 9.125 73920
9.25 0.0678939 0.0490188 0.0586267 9.125 9.375 278832
9.50 0.0707379 0.0821171 0.0606862 9.375 9.625 784148
9.75 0.0769264 0.138776 0.058045 9.625 9.875 1.95833e+06
10.00 0.0775498 0.177674 0.0458832 9.875 10.125 3.05576e+06
10.25 0.0717177 0.171516 0.0266369 10.125 10.375 2.35854e+06
10.50 0.0682311 0.156918 0.0167003 10.375 10.625 1.51028e+06
10.75 0.0729401 0.141121 0.00670628 10.625 10.875 940100
11.00 0.0872246 0.145262 -0.000178657 10.875 11.125 581648
11.25 0.11351 0.14224 -0.00487436 11.125 11.375 350796
11.50 0.161495 0.150578 -0.00169525 11.375 11.625 208570
11.75 0.236901 0.150376 0.00365485 11.625 11.875 123621
12.00 0.353383 0.150329 0.00573871 11.875 12.125 72553
12.25 0.510748 0.132171 0.00485772 12.125 12.375 42332
12.50 0.627011 0.117615 0.0178065 12.375 12.625 24805
12.75 0.62997 0.131829 0.0319547 12.625 12.875 14461
13.00 0.548873 0.162334 0.0491182 12.875 13.125 8164
13.25 0.469058 0.165554 0.056943 13.125 13.375 4573
13.50 0.380265 0.171739 0.0563324 13.375 13.625 2493
13.75 0.30412 0.169724 0.0399977 13.625 13.875 1335
14.00 0.252976 0.146428 0.0532742 13.875 14.125 672
14.25 0.2263 0.129529 0.0489297 14.125 14.375 327
14.50 0.230769 0.1 0.0602266 14.375 14.625 130
14.75 0.163265 0.0612245 0.0612245 14.625 14.875 49
15.00 0.166667 0.166667 0 14.875 15.125 6
15.25 0 0.5 0 15.125 15.375 2
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
