#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.000568473 0 8.625 8.875 72123
9.00 0 0.00324095 0 8.875 9.125 126506
9.25 0 0.0119048 0 9.125 9.375 545662
9.50 2.60071e-05 0.0344456 2.49872e-05 9.375 9.625 1.961e+06
9.75 0.000123393 0.063174 0.00011163 9.625 9.875 4.16556e+06
10.00 0.000204285 0.0701356 0.000183473 9.875 10.125 4.18044e+06
10.25 0.000501277 0.0794042 0.000480205 10.125 10.375 2.80484e+06
10.50 0.000954829 0.0761679 0.000922545 10.375 10.625 1.75005e+06
10.75 0.00169273 0.0748211 0.00157682 10.625 10.875 1.0681e+06
11.00 0.00350244 0.0822281 0.00308155 10.875 11.125 602151
11.25 0.00770407 0.0963079 0.00628821 11.125 11.375 332941
11.50 0.0159518 0.106415 0.0113897 11.375 11.625 183553
11.75 0.032932 0.122355 0.0197938 11.625 11.875 100176
12.00 0.063239 0.128475 0.0309942 11.875 12.125 53701
12.25 0.101753 0.127488 0.0400331 12.125 12.375 27901
12.50 0.122664 0.108257 0.0360222 12.375 12.625 14234
12.75 0.12969 0.126464 0.0393346 12.625 12.875 6770
13.00 0.117477 0.121864 0.0392662 12.875 13.125 3107
13.25 0.103312 0.105349 0.0370663 13.125 13.375 1268
13.50 0.0931677 0.0869565 0.0413005 13.375 13.625 483
13.75 0.0769231 0.123077 0.0253102 13.625 13.875 156
14.00 0.0689655 0.0689655 0.0344828 13.875 14.125 29
14.25 0 0 0 14.125 14.375 4
14.50 0 1 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
