#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.00283829 0.00502455 0.00283829 8.625 8.875 26072
9.00 0.0100247 0.0163787 0.0100247 8.875 9.125 46585
9.25 0.0170338 0.0365342 0.0170292 9.125 9.375 219329
9.50 0.0156916 0.0759805 0.0156281 9.375 9.625 802851
9.75 0.0154078 0.147164 0.0143974 9.625 9.875 2.2388e+06
10.00 0.0140279 0.173672 0.012206 9.875 10.125 3.45148e+06
10.25 0.0114238 0.173245 0.00926511 10.125 10.375 2.54697e+06
10.50 0.00916337 0.160868 0.00624002 10.375 10.625 1.61e+06
10.75 0.00830583 0.15093 0.00268878 10.625 10.875 1.00026e+06
11.00 0.00953913 0.144327 -0.00115294 10.875 11.125 616723
11.25 0.014345 0.153174 -0.00642137 11.125 11.375 363331
11.50 0.0302803 0.159321 -0.00975297 11.375 11.625 213406
11.75 0.0722692 0.163064 -0.0131354 11.625 11.875 124825
12.00 0.177101 0.167593 -0.00539976 11.875 12.125 72659
12.25 0.339709 0.143238 0.00254837 12.125 12.375 41880
12.50 0.434711 0.138817 0.0141819 12.375 12.625 23802
12.75 0.398151 0.175327 0.0166694 12.625 12.875 13628
13.00 0.307539 0.18295 0.0231285 12.875 13.125 7547
13.25 0.246465 0.160996 0.0336992 13.125 13.375 4102
13.50 0.216519 0.125574 0.0287277 13.375 13.625 2143
13.75 0.196262 0.109687 0.0369365 13.625 13.875 1070
14.00 0.192843 0.0974155 0.0576541 13.875 14.125 503
14.25 0.180556 0.0833333 0.0416667 14.125 14.375 216
14.50 0.122449 0.0612245 0.059949 14.375 14.625 49
14.75 0.190476 0.047619 0.0952381 14.625 14.875 21
15.00 0 1 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
