#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 277601
9.00 0 2.24844e-06 0 8.875 9.125 444753
9.25 2.91855e-06 1.24039e-05 2.91855e-06 9.125 9.375 1.37054e+06
9.50 1.06867e-05 8.83225e-05 1.03724e-05 9.375 9.625 3.18152e+06
9.75 3.19756e-05 0.000313422 3.0046e-05 9.625 9.875 3.62777e+06
10.00 7.28221e-05 0.000787679 6.96562e-05 9.875 10.125 2.52670e+06
10.25 0.000100892 0.00152643 9.7286e-05 10.125 10.375 1.40744e+06
10.50 0.0001352 0.0023189 0.000128115 10.375 10.625 717454
10.75 0.000230378 0.00346263 0.000227498 10.625 10.875 347255
11.00 0.000339014 0.00433207 0.000326688 10.875 11.125 162235
11.25 0.000565763 0.00540211 0.000551614 11.125 11.375 70701
11.50 0.000485067 0.00686176 0.000450396 11.375 11.625 28862
11.75 0.00117276 0.0076752 0.00117276 11.625 11.875 11085
12.00 0.00184065 0.00658484 0.0015777 11.875 12.125 3803
12.25 0.00359712 0.00719424 0.00359712 12.125 12.375 1112
12.50 0.00722022 0.0108303 0.00722022 12.375 12.625 277
12.75 0 0 0 12.625 12.875 59
13.00 0 0 0 12.875 13.125 5
13.25 0 0 0 13.125 13.375 1
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
