#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.00242805 0 8.625 8.875 30889
9.00 0 0.0102956 0 8.875 9.125 55655
9.25 0 0.029848 0 9.125 9.375 268326
9.50 1.3557e-05 0.0607363 1.80759e-06 9.375 9.625 1.10644e+06
9.75 0.000131833 0.111655 6.23036e-06 9.625 9.875 3.04932e+06
10.00 0.000235036 0.130654 2.11948e-05 9.875 10.125 3.9143e+06
10.25 0.000340556 0.133929 0.000191264 10.125 10.375 2.74845e+06
10.50 0.000514538 0.129471 0.000410965 10.375 10.625 1.71805e+06
10.75 0.000840891 0.122494 0.000643047 10.625 10.875 1.06673e+06
11.00 0.00166388 0.120217 0.00113447 10.875 11.125 640072
11.25 0.00377828 0.127903 0.00149791 11.125 11.375 367892
11.50 0.00973541 0.145884 0.0015798 11.375 11.625 211085
11.75 0.0287752 0.1503 0.00216934 11.625 11.875 121146
12.00 0.0850521 0.156254 0.0062554 11.875 12.125 68652
12.25 0.175742 0.145534 0.014609 12.125 12.375 38568
12.50 0.222567 0.141348 0.0181448 12.375 12.625 21297
12.75 0.200434 0.159735 0.0189784 12.625 12.875 11525
13.00 0.180739 0.145679 0.0332999 12.875 13.125 5981
13.25 0.164283 0.128448 0.0349185 13.125 13.375 3007
13.50 0.155401 0.106471 0.0397213 13.375 13.625 1435
13.75 0.15493 0.0985915 0.0453834 13.625 13.875 639
14.00 0.142857 0.077551 0.0608899 13.875 14.125 245
14.25 0.123288 0.0821918 0.0273973 14.125 14.375 73
14.50 0 0.181818 0 14.375 14.625 11
14.75 0 0.5 0 14.625 14.875 2
15.00 0 0 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
