#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.000391687 0 8.625 8.875 84251
9.00 0 0.00237557 0 8.875 9.125 145649
9.25 0 0.0100511 0 9.125 9.375 606401
9.50 2.78735e-05 0.0312736 2.64562e-05 9.375 9.625 2.11671e+06
9.75 0.000145526 0.0567655 0.000136055 9.625 9.875 4.32913e+06
10.00 0.000230222 0.0624458 0.000217257 9.875 10.125 4.16554e+06
10.25 0.000553348 0.0718138 0.000532065 10.125 10.375 2.77764e+06
10.50 0.0010914 0.0700509 0.00106143 10.375 10.625 1.73355e+06
10.75 0.00195776 0.0695009 0.00184695 10.625 10.875 1.05069e+06
11.00 0.00398694 0.0778553 0.00359533 10.875 11.125 586414
11.25 0.00847373 0.0904548 0.00710799 11.125 11.375 321346
11.50 0.016642 0.0991452 0.0123392 11.375 11.625 176061
11.75 0.0326549 0.119909 0.0206299 11.625 11.875 95024
12.00 0.0599765 0.123576 0.0314256 11.875 12.125 50153
12.25 0.0925875 0.120558 0.0371078 12.125 12.375 25673
12.50 0.114346 0.107041 0.0377903 12.375 12.625 12777
12.75 0.120907 0.123489 0.0393668 12.625 12.875 5955
13.00 0.112102 0.109387 0.0427878 12.875 13.125 2578
13.25 0.0929791 0.0971349 0.037846 13.125 13.375 1054
13.50 0.0840108 0.104 0.0325203 13.375 13.625 369
13.75 0.0909091 0.1 0.0363636 13.625 13.875 110
14.00 0.0625 0.0625 0.0625 13.875 14.125 16
14.25 0 0.333333 0 14.125 14.375 3
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
