#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.000118961 0 8.625 8.875 168122
9.00 0 0.000649138 0 8.875 9.125 274210
9.25 1.00686e-05 0.00331862 1.00686e-05 9.125 9.375 993183
9.50 0.00010952 0.0115026 0.000107824 9.375 9.625 2.94924e+06
9.75 0.000357641 0.020562 0.000347741 9.625 9.875 4.84844e+06
10.00 0.000493795 0.0270902 0.000477434 9.875 10.125 3.8518e+06
10.25 0.00113166 0.033833 0.00109626 10.125 10.375 2.4177e+06
10.50 0.00195787 0.0392631 0.00187495 10.375 10.625 1.47661e+06
10.75 0.00294657 0.0417864 0.00271572 10.625 10.875 829779
11.00 0.00462012 0.0454932 0.00414261 10.875 11.125 440681
11.25 0.00757642 0.0528553 0.00654917 11.125 11.375 228868
11.50 0.0129668 0.061025 0.0109169 11.375 11.625 115449
11.75 0.0197392 0.0671673 0.0144787 11.625 11.875 56892
12.00 0.0302348 0.0718828 0.0213689 11.875 12.125 27088
12.25 0.0449636 0.0722056 0.0292914 12.125 12.375 11943
12.50 0.0531661 0.066802 0.0284796 12.375 12.625 5022
12.75 0.0627968 0.0612137 0.0337731 12.625 12.875 1895
13.00 0.0484653 0.0662359 0.0226171 12.875 13.125 619
13.25 0.0994152 0.0467836 0.0584795 13.125 13.375 171
13.50 0 0.111111 0 13.375 13.625 36
13.75 0 0 0 13.625 13.875 2
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
