#Peak halo masses in Msun
#Rejuvenation definition: at least 300Myr quenched, followed by at least 300Myr of star formation.
#Quenched threshold: 1e-11/yr
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) F_rejuv Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0.00155202 0 8.625 8.875 39948
9.00 0 0.00696107 0 8.875 9.125 72259
9.25 2.92088e-06 0.0232094 0 9.125 9.375 342362
9.50 9.41884e-06 0.0521869 6.52073e-06 9.375 9.625 1.38021e+06
9.75 9.52859e-05 0.0946099 3.041e-05 9.625 9.875 3.45277e+06
10.00 0.000198622 0.112721 8.28343e-05 9.875 10.125 4.06803e+06
10.25 0.000359184 0.116185 0.000290845 10.125 10.375 2.80915e+06
10.50 0.000619953 0.110745 0.000581118 10.375 10.625 1.75013e+06
10.75 0.00101592 0.104581 0.000915888 10.625 10.875 1.08473e+06
11.00 0.00210295 0.105137 0.00174816 10.875 11.125 637199
11.25 0.00480485 0.116747 0.00312025 11.125 11.375 361510
11.50 0.0117826 0.13282 0.0052635 11.375 11.625 205557
11.75 0.0305655 0.145511 0.00814552 11.625 11.875 115817
12.00 0.0754275 0.157334 0.0135682 11.875 12.125 64910
12.25 0.143054 0.139102 0.0232454 12.125 12.375 35546
12.50 0.177213 0.133921 0.0232985 12.375 12.625 19265
12.75 0.165094 0.142382 0.0235455 12.625 12.875 9964
13.00 0.150467 0.14066 0.0323662 12.875 13.125 5031
13.25 0.142917 0.126572 0.0373427 13.125 13.375 2386
13.50 0.137181 0.0957738 0.0444655 13.375 13.625 1057
13.75 0.103774 0.107991 0.0283019 13.625 13.875 424
14.00 0.118421 0.0789474 0.0328947 13.875 14.125 152
14.25 0.107143 0.0714286 0.0714286 14.125 14.375 28
14.50 0 0 0 14.375 14.625 2
14.75 0 0.5 0 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
