#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 5.96046e-08 0 0.893229 0.0293878 0.0184037 1.11573 0.011202 0.0277767
0.0231134 1 0 0 0.885328 0.0286797 0.0206796 1.12429 0.0133232 0.0285454
0.0308222 1 0 0 0.870913 0.03124 0.0212715 1.13992 0.0138438 0.0314177
0.0411021 1 0 5.96046e-08 0.853183 0.0339455 0.019848 1.15914 0.0128475 0.0333437
0.0548105 1 5.96046e-08 0 0.837474 0.0339882 0.0218868 1.17616 0.0147388 0.03483
0.073091 1 0 0 0.81677 0.0329354 0.0234205 1.1986 0.0157857 0.0341684
0.0974684 1 0 0 0.795614 0.0339337 0.021874 1.22154 0.0127048 0.0353349
0.129976 1 0 5.96046e-08 0.771504 0.0335605 0.0207815 1.24767 0.0127525 0.0346739
0.173326 1 0 0 0.747018 0.0322062 0.0219517 1.27421 0.0118159 0.0332538
0.231134 1 0 0 0.719565 0.0296015 0.0237141 1.30397 0.0105649 0.0313817
0.308222 1 0 5.96046e-08 0.691006 0.0250032 0.023529 1.33492 0.0131245 0.0294583
0.411021 1 0 0 0.662787 0.0197949 0.022108 1.36551 0.0157009 0.0261275
0.548105 1 5.96046e-08 -5.96046e-08 0.639515 0.0157723 0.0223992 1.39074 0.0188437 0.0291436
0.73091 1 0 0 0.628895 0.011467 0.0238989 1.40224 0.0263754 0.0315636
0.974684 1 0 5.96046e-08 0.624189 0.0102308 0.0275491 1.40734 0.0361296 0.0310551
1.29976 1 0 0 0.626318 0.0109625 0.0295318 1.40504 0.0402386 0.0314853
1.73326 1 0 0 0.637324 0.00978923 0.0320095 1.39311 0.0419114 0.0306315
2.31134 1 0 5.96046e-08 0.659197 0.0096584 0.0327196 1.3694 0.0470688 0.0297905
3.08222 1 0 0 0.682451 0.00704288 0.0363826 1.34419 0.0489873 0.0276041
4.11021 1 5.96046e-08 -5.96046e-08 0.708249 0.00652838 0.0308721 1.31623 0.0381678 0.026729
5.48105 1 0 0 0.744358 0.00635892 0.0242336 1.2771 0.0311162 0.0229325
7.3091 1 0 0 0.780347 0.00752205 0.0232274 1.23807 0.0303128 0.0232471
9.74684 1 0 5.96046e-08 0.812839 0.00510973 0.0241298 1.20287 0.0294069 0.0149895
