#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 5.96046e-08 0.84387 0.0288041 0.0145983 1.16916 0.00433266 0.0441494
0.0231134 1 0 5.96046e-08 0.824304 0.030524 0.010018 1.19036 0.000336766 0.0530403
0.0308222 1 0 0 0.80619 0.0309656 0.0151877 1.20998 0.00475872 0.0547419
0.0411021 1 0 0 0.792024 0.0347733 0.00966603 1.22533 0.00079906 0.0599555
0.0548105 1 0 0 0.771698 0.0354884 0.0120026 1.24735 0.00101018 0.0620501
0.073091 1 0 5.96046e-08 0.754052 0.0383412 0.00890744 1.26647 0 0.0633385
0.0974684 1 0 5.96046e-08 0.731394 0.0365056 0.0102778 1.29102 0.000900507 0.0663034
0.129976 1 0 0 0.710599 0.0365353 0.0105904 1.31355 0 0.0668856
0.173326 1 0 0 0.694405 0.0335839 0.00836533 1.3311 0.000281811 0.0681841
0.231134 1 0 5.96046e-08 0.677911 0.0305046 0.00969964 1.34897 0.000103116 0.0674133
0.308222 1 0 0 0.655213 0.0290617 0.00822979 1.37356 -0.000187516 0.0683864
0.411021 1 0 0 0.634513 0.0292506 0.00789362 1.39599 2.03848e-05 0.069585
0.548105 1 0 5.96046e-08 0.616545 0.0288823 0.00647068 1.41546 0.0012176 0.0697016
0.73091 1 0 0 0.600733 0.0299281 0.00765222 1.43259 -6.07967e-06 0.071739
0.974684 1 0 5.96046e-08 0.590167 0.0299031 0.0105498 1.44403 -0.000663638 0.0730239
1.29976 1 0 5.96046e-08 0.594157 0.0304564 0.0148107 1.43971 0.000648737 0.0704547
1.73326 1 0 0 0.609195 0.0310416 0.0126833 1.42342 -0.000676036 0.0694562
2.31134 1 0 5.96046e-08 0.633904 0.0293542 0.0153301 1.39664 0.00136781 0.0663406
3.08222 1 0 0 0.664344 0.0290834 0.0156425 1.36365 0.00118232 0.0602342
4.11021 1 0 5.96046e-08 0.693521 0.0259367 0.0149196 1.33205 -0.000455379 0.0551085
5.48105 1 0 0 0.710292 0.0271617 0.0159605 1.31389 4.37498e-05 0.052909
7.3091 1 0 0 0.76174 0.0309912 0.00361615 1.25815 -0.00119269 0.0546571
9.74684 1 0 0 0.801772 0.029824 0.00244057 1.21478 -0.00279343 0.0501953
