#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 5.96046e-08 0 0.937576 0.0172797 0.0145745 1.19116 0.0348084 0.0683604
0.0231134 1 0 5.96046e-08 0.932824 0.0178964 0.0115547 1.20571 0.0291342 0.0780561
0.0308222 1 0 5.96046e-08 0.927457 0.0186588 0.011162 1.22215 0.02461 0.0834533
0.0411021 1 0 0 0.915444 0.0188602 0.0145026 1.25893 0.0336381 0.0804309
0.0548105 1 0 0 0.900187 0.020189 0.011389 1.30566 0.0250993 0.0906591
0.073091 1 0 0 0.896166 0.0198428 0.0132211 1.31797 0.031901 0.0901462
0.0974684 1 0 5.96046e-08 0.883717 0.0189984 0.0100624 1.35609 0.0221041 0.0966892
0.129976 1 0 0 0.874242 0.019779 0.0117315 1.38511 0.0252247 0.10461
0.173326 1 0 0 0.862565 0.0179879 0.0118713 1.42087 0.0231194 0.104096
0.231134 1 0 0 0.855064 0.0189642 0.0119121 1.44384 0.0237249 0.107084
0.308222 1 0 5.96046e-08 0.845532 0.0178226 0.0119291 1.47302 0.023625 0.103128
0.411021 1 0 5.96046e-08 0.829983 0.0185568 0.0116201 1.52064 0.0223937 0.112167
0.548105 1 0 0 0.812289 0.0189875 0.0132492 1.57483 0.0214393 0.116337
0.73091 1 0 5.96046e-08 0.792259 0.0204746 0.0136579 1.63616 0.0168967 0.124934
0.974684 1 0 0 0.776849 0.0244278 0.0141628 1.68335 0.017803 0.131785
1.29976 1 0 5.96046e-08 0.788894 0.0218456 0.012886 1.64646 0.0177739 0.123122
1.73326 1 0 0 0.796797 0.0207532 0.0111899 1.62225 0.018723 0.121773
2.31134 1 0 5.96046e-08 0.822398 0.017028 0.0134642 1.54392 0.0225106 0.100671
3.08222 1 0 0 0.837327 0.015687 0.0116906 1.49808 0.020272 0.0892036
4.11021 1 0 0 0.852705 0.0133964 0.0131345 1.45107 0.0146165 0.07651
5.48105 1 0 5.96046e-08 0.867938 0.0149468 0.00957978 1.4044 0.00954437 0.0731302
7.3091 1 0 5.96046e-08 0.894926 0.00777864 0.0109876 1.32175 0.0171812 0.0496223
9.74684 1 0 0 0.921499 0.00777239 0.00956815 1.24046 0.0151473 0.0446532
