#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>9.8
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 0 0.899019 0.0244557 0.0200176 1.13775 0.0216514 0.0292172
0.0231134 1 0 5.96046e-08 0.889811 0.0246242 0.0213009 1.15031 0.0219207 0.0290242
0.0308222 1 0 5.96046e-08 0.876176 0.0260369 0.0220784 1.16891 0.0225385 0.0295732
0.0411021 1 0 5.96046e-08 0.858738 0.0271951 0.0211651 1.19269 0.0225766 0.0314422
0.0548105 1 0 0 0.841629 0.028728 0.0223165 1.21603 0.0243491 0.0343629
0.073091 1 0 5.96046e-08 0.821206 0.0275342 0.0218429 1.24389 0.0254986 0.0328321
0.0974684 1 0 5.96046e-08 0.799967 0.0272631 0.0206142 1.27286 0.0247017 0.031613
0.129976 1 0 0 0.776592 0.025707 0.0199196 1.30475 0.0222323 0.02943
0.173326 1 0 5.96046e-08 0.751374 0.0236865 0.020578 1.33915 0.021998 0.0263206
0.231134 1 0 5.96046e-08 0.723861 0.020633 0.0200328 1.37668 0.021293 0.0241585
0.308222 1 0 0 0.69608 0.0169445 0.0210536 1.41457 0.0230509 0.0196435
0.411021 1 0 0 0.67099 0.0135804 0.0196737 1.4488 0.0323309 0.017324
0.548105 1 0 0 0.652496 0.0140753 0.0218641 1.47403 0.0422839 0.0224326
0.73091 1 5.96046e-08 0 0.647588 0.0109833 0.0262465 1.48072 0.0518559 0.0234948
0.974684 1 0 0 0.649271 0.00946432 0.029182 1.47843 0.0579883 0.0244619
1.29976 1 0 0 0.655035 0.00960189 0.0328301 1.47057 0.0618726 0.0273567
1.73326 1 0 0 0.666774 0.0103325 0.0331872 1.45455 0.0636865 0.0296215
2.31134 1 0 5.96046e-08 0.688574 0.0100317 0.0339971 1.42482 0.0636084 0.0300084
3.08222 1 5.96046e-08 -5.96046e-08 0.709095 0.00959802 0.0330431 1.39681 0.0630022 0.0264727
4.11021 1 0 5.96046e-08 0.73401 0.0082103 0.0292044 1.36284 0.0545163 0.0236111
5.48105 1 0 0 0.770768 0.00574607 0.0265729 1.31268 0.0474066 0.0153605
7.3091 1 0 0 0.802106 0.00422609 0.0239372 1.26995 0.0467267 0.0146933
9.74684 1 0 5.96046e-08 0.822269 0.00493091 0.0223656 1.24245 0.0389524 0.0134386
