#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 0 0.898182 0.0247422 0.0483125 1.06676 0.0193291 0.0180966
0.0231134 1 0 0 0.87582 0.0315481 0.0461631 1.08142 0.0158038 0.0230544
0.0308222 1 0 5.96046e-08 0.865742 0.0318698 0.0479636 1.08803 0.0180448 0.0242736
0.0411021 1 5.96046e-08 0 0.848987 0.037708 0.0479099 1.09901 0.0158515 0.0282182
0.0548105 1 0 0 0.832679 0.0437822 0.0477129 1.1097 0.0158677 0.0314354
0.073091 1 0 0 0.810721 0.0514761 0.0469723 1.1241 0.0141478 0.036633
0.0974684 1 0 5.96046e-08 0.79321 0.0536346 0.0470535 1.13558 0.0128468 0.0394831
0.129976 1 0 0 0.770244 0.0587882 0.047233 1.15064 0.00951529 0.0417371
0.173326 1 0 0 0.746198 0.0618024 0.0503549 1.1664 0.00600135 0.0437056
0.231134 1 0 5.96046e-08 0.722359 0.0625095 0.0494424 1.18203 0.00313103 0.0444419
0.308222 1 0 0 0.696169 0.0604743 0.0478705 1.1992 0.00368047 0.047425
0.411021 1 0 5.96046e-08 0.664243 0.0607421 0.0425099 1.22014 0.007514 0.0509305
0.548105 1 5.96046e-08 0 0.631753 0.0580716 0.03958 1.24144 0.008371 0.0558336
0.73091 1 0 0 0.60989 0.0479038 0.0379775 1.25577 0.0108991 0.0576984
0.974684 1 0 0 0.606359 0.0347998 0.0434824 1.25809 0.0158658 0.0533797
1.29976 1 0 5.96046e-08 0.607035 0.0294206 0.0460041 1.25765 0.0228169 0.0494936
1.73326 1 0 0 0.61616 0.017912 0.0485013 1.25167 0.0274422 0.0483365
2.31134 1 0 5.96046e-08 0.635122 0.0120569 0.0537752 1.23923 0.0316283 0.0420632
3.08222 1 5.96046e-08 -5.96046e-08 0.661513 0.00451255 0.0562549 1.22192 0.0353231 0.0372676
4.11021 1 0 0 0.693035 0.00362355 0.0504795 1.20126 0.035174 0.0337604
5.48105 1 5.96046e-08 0 0.73002 -0.00204545 0.0518163 1.177 0.0353125 0.0272268
7.3091 1 0 0 0.755357 0.00814611 0.0438681 1.1604 0.0247314 0.0296783
9.74684 1 0 5.96046e-08 0.792727 0.0071066 0.0392025 1.1359 0.0215988 0.0259104
