#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 5.96046e-08 0.901109 0.015054 0.0453337 1.09165 0.0328995 0.0114211
0.0231134 1 0 5.96046e-08 0.881275 0.0194241 0.0454135 1.11004 0.0316703 0.0150715
0.0308222 1 0 0 0.870869 0.0214583 0.0450619 1.11968 0.0311896 0.0177267
0.0411021 1 0 0 0.856442 0.0251406 0.0467045 1.13305 0.0305495 0.0208771
0.0548105 1 0 5.96046e-08 0.839652 0.0300218 0.0456509 1.14861 0.0285732 0.0238642
0.073091 1 0 0 0.818033 0.0346473 0.0432001 1.16865 0.0239077 0.028044
0.0974684 1 0 0 0.800011 0.0365455 0.0430878 1.18535 0.0226072 0.0280839
0.129976 1 5.96046e-08 0 0.777815 0.0388169 0.0445457 1.20593 0.0186895 0.0287178
0.173326 1 0 0 0.753294 0.0414873 0.0426012 1.22865 0.0175413 0.0291604
0.231134 1 0 0 0.726493 0.0427635 0.0426139 1.25349 0.0136303 0.0298437
0.308222 1 0 5.96046e-08 0.696467 0.0408113 0.0395636 1.28132 0.0102333 0.0283767
0.411021 1 0 0 0.666491 0.0382549 0.0373209 1.3091 0.00836277 0.0273619
0.548105 1 0 0 0.638225 0.0356218 0.0360543 1.3353 0.010415 0.0296892
0.73091 1 0 5.96046e-08 0.620301 0.0299937 0.0349501 1.35191 0.0146005 0.0304508
0.974684 1 0 5.96046e-08 0.618681 0.0229872 0.0364641 1.35341 0.0234251 0.0300885
1.29976 1 0 0 0.621028 0.0188919 0.0402938 1.35124 0.0309937 0.0295449
1.73326 1 0 0 0.63235 0.0182433 0.0434244 1.34074 0.0335375 0.029411
2.31134 1 0 5.96046e-08 0.649837 0.0174523 0.0415564 1.32454 0.0359548 0.0299613
3.08222 1 0 0 0.669304 0.0166464 0.040427 1.3065 0.0374585 0.0283111
4.11021 1 0 0 0.699766 0.0119778 0.0428668 1.27826 0.0374249 0.0235596
5.48105 1 0 5.96046e-08 0.741219 0.00912768 0.0404836 1.23983 0.0331281 0.0201819
7.3091 1 0 0 0.78209 0.01148 0.0326402 1.20197 0.0281447 0.0192468
9.74684 1 0 5.96046e-08 0.811828 0.0123781 0.0250069 1.1744 0.0220014 0.0160929
