#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 0 0.929186 0.0195655 0.0203025 1.16475 0.0340806 0.0664743
0.0231134 1 0 5.96046e-08 0.913151 0.0287754 0.00951457 1.20206 0.0117065 0.0824403
0.0308222 1 5.96046e-08 0 0.920409 0.0185553 0.0154849 1.18517 0.0232959 0.0621148
0.0411021 1 0 5.96046e-08 0.906806 0.0161763 0.020402 1.21682 0.0307735 0.0576681
0.0548105 1 5.96046e-08 0 0.884538 0.0221585 0.0117427 1.26863 0.0149815 0.0855627
0.073091 1 0 0 0.880171 0.0227929 0.0118417 1.27879 0.0146031 0.0854298
0.0974684 1 0 0 0.873815 0.0202613 0.0121954 1.29358 0.0133768 0.0851774
0.129976 1 0 0 0.859248 0.0214089 0.0124284 1.32747 0.0141624 0.0898764
0.173326 1 0 5.96046e-08 0.851402 0.0195663 0.0125811 1.34572 0.0153017 0.0885227
0.231134 1 0 5.96046e-08 0.843499 0.0226784 0.0111441 1.36411 0.0132992 0.0934284
0.308222 1 0 0 0.834084 0.0235552 0.0108236 1.38601 0.0124103 0.102714
0.411021 1 0 5.96046e-08 0.82325 0.022352 0.011157 1.41122 0.0129416 0.10236
0.548105 1 0 5.96046e-08 0.805573 0.0211556 0.0121662 1.45235 0.013194 0.106802
0.73091 1 0 0 0.78076 0.0235639 0.0121894 1.51008 0.00816166 0.120189
0.974684 1 0 5.96046e-08 0.756702 0.0240887 0.0115324 1.56605 0.005885 0.139151
1.29976 1 0 0 0.766658 0.0216132 0.010129 1.54289 0.00648296 0.131053
1.73326 1 0 5.96046e-08 0.772754 0.0204655 0.00932848 1.5287 0.00622201 0.123232
2.31134 1 0 5.96046e-08 0.801013 0.0186301 0.00702631 1.46297 0.00723231 0.113523
3.08222 1 0 5.96046e-08 0.808425 0.0219207 0.00401413 1.44571 -0.00219119 0.121818
4.11021 1 0 0 0.820347 0.023224 0.00727153 1.418 -0.00542998 0.116896
5.48105 1 0 5.96046e-08 0.842436 0.0188349 0.00497043 1.36656 -0.00729752 0.0932982
7.3091 1 0 5.96046e-08 0.868605 0.0134643 0.00892502 1.30568 0.00306761 0.0711554
9.74684 1 0 0 0.910128 0.00938809 0.0110766 1.20907 0.018521 0.0456539
