#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 5.96046e-08 0.859777 0.0261012 0.00815749 1.1934 0.000650167 0.0464098
0.0231134 1 0 5.96046e-08 0.835688 0.029848 0.00543475 1.22662 -0.00398386 0.0503796
0.0308222 1 0 5.96046e-08 0.820707 0.0271862 0.00740486 1.24729 -0.00213516 0.0519016
0.0411021 1 0 0 0.80289 0.0300904 0.00655264 1.27186 -0.0036813 0.0569429
0.0548105 1 0 0 0.781567 0.0309076 0.00666934 1.30127 -0.00508082 0.0606946
0.073091 1 0 5.96046e-08 0.762099 0.0294377 0.00773102 1.32812 -0.00559485 0.0621089
0.0974684 1 5.96046e-08 0 0.740053 0.0295113 0.00710291 1.35853 -0.00519466 0.0643859
0.129976 1 0 0 0.719615 0.0298336 0.00739455 1.38671 -0.00396502 0.0653969
0.173326 1 0 0 0.69909 0.0282336 0.00782824 1.41502 -0.00445044 0.0675379
0.231134 1 0 5.96046e-08 0.677409 0.025313 0.00847989 1.44493 -0.00387824 0.0657672
0.308222 1 0 0 0.658347 0.0233276 0.00879937 1.47122 -0.0023675 0.0633299
0.411021 1 0 0 0.641454 0.0206345 0.00959551 1.49452 -0.000261188 0.0645339
0.548105 1 0 5.96046e-08 0.628358 0.0191899 0.0110867 1.51258 0.00348437 0.0630431
0.73091 1 0 0 0.618595 0.0179937 0.0136557 1.52604 0.00669301 0.0626851
0.974684 1 0 0 0.619694 0.0172995 0.0181481 1.52453 0.0122993 0.0639617
1.29976 1 0 5.96046e-08 0.632132 0.0156173 0.0231148 1.50738 0.0186195 0.0629182
1.73326 1 0 0 0.649337 0.0151612 0.0258365 1.48364 0.0234976 0.0591837
2.31134 1 0 0 0.673556 0.0134996 0.0244268 1.45025 0.0212815 0.0551068
3.08222 1 5.96046e-08 0 0.702348 0.013366 0.0246206 1.41053 0.0214223 0.0487217
4.11021 1 0 0 0.7408 0.00798464 0.0269563 1.3575 0.0235069 0.0378917
5.48105 1 0 5.96046e-08 0.771543 0.00896472 0.0217891 1.3151 0.0176001 0.0349318
7.3091 1 0 0 0.795426 0.0100057 0.0161874 1.28213 0.0113552 0.0342834
9.74684 1 0 0 0.824777 0.00774252 0.0145937 1.24169 0.0114421 0.0267266
