#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.2
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 0 0.863054 0.0264298 0.0125191 1.2216 0.0102286 0.049556
0.0231134 1 0 0 0.847965 0.027713 0.011666 1.24602 0.0102832 0.054708
0.0308222 1 0 5.96046e-08 0.831165 0.0304818 0.0114617 1.2732 0.0078752 0.057187
0.0411021 1 0 0 0.817136 0.0300718 0.0109119 1.29591 0.00548184 0.0597018
0.0548105 1 0 5.96046e-08 0.798323 0.0314763 0.012174 1.32635 0.00773275 0.0612122
0.073091 1 0 5.96046e-08 0.779635 0.0315509 0.0115154 1.35659 0.00628233 0.0648713
0.0974684 1 5.96046e-08 -5.96046e-08 0.760114 0.03096 0.0111958 1.38818 0.00555634 0.0682814
0.129976 1 0 0 0.74131 0.0288619 0.0103651 1.41861 0.00536215 0.0713097
0.173326 1 0 5.96046e-08 0.724572 0.0273824 0.00909519 1.44569 0.00372648 0.0702802
0.231134 1 0 0 0.710032 0.0240223 0.009341 1.46922 0.00447023 0.0690017
0.308222 1 0 0 0.6911 0.0238093 0.00847876 1.49986 0.00455415 0.0676695
0.411021 1 0 5.96046e-08 0.675544 0.021884 0.00828695 1.52503 0.00510836 0.0657166
0.548105 1 0 0 0.659455 0.0212354 0.00832355 1.55107 0.00518763 0.0636944
0.73091 1 0 0 0.647699 0.0230017 0.0105937 1.57009 0.00793064 0.0688878
0.974684 1 0 0 0.645054 0.0232965 0.0140135 1.57436 0.0122917 0.0693252
1.29976 1 0 0 0.657775 0.0208394 0.018148 1.55378 0.0183605 0.0651035
1.73326 1 5.96046e-08 0 0.682788 0.0195842 0.0195133 1.51332 0.0216701 0.0610386
2.31134 1 0 0 0.705002 0.0210727 0.0182666 1.47735 0.0177063 0.0596359
3.08222 1 0 5.96046e-08 0.732241 0.0211608 0.0191943 1.43327 0.017442 0.055336
4.11021 1 0 5.96046e-08 0.759353 0.0176736 0.0190994 1.38939 0.013255 0.0484096
5.48105 1 0 0 0.776192 0.0182756 0.0151607 1.36217 0.0121446 0.0460333
7.3091 1 0 0 0.80878 0.0186831 0.00824565 1.30948 0.0048449 0.0461982
9.74684 1 0 5.96046e-08 0.83645 0.0173089 0.00670999 1.26463 0.00158799 0.0394617
