#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>9.8
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 0 0.941849 0.0169104 0.0107815 1.24823 0.0364925 0.103074
0.0231134 1 0 0 0.937379 0.0183971 0.00859803 1.26731 0.0306785 0.110681
0.0308222 1 0 0 0.935125 0.0172521 0.0103948 1.27693 0.037323 0.107993
0.0411021 1 0 0 0.924189 0.0172524 0.0131943 1.32361 0.0481815 0.110375
0.0548105 1 5.96046e-08 -5.96046e-08 0.912322 0.0165733 0.0113532 1.37427 0.0416983 0.119193
0.073091 1 0 0 0.905598 0.0169333 0.0113755 1.40297 0.0448937 0.124808
0.0974684 1 0 5.96046e-08 0.892392 0.017095 0.00915891 1.45935 0.0362406 0.134442
0.129976 1 0 0 0.88546 0.0143306 0.0104159 1.48893 0.0393902 0.133216
0.173326 1 0 0 0.872446 0.014824 0.00946003 1.54449 0.030687 0.140156
0.231134 1 5.96046e-08 0 0.863922 0.0147467 0.00947917 1.58087 0.0295131 0.140324
0.308222 1 0 5.96046e-08 0.853434 0.0141614 0.0119799 1.62564 0.0308408 0.133943
0.411021 1 0 0 0.839471 0.015991 0.0131645 1.68525 0.0259565 0.138627
0.548105 1 0 5.96046e-08 0.822856 0.0179973 0.0154399 1.75617 0.0283592 0.144389
0.73091 1 0 0 0.807816 0.0180271 0.0180916 1.82037 0.0332386 0.155391
0.974684 1 0 0 0.800298 0.0191366 0.017468 1.85248 0.0337173 0.166228
1.29976 1 0 0 0.813306 0.017747 0.0187886 1.79692 0.0326824 0.148321
1.73326 1 0 0 0.823421 0.0170291 0.0164489 1.75376 0.029206 0.144112
2.31134 1 0 5.96046e-08 0.843002 0.0147033 0.0168625 1.6702 0.0300297 0.123039
3.08222 1 0 0 0.856354 0.0138612 0.0137525 1.61316 0.0255461 0.115562
4.11021 1 0 5.96046e-08 0.874309 0.0133263 0.0135886 1.53652 0.0190632 0.101595
5.48105 1 5.96046e-08 0 0.885491 0.0166047 0.00881845 1.48877 0.00741661 0.111623
7.3091 1 0 0 0.904723 0.0107225 0.00900614 1.40675 0.00973916 0.0807763
9.74684 1 0 0 0.929865 0.00686336 0.0098967 1.29943 0.0130185 0.048883
