#Observed UV luminosities (including dust) are M_1500 [AB].
#Number densities are in comoving Mpc^-3 mag^-1.
#UV_Center Number_Density Err+ Err- UV_Min UV_Max
-23.975 0 0 0 -24 -23.95
-23.925 0 0 0 -23.95 -23.9
-23.875 0 0 0 -23.9 -23.85
-23.825 0 0 0 -23.85 -23.8
-23.775 0 0 0 -23.8 -23.75
-23.725 0 0 0 -23.75 -23.7
-23.675 0 0 0 -23.7 -23.65
-23.625 0 0 0 -23.65 -23.6
-23.575 0 0 0 -23.6 -23.55
-23.525 0 0 0 -23.55 -23.5
-23.475 0 0 0 -23.5 -23.45
-23.425 0 0 0 -23.45 -23.4
-23.375 0 0 0 -23.4 -23.35
-23.325 0 0 0 -23.35 -23.3
-23.275 0 0 0 -23.3 -23.25
-23.225 0 0 0 -23.25 -23.2
-23.175 0 0 0 -23.2 -23.15
-23.125 0 0 0 -23.15 -23.1
-23.075 0 0 0 -23.1 -23.05
-23.025 0 0 0 -23.05 -23
-22.975 0 0 0 -23 -22.95
-22.925 0 0 0 -22.95 -22.9
-22.875 0 0 0 -22.9 -22.85
-22.825 0 0 0 -22.85 -22.8
-22.775 0 0 0 -22.8 -22.75
-22.725 0 0 0 -22.75 -22.7
-22.675 0 0 0 -22.7 -22.65
-22.625 0 0 0 -22.65 -22.6
-22.575 0 0 0 -22.6 -22.55
-22.525 0 0 0 -22.55 -22.5
-22.475 0 0 0 -22.5 -22.45
-22.425 0 0 0 -22.45 -22.4
-22.375 0 0 0 -22.4 -22.35
-22.325 0 0 0 -22.35 -22.3
-22.275 0 0 0 -22.3 -22.25
-22.225 0 0 0 -22.25 -22.2
-22.175 0 0 0 -22.2 -22.15
-22.125 0 0 0 -22.15 -22.1
-22.075 0 0 0 -22.1 -22.05
-22.025 0 0 0 -22.05 -22
-21.975 0 0 0 -22 -21.95
-21.925 0 0 0 -21.95 -21.9
-21.875 0 0 0 -21.9 -21.85
-21.825 0 0 0 -21.85 -21.8
-21.775 0 0 0 -21.8 -21.75
-21.725 0 0 0 -21.75 -21.7
-21.675 0 0 0 -21.7 -21.65
-21.625 0 0 0 -21.65 -21.6
-21.575 0 0 0 -21.6 -21.55
-21.525 0 0 0 -21.55 -21.5
-21.475 0 0 0 -21.5 -21.45
-21.425 0 0 0 -21.45 -21.4
-21.375 0 0 0 -21.4 -21.35
-21.325 0 0 0 -21.35 -21.3
-21.275 0 4.02473e-07 0 -21.3 -21.25
-21.225 0 4.02473e-07 0 -21.25 -21.2
-21.175 0 1.20742e-06 0 -21.2 -21.15
-21.125 0 2.01236e-06 0 -21.15 -21.1
-21.075 0 3.62226e-06 0 -21.1 -21.05
-21.025 0 4.4272e-06 0 -21.05 -21
-20.975 0 7.24451e-06 0 -21 -20.95
-20.925 0 1.00618e-05 0 -20.95 -20.9
-20.875 0 1.40866e-05 0 -20.9 -20.85
-20.825 0 2.09286e-05 0 -20.85 -20.8
-20.775 0 2.73682e-05 0 -20.8 -20.75
-20.725 0 3.6625e-05 0 -20.75 -20.7
-20.675 0 5.03091e-05 0 -20.7 -20.65
-20.625 0 6.88229e-05 0 -20.65 -20.6
-20.575 0 9.17638e-05 0 -20.6 -20.55
-20.525 4.02473e-07 0.000127584 4.02473e-07 -20.55 -20.5
-20.475 0 0.000171453 0 -20.5 -20.45
-20.425 1.60989e-06 0.000214921 1.20742e-06 -20.45 -20.4
-20.375 2.01236e-06 0.000282938 1.20742e-06 -20.4 -20.35
-20.325 5.23215e-06 0.00033365 2.01236e-06 -20.35 -20.3
-20.275 1.24767e-05 0.000422194 7.24451e-06 -20.3 -20.25
-20.225 2.01236e-05 0.000515165 1.04643e-05 -20.25 -20.2
-20.175 4.78943e-05 0.000598477 3.09904e-05 -20.2 -20.15
-20.125 7.36526e-05 0.000683802 4.10522e-05 -20.15 -20.1
-20.075 9.6996e-05 0.000828692 4.58819e-05 -20.1 -20.05
-20.025 0.000164209 0.000903149 7.84822e-05 -20.05 -20
-19.975 0.000266437 0.00100417 0.000140463 -20 -19.95
-19.925 0.000358603 0.00110881 0.000160184 -19.95 -19.9
-19.875 0.000534082 0.00114061 0.000268047 -19.9 -19.85
-19.825 0.000744977 0.0011072 0.000374702 -19.85 -19.8
-19.775 0.000951044 0.00110761 0.000462844 -19.8 -19.75
-19.725 0.00123116 0.00104965 0.000574731 -19.75 -19.7
-19.675 0.00162036 0.000907979 0.000680984 -19.7 -19.65
-19.625 0.00196286 0.000884233 0.000650396 -19.65 -19.6
-19.575 0.00230376 0.000799311 0.000696278 -19.6 -19.55
-19.525 0.00271428 0.000722439 0.000828692 -19.55 -19.5
-19.475 0.0031244 0.000583988 0.00100618 -19.5 -19.45
-19.425 0.00341619 0.000579561 0.00097479 -19.45 -19.4
-19.375 0.00378003 0.000597672 0.00103154 -19.4 -19.35
-19.325 0.00405532 0.000506713 0.00105971 -19.35 -19.3
-19.275 0.00433584 0.000470893 0.00111244 -19.3 -19.25
-19.225 0.00447952 0.000420182 0.00101101 -19.25 -19.2
-19.175 0.00457209 0.000305477 0.000991291 -19.2 -19.15
-19.125 0.00459785 0.000340895 0.000882623 -19.15 -19.1
-19.075 0.00470169 0.000367458 0.0008951 -19.1 -19.05
-19.025 0.00479989 0.000289781 0.000930115 -19.05 -19
-18.975 0.00470491 0.00037591 0.000733708 -19 -18.95
-18.925 0.00466788 0.000331235 0.000662873 -18.95 -18.9
-18.875 0.00465581 0.000332443 0.000621821 -18.9 -18.85
-18.825 0.00468116 0.000325198 0.000602502 -18.85 -18.8
-18.775 0.00464575 0.000390801 0.000557023 -18.8 -18.75
-18.725 0.00467231 0.000338882 0.000519593 -18.75 -18.7
-18.675 0.00462562 0.000430646 0.000450367 -18.7 -18.65
-18.625 0.00464816 0.000431049 0.000465661 -18.65 -18.6
-18.575 0.00474153 0.000325601 0.000538106 -18.6 -18.55
-18.525 0.00472423 0.000351359 0.000487395 -18.55 -18.5
-18.475 0.00466225 0.000468076 0.000408913 -18.5 -18.45
-18.425 0.00469927 0.000457209 0.000404485 -18.45 -18.4
-18.375 0.00474677 0.000438293 0.000383557 -18.4 -18.35
-18.325 0.00482485 0.000377117 0.000418572 -18.35 -18.3
-18.275 0.00484175 0.000408108 0.000410925 -18.3 -18.25
-18.225 0.00486228 0.000421792 0.000390399 -18.25 -18.2
-18.175 0.00493915 0.000417364 0.000390801 -18.2 -18.15
