#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 0 0 -22.5 -22
-21.75 0 1.53621e+11 0 -22 -21.5
-21.25 0 9.70756e+10 -4.08614e+10 -21.5 -21
-20.75 6.03507e+10 1.01079e+09 1.58864e+10 -21 -20.5
-20.25 3.8335e+10 3.13074e+08 4.04798e+09 -20.5 -20
-19.75 2.41965e+10 9.99363e+07 2.52606e+09 -20 -19.5
-19.25 1.51736e+10 2.66127e+07 4.60846e+09 -19.5 -19
-18.75 6.09799e+09 9.7779e+08 1.67085e+09 -19 -18.5
-18.25 2.49438e+09 3.7735e+08 5.45637e+08 -18.5 -18
-17.75 1.24534e+09 1.66582e+08 2.43882e+08 -18 -17.5
-17.25 6.87159e+08 8.3777e+07 1.28896e+08 -17.5 -17
