#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 3.23593e+11 0 -23.5 -23
-22.75 1.28758e+11 3.69471e+10 1.92169e+10 -23 -22.5
-22.25 7.77941e+10 1.0038e+10 1.45062e+10 -22.5 -22
-21.75 4.04299e+10 4.08937e+09 9.22948e+09 -22 -21.5
-21.25 1.79266e+10 1.5978e+09 4.3467e+09 -21.5 -21
-20.75 7.72105e+09 5.80097e+08 1.43154e+09 -21 -20.5
-20.25 3.6811e+09 3.01738e+08 6.04676e+08 -20.5 -20
-19.75 1.84881e+09 1.94055e+08 2.79572e+08 -20 -19.5
-19.25 9.77284e+08 1.16078e+08 1.37004e+08 -19.5 -19
-18.75 5.35484e+08 7.80465e+07 6.81193e+07 -19 -18.5
-18.25 3.04708e+08 5.27944e+07 4.49375e+07 -18.5 -18
-17.75 1.77664e+08 3.68803e+07 2.38457e+07 -18 -17.5
-17.25 1.05247e+08 2.50668e+07 1.45213e+07 -17.5 -17
