#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#Note: Dust corrections are uncalibrated at z<4, so UV luminosities may be incorrect.
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 1.72785e+11 0 -23 -22.5
-22.25 1.19025e+11 4.1089e+10 2.8132e+10 -22.5 -22
-21.75 7.02651e+10 1.21605e+10 1.04503e+10 -22 -21.5
-21.25 4.70122e+10 2.517e+09 6.66354e+09 -21.5 -21
-20.75 2.88142e+10 1.33634e+09 4.40628e+09 -21 -20.5
-20.25 1.53975e+10 1.23471e+09 3.02691e+09 -20.5 -20
-19.75 7.39057e+09 8.79659e+08 1.58642e+09 -20 -19.5
-19.25 3.56109e+09 4.03416e+08 6.65334e+08 -19.5 -19
-18.75 1.84892e+09 1.79738e+08 2.85078e+08 -19 -18.5
-18.25 1.03859e+09 1.04435e+08 1.74005e+08 -18.5 -18
-17.75 6.06592e+08 6.8166e+07 1.00451e+08 -18 -17.5
-17.25 3.61394e+08 5.52533e+07 7.01388e+07 -17.5 -17
