#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.425185.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.22508 0.0534815 0.0580821 2.07258 0.0962784 0.0769036 0.417845 0.0185913 0.0157824 1.33307 0.0449229 0.0476643 2.20929 0.0557992 0.0508931 0.441474 0.0122484 0.0162376 1.35678 0.0327246 0.0496577 2.22498 0.0517979 0.0714483 0.489516 0.0187894 0.0229732 7.2 7.4 652274 34031 17499 2692
7.5 1.35883 0.0810918 0.0871168 2.31855 0.174715 0.193487 0.474901 0.0359989 0.0348038 1.4822 0.0735995 0.0841492 2.36888 0.111202 0.11754 0.488568 0.0249454 0.026902 1.44945 0.0847335 0.0684655 2.35024 0.0982177 0.0901277 0.530989 0.0336409 0.0316201 7.4 7.6 529351 32969 16306 2478
7.7 1.5001 0.0777603 0.0978535 2.70123 0.164203 0.303012 0.541947 0.0316328 0.0391763 1.6234 0.0618055 0.0762343 2.6085 0.171783 0.173851 0.542013 0.0268778 0.0290195 1.6157 0.0750487 0.0912549 2.59703 0.109406 0.174851 0.571136 0.0330259 0.0275053 7.6 7.8 432553 32837 15091 2268
7.9 1.57351 0.0599451 0.0832896 2.85836 0.0940583 0.174745 0.575651 0.025032 0.032425 1.69405 0.0556389 0.0587639 2.84789 0.159748 0.200133 0.580999 0.0298936 0.0257156 1.72197 0.0572697 0.0593652 2.81493 0.131143 0.152659 0.635485 0.0287606 0.0308101 7.8 8 348466 30546 13543 2073
8.1 1.56757 0.0504273 0.0903273 2.85177 0.0650697 0.146095 0.572031 0.0196548 0.0330824 1.7299 0.040779 0.060362 2.97332 0.122161 0.244233 0.61172 0.0193595 0.0259523 1.71646 0.0510346 0.0491934 2.81304 0.136656 0.130107 0.639888 0.0302086 0.0272372 8 8.2 274782 26307 11625 1703
8.3 1.52769 0.0465925 0.0874857 2.78011 0.0730999 0.133096 0.542432 0.0205509 0.0276331 1.7148 0.0418932 0.073784 2.9923 0.0978074 0.208928 0.615901 0.0225126 0.0244775 1.7153 0.0441387 0.0590082 2.81864 0.0906501 0.150036 0.605694 0.0304106 0.0268502 8.2 8.4 216555 22475 9800 1437
8.5 1.44584 0.0478013 0.0852399 2.67517 0.0619562 0.132676 0.524723 0.0180908 0.0320303 1.69798 0.0406631 0.0507742 2.91292 0.0926867 0.17625 0.623131 0.0167791 0.0241528 1.74128 0.0463417 0.0814673 2.88533 0.157741 0.205045 0.603374 0.0372074 0.0444138 8.4 8.6 169104 19043 8349 1203
8.7 1.37414 0.0469338 0.0796139 2.56254 0.0654693 0.131747 0.484803 0.0174271 0.0292792 1.6812 0.045756 0.0558232 2.89728 0.104942 0.185121 0.607988 0.0218655 0.0256226 1.7675 0.0539871 0.0622139 2.89078 0.174859 0.121532 0.629683 0.0368374 0.0346882 8.6 8.8 131705 15688 6943 1077
8.9 1.31032 0.0491012 0.077418 2.48416 0.0589108 0.127567 0.453208 0.0195387 0.0276357 1.6621 0.0415573 0.0503712 2.90896 0.105804 0.192179 0.624583 0.0180019 0.0234832 1.75146 0.076948 0.0680038 2.928 0.0995882 0.16081 0.634138 0.0211023 0.0359219 8.8 9 101518 12172 5850 791
9.1 1.26622 0.0459785 0.071148 2.40896 0.0710196 0.136783 0.429642 0.0218037 0.0229994 1.64737 0.0386566 0.0557663 2.9203 0.0705581 0.16152 0.614345 0.0223162 0.0226522 1.75523 0.0536525 0.0745949 3.0096 0.0650814 0.119642 0.593938 0.0513006 0.0429313 9 9.2 78625 8981 4917 667
