#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=1.002310.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -9.56582 0.0434055 0.0839682 -9.28278 0.0561686 0.0812788 -9.87339 0.0933199 0.100656 -9.54656 0.0476704 0.086977 -9.24906 0.0533743 0.0788803 -9.84654 0.0673323 0.0986347 -9.53895 0.0470314 0.087513 -9.24158 0.0564413 0.0740614 -9.83881 0.0679779 0.0948296 7.2 7.4 750530 20817 22247 20496
7.5 -9.55877 0.047205 0.0797749 -9.27606 0.0560942 0.0817661 -9.84991 0.0748482 0.0962954 -9.53725 0.046319 0.0753841 -9.2409 0.0532913 0.0739164 -9.83261 0.0678835 0.0855961 -9.53123 0.0475721 0.0776291 -9.22993 0.0548315 0.0733328 -9.82536 0.0695534 0.0907955 7.4 7.6 652350 20702 22062 19653
7.7 -9.55251 0.0492125 0.0734529 -9.27198 0.0540438 0.0789461 -9.83391 0.0758648 0.0887613 -9.52383 0.0479956 0.0665932 -9.23093 0.0525961 0.0737247 -9.80818 0.0674429 0.0832911 -9.51636 0.0461712 0.071455 -9.21134 0.051156 0.0730438 -9.80446 0.0668726 0.0838823 7.6 7.8 544474 18773 20114 18022
7.9 -9.54483 0.0445423 0.0662174 -9.26593 0.0538349 0.0738182 -9.82057 0.0762072 0.0924969 -9.51078 0.0455027 0.065279 -9.21691 0.0500994 0.0713863 -9.78784 0.0612164 0.0819921 -9.5015 0.0455656 0.0650969 -9.20191 0.0526876 0.0660601 -9.78391 0.0640726 0.0800867 7.8 8 444453 16742 18083 16164
8.1 -9.53908 0.0398903 0.0501127 -9.26175 0.0466785 0.0706291 -9.79933 0.0606937 0.0912867 -9.49544 0.0428419 0.0583315 -9.2089 0.0531597 0.0623369 -9.7679 0.0621243 0.0713539 -9.48141 0.0456638 0.0612421 -9.17877 0.0510349 0.0629044 -9.75814 0.0583181 0.0700169 8 8.2 356937 14669 15726 14018
8.3 -9.53219 0.0361652 0.0412493 -9.25527 0.0475101 0.0638857 -9.78661 0.0517616 0.0857086 -9.48135 0.0418692 0.0531797 -9.18886 0.0451479 0.0644388 -9.74624 0.0557003 0.065836 -9.4677 0.0460529 0.0559406 -9.16246 0.049345 0.0599575 -9.73924 0.0514736 0.0655861 8.2 8.4 287299 12675 14020 12063
8.5 -9.52677 0.0351152 0.0319309 -9.24418 0.0495424 0.0534344 -9.78737 0.057291 0.0711117 -9.46623 0.0403366 0.0433149 -9.17758 0.0485563 0.0518017 -9.73139 0.0544844 0.059432 -9.44719 0.0424051 0.0469141 -9.14322 0.0432901 0.0579901 -9.72121 0.0524559 0.0608625 8.4 8.6 235435 11588 12618 10771
8.7 -9.51393 0.024807 0.0254288 -9.22807 0.0474167 0.0408106 -9.78408 0.0606318 0.0622797 -9.44875 0.038866 0.036231 -9.15757 0.0533943 0.0518217 -9.72354 0.0517502 0.0538082 -9.43067 0.0409403 0.0388317 -9.12503 0.0476837 0.0496731 -9.70419 0.0463018 0.0555677 8.6 8.8 194584 10803 10857 9385
8.9 -9.50992 0.0273304 0.0286331 -9.22354 0.0419836 0.0419846 -9.78221 0.0526381 0.0683308 -9.43485 0.0311098 0.0321178 -9.14952 0.0505733 0.038908 -9.71859 0.0474558 0.0427217 -9.41336 0.0340738 0.0338631 -9.11777 0.0488071 0.0471096 -9.69449 0.0393105 0.0512934 8.8 9 158511 9425 9290 7918
9.1 -9.52161 0.0305529 0.0239868 -9.23056 0.0388222 0.0431471 -9.81203 0.064064 0.0764923 -9.42724 0.0271778 0.0238819 -9.13496 0.0400333 0.0323753 -9.7252 0.0410995 0.0413685 -9.39891 0.0322075 0.0300608 -9.10579 0.0419731 0.0381966 -9.68965 0.0428066 0.0468578 9 9.2 129097 8225 7750 6723
