#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.099498.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -7.475 0.275 6.525 -7.31587 0.157932 6.68413 -8.2762 1.04207 5.7238 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.2 7.4 34622 2 0 0
7.5 -7.275 0.0750003 6.725 -7.23173 0.065866 6.76827 -8.1262 0.892067 5.8738 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.4 7.6 26384 1 0 0
7.7 -7.6 0.375 6.4 -7.56587 0.357933 6.43413 -8.29207 1.05 5.70793 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.6 7.8 18808 0 0 0
7.9 -7.625 0.15 6.375 -7.60793 0.15 6.39207 -8.03413 0.492067 5.96587 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.8 8 12765 1 0 0
8.1 -8.825 1.325 5.175 -8.80793 1.35 5.19207 -9.04207 1.45 4.95793 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8 8.2 8380 0 0 0
8.3 -7.825 0.325 6.175 -7.60793 0.184134 6.39207 -8.2762 0.734134 5.7238 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.2 8.4 5176 1 0 0
8.5 -8.025 0.575 5.975 -8.00793 0.599999 5.99207 -8.98413 1.44207 5.01587 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.4 8.6 3289 2 0 0
8.7 -14 6.975 0 -14 6.99207 0 -14 6.95793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.6 8.8 1968 0 0 0
8.9 -14 6.975 0 -14 6.99207 0 -14 6.95793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.8 9 1106 1 0 0
9.1 -14 6.975 0 -14 6.99207 0 -14 6.95793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 9 9.2 646 0 0 0
