#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.364435.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.963635 0.0528328 0.0658948 1.66873 0.131663 0.119802 0.344355 0.0222701 0.0264097 1.0034 0.0552889 0.050213 1.70131 0.0851334 0.0787251 0.35387 0.0186217 0.0213036 0.984012 0.0709254 0.0545287 1.6983 0.0687401 0.0809195 0.33608 0.0213954 0.0165434 7.2 7.4 638345 34591 12995 683
7.5 1.0805 0.0763363 0.083171 1.9641 0.165281 0.243242 0.391973 0.0259643 0.0325782 1.13791 0.0668 0.0886531 1.90537 0.156502 0.16245 0.3986 0.0222178 0.0294359 1.13563 0.0627818 0.0935997 1.9034 0.230442 0.163581 0.38286 0.0428443 0.0418334 7.4 7.6 519382 34715 12351 679
7.7 1.18656 0.0574405 0.0652894 2.17766 0.0916817 0.158512 0.432347 0.0235975 0.0266855 1.23473 0.058018 0.0628524 2.18061 0.167792 0.215056 0.428325 0.0213711 0.0193472 1.25007 0.0451192 0.0749996 2.17367 0.108206 0.166567 0.450808 0.0346925 0.0337211 7.6 7.8 418551 33595 11318 711
7.9 1.22085 0.0491974 0.067258 2.22635 0.0548103 0.107859 0.44977 0.0208452 0.0241469 1.30325 0.0420147 0.056906 2.35414 0.0935349 0.16431 0.458263 0.0196233 0.0208302 1.31574 0.0630624 0.0605139 2.22312 0.135824 0.16087 0.505174 0.0499202 0.0308352 7.8 8 329397 30077 10287 595
8.1 1.19735 0.0404254 0.0682529 2.17374 0.0576332 0.0969505 0.443476 0.0143816 0.0272844 1.31613 0.0398437 0.0606298 2.37536 0.0720947 0.154534 0.473909 0.0190111 0.0203273 1.38016 0.0405015 0.0736259 2.33579 0.128771 0.198541 0.54143 0.0293265 0.0328017 8 8.2 256996 25764 8720 504
8.3 1.15234 0.0363448 0.0617137 2.10909 0.0471134 0.0924363 0.429623 0.0140842 0.0255782 1.31579 0.042257 0.0555741 2.34688 0.0665777 0.136717 0.476309 0.0180116 0.0249669 1.32089 0.0596615 0.0801815 2.20039 0.168402 0.120322 0.479425 0.0201089 0.0229554 8.2 8.4 198808 21875 7227 428
8.5 1.10938 0.0340761 0.0599488 2.04396 0.0495901 0.0959041 0.400647 0.0130947 0.0211877 1.27559 0.0343916 0.054153 2.32812 0.0573657 0.165146 0.459938 0.016086 0.0197282 1.28316 0.0511016 0.0717399 2.19764 0.196602 0.125825 0.475143 0.029064 0.0300716 8.4 8.6 154525 18667 6165 354
8.7 1.04581 0.0386634 0.0561161 1.97359 0.0539582 0.101753 0.370349 0.0134205 0.0194748 1.27733 0.0379815 0.0614232 2.33549 0.0576882 0.137759 0.482956 0.0220699 0.0179785 1.34145 0.0671811 0.0540913 2.45082 0.12103 0.181496 0.570328 0.0395471 0.0452592 8.6 8.8 119674 14838 5240 283
8.9 1.00217 0.0316941 0.0540821 1.90612 0.0436097 0.0899137 0.345952 0.0126789 0.0189729 1.27244 0.0394818 0.0532653 2.3059 0.0600035 0.112111 0.483209 0.0229658 0.020588 1.34215 0.0406444 0.0367222 2.33347 0.0936341 0.154467 0.560198 0.021579 0.0270423 8.8 9 91544 11425 4352 243
9.1 0.946491 0.0368831 0.0634941 1.83053 0.0546442 0.103207 0.310108 0.0156066 0.0177611 1.26724 0.0383415 0.0564518 2.26028 0.0704482 0.0986264 0.477125 0.0207493 0.0252062 1.44541 0.062881 0.0944598 2.46165 0.0796716 0.154168 0.572368 0.0488825 0.034719 9 9.2 70600 8122 3782 198
9.3 0.907527 0.0365086 0.0528367 1.81562 0.0458342 0.0875874 0.284799 0.0148332 0.0140872 1.22578 0.0392702 0.0434704 2.2146 0.0679452 0.0934989 0.487787 0.0151245 0.0232753 1.40081 0.0575305 0.0882874 2.41199 0.130839 0.24015 0.514741 0.0499437 0.0320853 9.2 9.4 53749 5309 3084 128
9.5 0.895671 0.0453563 0.0570896 1.77935 0.0583866 0.0613612 0.259405 0.0164478 0.0187037 1.20294 0.0338657 0.0526265 2.14563 0.0536883 0.0905509 0.456157 0.0133033 0.0213276 1.28736 0.12669 0.0844195 2.51707 0.0937262 0.158078 0.52912 0.0379426 0.112521 9.4 9.6 41625 3235 2638 136
9.7 0.897164 0.0470657 0.0582066 1.77071 0.047219 0.0861011 0.248489 0.0233568 0.0231029 1.13171 0.0398402 0.051672 2.09496 0.0508137 0.0743785 0.420243 0.0185494 0.0213577 1.16895 0.0509408 0.131519 2.41906 0.0746849 0.292946 0.344976 0.0647067 0.0353939 9.6 9.8 32678 1824 2298 104
