#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.668185.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
10.1 -9.22628 0.0312824 0.0255194 -8.89662 0.0324373 0.0344687 -9.5487 0.0405846 0.037878 -9.2443 0.0322351 0.0274916 -8.91095 0.0314503 0.0290451 -9.75406 0.0812616 0.242704 -9.2127 0.0333605 0.0297441 -8.87879 0.0329819 0.0267906 -9.80522 0.13306 1.37345 10 10.2 53450 1809 4337 2368
10.3 -9.22045 0.0307283 0.0365458 -8.84444 0.0324965 0.0269346 -9.59828 0.0470676 0.0560789 -9.30349 0.0392056 0.0330467 -8.9404 0.0389719 0.0298901 -11.4725 0.110106 0.0702219 -9.26932 0.043582 0.0339956 -8.88694 0.0361385 0.0367546 -11.5626 0.135071 0.0807943 10.2 10.4 49333 919 4110 2172
10.5 -9.21364 0.0369701 0.0386362 -8.7808 0.0377922 0.0407467 -9.66935 0.0633154 0.065794 -9.44386 0.0490208 0.0521231 -8.98615 0.0445824 0.0289402 -11.665 0.0346289 0.0390816 -9.40805 0.0665188 0.064271 -8.91989 0.0347404 0.0361271 -11.7864 0.035533 0.0243006 10.4 10.6 44073 398 3766 2022
10.7 -9.155 0.04 0.0512505 -8.80593 0.074295 0.0615826 -9.75625 0.133893 0.181486 -9.61216 0.0563536 0.0643816 -9.04939 0.0378036 0.0412254 -11.6828 0.04599 0.0395479 -9.67411 0.0741062 0.0703373 -8.97992 0.0459661 0.0443792 -11.8705 0.0211363 0.0257692 10.6 10.8 34819 155 2981 1671
10.9 -9.2 0.0874996 0.0749998 -8.79968 0.0585718 0.0748405 -9.66682 0.0911045 0.150723 -9.8192 0.0680857 0.0765171 -9.13153 0.0528622 0.100255 -11.6757 0.0421829 0.0416908 -10.8083 0.595834 0.288542 -9.09128 0.0586109 0.0507622 -11.9573 0.0274734 0.0294876 10.8 11 22910 43 1764 1224
11.1 -8.925 0.1 0.275 -8.66346 0.215865 0.210337 -9.57067 0.335336 1.3976 -10.0735 0.110067 0.126471 -9.22706 0.0619888 0.14845 -11.6968 0.0743732 0.0627203 -11.3857 0.0773811 0.0970984 -9.27901 0.0808048 0.12769 -11.9933 0.0478039 0.0573139 11 11.2 11659 9 678 671
11.3 -9.1 0.150001 3.025 -9.06587 0.15 3.04207 -12.0841 0.0999994 0.150001 -10.2563 0.16125 0.172321 -9.34111 0.114663 0.215384 -11.6499 0.119033 0.0929909 -11.5708 0.0569439 0.064167 -9.69464 0.184776 0.32316 -12.0813 0.0543518 0.0441151 11.2 11.4 4380 2 164 263
11.5 -14 0 0 -14 0 0 -14 0 0 -10.225 0.200001 0.375 -9.3976 0.352404 0.657933 -11.581 0.576924 0.413462 -11.6938 0.0562506 0.0562496 -11.092 0.25811 0.205109 -12.0903 0.0836935 0.0654631 11.4 11.6 1123 0 15 63
11.7 -14 0 0 -14 0 0 -14 0 0 -14 3.725 0 -14 3.74207 0 -14 3.65793 0 -11.725 0.125 0.15 -11.3196 0.155367 0.108734 -12.0469 0.102404 0.168631 11.6 11.8 260 0 0 16
11.9 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -11.6 0.275001 2.4 -11.4579 0.200001 2.54207 -11.8841 0.492067 2.11587 11.8 12 44 0 0 1
12.1 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 12 12.2 2 0 0 0
12.3 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 12.2 12.4 0 0 0 0
12.5 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 12.4 12.6 0 0 0 0
12.7 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 12.6 12.8 0 0 0 0
12.9 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 12.8 13 0 0 0 0
13.1 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 13 13.2 0 0 0 0
