#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.911185.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -9.541 0.0499067 0.087018 -9.25427 0.0552311 0.0800018 -9.83951 0.0787535 0.08885 -9.52567 0.0497036 0.077467 -9.22467 0.05266 0.0755281 -9.82665 0.0783834 0.0855474 -9.5183 0.0491133 0.0811996 -9.20483 0.0523758 0.0754108 -9.81662 0.077692 0.0928431 7.2 7.4 741118 22804 23714 19854
7.5 -9.53392 0.0482206 0.086133 -9.25528 0.0587511 0.0744162 -9.81852 0.0782251 0.0847569 -9.51236 0.0487909 0.07903 -9.21743 0.0505095 0.0774536 -9.80493 0.0763721 0.0910683 -9.5042 0.0483704 0.0757837 -9.19483 0.0539656 0.0737562 -9.80034 0.0793772 0.0836849 7.4 7.6 632937 22021 22730 18626
7.7 -9.52295 0.0459824 0.0803928 -9.24391 0.0538435 0.0707617 -9.80927 0.086587 0.0790567 -9.49836 0.0468063 0.0713606 -9.20421 0.0531321 0.0761499 -9.78339 0.0815639 0.0797968 -9.49031 0.0501995 0.07372 -9.17866 0.050745 0.0737915 -9.77677 0.0781183 0.079504 7.6 7.8 527243 19996 20732 17069
7.9 -9.51463 0.0441189 0.0710239 -9.23594 0.0563889 0.0664282 -9.79015 0.0840521 0.077136 -9.48401 0.0483084 0.0680838 -9.19158 0.0514746 0.0666113 -9.75885 0.0725851 0.0799332 -9.47428 0.046648 0.0686913 -9.16842 0.0535727 0.0695152 -9.75754 0.0716238 0.0754156 7.8 8 428273 17643 18222 14947
8.1 -9.50352 0.0404415 0.0584021 -9.22585 0.0503712 0.0625811 -9.76559 0.0711088 0.0812464 -9.46988 0.0454912 0.0606375 -9.1774 0.0524263 0.0616207 -9.73483 0.0570946 0.0682497 -9.45767 0.0450258 0.0650997 -9.14907 0.0521193 0.0637064 -9.73167 0.0577459 0.0673046 8 8.2 343349 15538 16002 12886
8.3 -9.49085 0.0379486 0.0433168 -9.20532 0.0508966 0.0493631 -9.74812 0.0601816 0.0684061 -9.44915 0.0423737 0.0560474 -9.15079 0.0460272 0.0619278 -9.71236 0.0572567 0.0692692 -9.44033 0.0442696 0.0579433 -9.12424 0.0433903 0.0607271 -9.70571 0.050808 0.0685387 8.2 8.4 278081 13725 14185 11152
8.5 -9.47365 0.032114 0.0341043 -9.16667 0.0454779 0.045475 -9.73617 0.0565166 0.0587244 -9.42694 0.040637 0.0453138 -9.11362 0.0438814 0.0534725 -9.69224 0.0480452 0.0631523 -9.41031 0.040391 0.0509005 -9.0909 0.0402508 0.0591221 -9.6838 0.0507374 0.0631561 8.4 8.6 228708 12852 12758 10051
8.7 -9.45718 0.0274448 0.0256195 -9.15559 0.0471573 0.04076 -9.72264 0.0540581 0.0439892 -9.40976 0.0346966 0.035778 -9.09495 0.0427551 0.0515003 -9.68252 0.0460329 0.0487833 -9.39719 0.0404835 0.0399837 -9.07805 0.04212 0.0527973 -9.66798 0.0417309 0.0545444 8.6 8.8 187048 11660 10844 8704
8.9 -9.44791 0.0242767 0.0224876 -9.15952 0.0423794 0.0343895 -9.70868 0.0490522 0.0389433 -9.39803 0.0318937 0.0291834 -9.09083 0.0425444 0.0381289 -9.66899 0.0383425 0.0495415 -9.38174 0.0362453 0.0344658 -9.07379 0.0396433 0.0469894 -9.65224 0.0372696 0.0473137 8.8 9 151149 10202 9223 7159
9.1 -9.44378 0.0220451 0.0222158 -9.15332 0.0366564 0.0308523 -9.72125 0.0543337 0.044054 -9.38801 0.0271616 0.0234861 -9.08169 0.0355911 0.0353003 -9.66424 0.0361567 0.0471582 -9.36458 0.0314064 0.0273504 -9.05816 0.0415773 0.0421543 -9.64061 0.0339184 0.0500822 9 9.2 123926 8714 7818 6145
