#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.501122.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.62676 0.0449332 0.047232 2.73069 0.0526321 0.0357001 0.550546 0.0154831 0.0183192 1.88724 0.0517591 0.0886289 2.95806 0.0442929 0.0500796 0.605234 0.018259 0.0304105 1.89054 0.0560433 0.0793663 2.95871 0.0642743 0.0707946 0.61462 0.0227735 0.0220686 7.2 7.4 667837 32076 21303 6644
7.5 1.7325 0.0648576 0.0556523 2.86494 0.137485 0.115133 0.597876 0.0279465 0.0217899 2.00316 0.0661335 0.0539879 3.07212 0.0769436 0.0642507 0.646932 0.0177571 0.0174312 2.00713 0.0484762 0.0493139 3.07676 0.0589323 0.0569091 0.671707 0.0249245 0.0218217 7.4 7.6 536411 29963 19111 5744
7.7 1.8777 0.0932822 0.10949 3.21481 0.252779 0.285799 0.658444 0.0390496 0.0345782 2.14262 0.0690484 0.0638773 3.27321 0.122042 0.147366 0.691445 0.0355023 0.0263283 2.1244 0.0600283 0.064816 3.26823 0.11171 0.145463 0.727507 0.0261814 0.0246419 7.6 7.8 439790 28786 17548 5183
7.9 2.00258 0.0860381 0.115156 3.61133 0.160117 0.284776 0.719828 0.0387221 0.0402119 2.25507 0.0663548 0.0670264 3.53839 0.172106 0.208597 0.754256 0.0268772 0.0263528 2.27007 0.0751162 0.0672865 3.51926 0.145225 0.167848 0.783908 0.0271298 0.0257744 7.8 8 362717 28206 16213 4777
8.1 2.04866 0.0768983 0.115928 3.71414 0.095145 0.206362 0.750132 0.0341032 0.0393961 2.32702 0.0493474 0.0715306 3.74134 0.152016 0.215584 0.791213 0.0283229 0.0320598 2.35529 0.0526052 0.069205 3.62818 0.114114 0.158299 0.82041 0.0335331 0.0278769 8 8.2 292834 25462 13869 4013
8.3 1.98543 0.0642486 0.121145 3.65457 0.0787413 0.206948 0.726905 0.0245682 0.0409625 2.31656 0.0410376 0.0665166 3.80857 0.134575 0.263923 0.802148 0.0281717 0.030712 2.3928 0.0494587 0.0727112 3.65851 0.0825431 0.152196 0.841257 0.03238 0.0297967 8.2 8.4 232489 21783 11856 3381
8.5 1.90994 0.0639894 0.110285 3.52716 0.0942371 0.179042 0.697384 0.0219793 0.0414145 2.29871 0.0501533 0.0615044 3.78034 0.127553 0.214789 0.79884 0.0249171 0.0253331 2.41306 0.0604436 0.0695355 3.70514 0.0795619 0.157088 0.857061 0.0363628 0.0414133 8.4 8.6 181042 18393 9914 2828
8.7 1.82064 0.0676801 0.111016 3.40856 0.0894644 0.199908 0.637112 0.0213073 0.0351288 2.27432 0.0418704 0.0664096 3.74566 0.131293 0.224452 0.805811 0.0238247 0.0270524 2.36503 0.0627754 0.0595169 3.6758 0.0977459 0.141969 0.862708 0.0356295 0.0333494 8.6 8.8 141634 15329 8270 2264
8.9 1.76825 0.0567361 0.13144 3.29826 0.0957334 0.179052 0.619447 0.0248006 0.0386799 2.24051 0.0481381 0.0509851 3.71149 0.143985 0.213077 0.796368 0.0385431 0.0300729 2.41008 0.0486803 0.0624352 3.73842 0.0686576 0.151841 0.87422 0.0279156 0.033366 8.8 9 109333 12107 6789 1897
9.1 1.70024 0.0797582 0.1123 3.19727 0.0958364 0.168768 0.576853 0.0327629 0.0331419 2.19595 0.0509789 0.0594363 3.69472 0.135158 0.233741 0.794407 0.0293614 0.0337676 2.3947 0.0545075 0.0651975 3.71988 0.0918424 0.135259 0.899392 0.0358414 0.04009 9 9.2 85310 9384 5705 1588
