#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.096123.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -7.525 0.15 6.475 -7.46587 0.107932 6.53413 -7.59207 0.15 6.40793 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.2 7.4 26805 3 0 0
7.5 -7.575 0.2 6.425 -7.55793 0.342068 6.44207 -7.64207 0.150001 6.35793 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.4 7.6 20470 0 0 0
7.7 -7.475 0.25 6.525 -7.41587 0.207932 6.58413 -7.64207 0.400001 6.35793 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.6 7.8 14465 1 0 0
7.9 -14 6.775 0 -14 6.79207 0 -14 6.70793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.8 8 10097 1 0 0
8.1 -14 6.175 0 -14 6.19207 0 -14 6.10793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8 8.2 6503 0 0 0
8.3 -14 6.075 0 -14 6.09207 0 -14 5.45793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.2 8.4 4228 1 0 0
8.5 -11.225 4.075 2.775 -11.2079 4.09207 2.79207 -11.2421 3.35 2.75793 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.4 8.6 2472 0 0 0
8.7 -8.025 0.974999 5.975 -8.00793 0.992067 5.99207 -8.08413 0.992067 5.91587 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.6 8.8 1475 1 0 0
8.9 -14 6.975 0 -14 6.99207 0 -14 6.95793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.8 9 869 1 0 0
9.1 -14 6.975 0 -14 6.99207 0 -14 6.95793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 9 9.2 506 0 0 0
9.3 -14 6.975 0 -14 6.99207 0 -14 6.95793 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 9.2 9.4 239 0 0 0
