#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 -0.000002 0.000001 0.000004 0.000221 0.000450 0.000133 0.000000 0.000000 0.000003 0.000079 0.000371 0.000141 -0.000223 0.000134 0.000453 -0.000079 0.000147 0.000381
9.300000 -0.000010 0.000004 0.000014 0.000782 0.017622 0.000386 -0.000000 0.000001 0.000010 0.000383 0.002296 0.000506 -0.000792 0.000390 0.017635 -0.000384 0.000507 0.002297
9.500000 -0.000103 0.000037 0.007407 0.104494 0.173035 0.079823 -0.000003 0.000056 0.000161 0.028014 0.277750 0.029100 -0.104596 0.079860 0.181843 -0.028017 0.029224 0.277748
9.700000 -0.016572 0.004831 0.000490 0.240754 0.017982 0.046829 -0.000444 0.002555 0.002660 0.132559 0.247233 0.200027 -0.257326 0.049910 0.017921 -0.133003 0.206234 0.247732
9.900000 -0.012501 0.003235 0.002401 0.122215 0.025864 0.033956 0.000030 0.003693 0.001997 -0.002202 0.235827 0.131371 -0.134716 0.037065 0.028367 0.002232 0.138114 0.237873
10.100000 -0.018256 0.004980 0.001598 0.139022 0.021539 0.040387 0.000111 0.006706 0.001454 -0.018829 0.212976 0.150581 -0.157278 0.045398 0.023186 0.018940 0.162255 0.213102
10.300000 -0.031020 0.007639 0.002982 0.158573 0.022856 0.040268 0.000410 0.007030 0.001770 -0.033382 0.173338 0.123957 -0.189593 0.047217 0.023928 0.033792 0.141667 0.175037
10.500000 -0.025866 0.006233 0.002105 0.129678 0.016228 0.028177 0.001279 0.009245 0.002122 -0.084823 0.179212 0.091461 -0.155544 0.033354 0.017738 0.086102 0.107863 0.183449
10.700000 -0.022663 0.004792 0.001350 0.131812 0.016947 0.024616 0.001796 0.010239 0.002566 -0.091322 0.175458 0.091016 -0.154475 0.029050 0.017150 0.093118 0.104757 0.181053
10.900000 -0.018121 0.003454 0.001507 0.123346 0.015621 0.021202 0.003255 0.013100 0.003840 -0.112163 0.153827 0.092180 -0.141467 0.024277 0.016345 0.115417 0.101216 0.158701
11.100000 -0.016414 0.002993 0.001140 0.128228 0.012162 0.022686 0.004454 0.016464 0.004895 -0.119686 0.165853 0.093819 -0.144643 0.025884 0.013273 0.124140 0.106805 0.173465
11.300000 -0.011821 0.001927 0.000799 0.109443 0.012595 0.017131 0.007215 0.017519 0.007184 -0.136227 0.140006 0.094762 -0.121264 0.018964 0.013096 0.143442 0.115913 0.147168
11.500000 -0.009402 0.001635 0.001227 0.117132 0.003489 0.021844 0.012507 0.020221 0.011315 -0.160926 0.131179 0.095870 -0.126534 0.023269 0.004891 0.173433 0.117803 0.141004
11.700000 -0.003380 0.000842 0.000654 0.045836 0.011595 0.012675 0.021672 0.026076 0.018678 -0.212961 0.141099 0.078033 -0.049216 0.013297 0.011787 0.234634 0.103160 0.159886
11.900000 -0.001692 0.000514 0.001780 0.039623 0.003715 0.017990 0.024267 0.036137 0.019759 -0.189709 0.135500 0.084561 -0.041315 0.017007 0.005513 0.213976 0.114767 0.146728
12.100000 -0.000682 0.001122 0.002229 0.022069 0.026607 0.013076 0.035841 0.037430 0.026323 -0.241966 0.146563 0.093985 -0.022751 0.014623 0.027140 0.277807 0.123021 0.160546
12.300000 0.002759 0.004430 0.001763 0.039678 0.031551 0.044394 0.048727 0.042593 0.028577 -0.289584 0.178947 0.026236 -0.036919 0.047430 0.030842 0.338311 0.058234 0.192597
12.500000 0.001263 0.003368 0.008428 -0.066615 0.166154 0.019924 0.071308 0.051203 0.039159 -0.239291 0.125261 0.102418 0.067878 0.019157 0.170321 0.310599 0.141819 0.143106
12.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.058104 0.036604 0.046847 0.042190 0.039332 0.200303 0.000000 0.000000 0.000000 0.015914 0.251252 0.063989
12.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
