#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000
9.300000 0.000000 0.000000 0.000001 0.000003 0.000002 0.000002 0.000000 0.000000 0.000000 0.000000 0.000006 0.000000 -0.000003 0.000002 0.000003 0.000000 0.000000 0.000006
9.500000 -0.000012 0.000008 0.000031 0.000077 0.000226 0.000050 0.000000 -0.000000 0.000004 1.199951 -0.288059 1.199951 -0.000089 0.000057 0.000257 -1.199951 1.199951 -0.288058
9.700000 -0.000255 0.000122 0.012657 0.034895 0.094328 0.033788 -0.000000 0.000000 0.000100 1.300699 -0.068185 1.300503 -0.035150 0.033910 0.104409 -1.300700 1.300485 -0.068185
9.900000 -0.030235 0.008767 0.002614 0.175949 0.032844 0.035460 -0.000048 0.002317 0.000638 1.101288 0.005363 1.172286 -0.206184 0.043396 0.035343 -1.101336 1.176565 0.005449
10.100000 -0.025496 0.004520 0.006904 0.123297 0.037757 0.022609 -0.000005 0.005515 0.000057 0.957386 -0.072795 1.084190 -0.148793 0.027314 0.044662 -0.957391 1.093319 -0.072738
10.300000 -0.027426 0.004812 0.006395 0.107286 0.031529 0.018875 -0.000002 0.004681 0.000050 0.000000 0.681793 0.123209 -0.134712 0.023515 0.037113 0.000000 0.130763 0.681797
10.500000 -0.035891 0.006569 0.004253 0.123023 0.023756 0.022730 -0.000003 0.004604 0.000101 0.000000 0.439982 0.118284 -0.158914 0.028737 0.029786 0.000000 0.123429 0.440132
10.700000 -0.054207 0.010081 0.004821 0.150269 0.029710 0.025897 -0.000002 0.004754 0.000194 0.000000 0.519570 0.122045 -0.204476 0.036457 0.033656 0.000000 0.125949 0.520088
10.900000 -0.057674 0.009763 0.005682 0.140906 0.029902 0.019495 -0.000016 0.005625 0.000487 1.641533 -1.047840 1.776897 -0.198581 0.027636 0.036674 -1.641549 1.788348 -1.047779
11.100000 -0.056781 0.008452 0.005497 0.147198 0.032236 0.016854 -0.000121 0.006488 0.001053 0.582239 -0.128997 0.730924 -0.203979 0.024180 0.038272 -0.582360 0.741665 -0.128710
11.300000 -0.054809 0.009145 0.004900 0.154048 0.032366 0.021227 -0.000630 0.008274 0.001674 0.353448 -0.028163 0.529096 -0.208857 0.029392 0.037411 -0.354079 0.541247 -0.027577
11.500000 -0.051668 0.009348 0.004905 0.154244 0.026727 0.022833 -0.001239 0.010427 0.001817 0.144209 0.049629 0.353064 -0.205912 0.032007 0.029895 -0.145447 0.363881 0.052792
11.700000 -0.039315 0.008382 0.005691 0.116646 0.028244 0.018548 0.001085 0.010450 0.002344 -0.017780 0.057791 0.169956 -0.155960 0.028303 0.034322 0.018865 0.181095 0.059223
11.900000 -0.016992 0.005065 0.007332 0.056277 0.027542 0.015260 0.015769 0.009101 0.006475 -0.130057 0.060061 0.045260 -0.073269 0.020076 0.035890 0.145826 0.053622 0.065599
12.100000 0.000946 0.001682 0.005957 -0.003057 0.023866 0.006929 0.052742 0.001562 0.020572 -0.161615 0.074511 0.002063 0.004002 0.008370 0.029844 0.214358 0.001050 0.091097
12.300000 0.006064 0.000945 0.004490 -0.024324 0.017924 0.003433 0.115200 0.011042 0.056673 -0.120983 0.050385 -0.004048 0.030388 0.004619 0.022209 0.236183 0.001524 0.105743
12.500000 -0.000150 0.001266 0.001864 -0.001727 0.010380 0.003657 0.170520 0.026482 0.094402 -0.067248 0.027086 -0.001022 0.001577 0.005221 0.012488 0.237768 0.013586 0.111526
12.700000 -0.000732 0.003784 0.001039 0.001339 0.005102 0.014722 0.187140 0.004102 0.096487 -0.027648 0.009234 0.006116 -0.002071 0.018167 0.006490 0.214788 0.005098 0.093373
12.900000 0.002127 0.003940 0.002303 -0.011794 0.014411 0.016418 0.137923 -0.000617 0.095097 -0.014453 0.008000 0.003113 0.013921 0.018889 0.016855 0.152376 0.000000 0.100783
13.100000 0.003108 0.001912 0.002819 -0.028959 0.028191 0.001417 0.068006 0.014137 0.064524 -0.008626 0.008923 0.001109 0.032067 0.003185 0.031207 0.076632 0.014776 0.073945
13.300000 0.003592 0.004040 0.002184 -0.069063 0.031934 0.013654 -0.048579 0.065573 0.022959 0.003071 0.002915 0.004290 0.072655 0.017618 0.033128 -0.051650 0.069576 0.025594
13.500000 0.013741 0.000861 0.006675 -0.104273 0.043835 0.007035 0.002109 0.017172 0.051896 -0.002002 0.008816 0.000289 0.118014 0.008044 0.049003 0.004111 0.016757 0.059388
13.700000 -0.001911 0.007568 0.000321 0.001743 0.009313 0.047095 -0.005453 0.030923 0.057273 0.001567 0.006943 0.002573 -0.003654 0.054092 0.007716 -0.007019 0.033530 0.065196
13.900000 0.011833 0.008090 0.006098 -0.255257 0.112808 0.040262 -0.090257 0.128759 0.019453 0.005410 0.010676 0.007638 0.267090 0.038749 0.114042 -0.095667 0.138149 0.026840
14.100000 0.004359 0.011080 0.004159 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.016415 0.002962 0.030564 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
