#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 0.000000 0.000000 0.000000 0.000005 0.000040 0.000002 0.000000 0.000000 0.000000 0.000000 0.000038 0.000000 -0.000005 0.000002 0.000041 0.000000 0.000000 0.000038
9.300000 -0.000002 0.000001 0.000006 0.000105 0.000302 0.000073 0.000000 0.000000 0.000001 0.000000 0.000206 0.000017 -0.000107 0.000074 0.000308 0.000000 0.000017 0.000207
9.500000 -0.000064 0.000028 0.001907 0.001398 0.098830 0.000682 0.000000 0.000000 0.000009 0.026835 0.070304 0.026835 -0.001462 0.000710 0.102627 -0.026835 0.026835 0.070431
9.700000 -0.012659 0.007728 0.008722 0.198099 0.035255 0.081172 -0.000045 0.000045 0.002335 0.260801 0.281288 0.260801 -0.210758 0.089097 0.044604 -0.260847 0.260847 0.281307
9.900000 -0.022313 0.003919 0.003973 0.156829 0.029754 0.025378 -0.000039 0.000932 0.001068 0.104915 0.291847 0.140289 -0.179142 0.029267 0.033767 -0.104954 0.144295 0.291922
10.100000 -0.020678 0.004356 0.003967 0.114201 0.025106 0.023694 -0.000028 0.004655 0.000355 0.069429 0.189930 0.175569 -0.134878 0.028240 0.029270 -0.069457 0.184636 0.189903
10.300000 -0.034017 0.007534 0.002609 0.150391 0.017262 0.032967 -0.000071 0.004384 0.000677 0.060054 0.151673 0.157278 -0.184408 0.039789 0.020237 -0.060125 0.164657 0.152132
10.500000 -0.043325 0.009199 0.003049 0.142929 0.020432 0.027129 0.000018 0.005375 0.000518 -0.004788 0.166417 0.109703 -0.186254 0.035959 0.023812 0.004806 0.113071 0.167680
10.700000 -0.040897 0.007976 0.002354 0.145918 0.016793 0.025232 0.000124 0.006637 0.000768 -0.024145 0.197203 0.102437 -0.186816 0.033136 0.017254 0.024269 0.105450 0.197425
10.900000 -0.036837 0.007117 0.002688 0.147591 0.015761 0.025712 0.000515 0.007507 0.001364 -0.058266 0.171214 0.087208 -0.184428 0.032519 0.018327 0.058781 0.091890 0.173199
11.100000 -0.032899 0.005473 0.002879 0.150430 0.015842 0.024587 0.001284 0.008320 0.002090 -0.079593 0.176164 0.085503 -0.183329 0.030965 0.017301 0.080877 0.090723 0.179453
11.300000 -0.026021 0.004692 0.002635 0.137571 0.018595 0.020420 0.002644 0.008915 0.003468 -0.104525 0.174825 0.073482 -0.163591 0.025208 0.020628 0.107169 0.079349 0.178301
11.500000 -0.020152 0.003495 0.002482 0.129634 0.019088 0.020087 0.005640 0.011771 0.006039 -0.120689 0.138312 0.063820 -0.149786 0.022820 0.021966 0.126329 0.077393 0.144652
11.700000 -0.013765 0.001917 0.002773 0.103312 0.024130 0.015099 0.010556 0.014831 0.009029 -0.160621 0.121760 0.066990 -0.117077 0.017264 0.026282 0.171176 0.083189 0.124033
11.900000 -0.013014 0.002951 0.001313 0.101861 0.020139 0.014323 0.019397 0.018198 0.014953 -0.183786 0.126559 0.068025 -0.114874 0.016963 0.021223 0.203183 0.082167 0.140212
12.100000 -0.008064 0.001767 0.001263 0.079776 0.021831 0.021365 0.031439 0.023569 0.020036 -0.189598 0.112984 0.075724 -0.087840 0.023109 0.022903 0.221037 0.097992 0.125863
12.300000 -0.001875 -0.000048 0.002422 0.025457 0.025986 0.002668 0.063129 0.025760 0.035387 -0.227724 0.106894 0.049997 -0.027331 0.002676 0.028193 0.290853 0.069737 0.139490
12.500000 -0.000261 0.002269 0.000896 -0.001048 0.020752 0.015727 0.068558 0.035272 0.029568 -0.217563 0.086863 0.050105 0.000787 0.017267 0.021219 0.286121 0.084512 0.117414
12.700000 0.002421 0.000411 0.004123 0.003790 0.019491 0.033687 0.081423 0.041354 0.038359 -0.155354 0.058508 0.042076 -0.001369 0.032154 0.023365 0.236777 0.072074 0.090439
12.900000 -0.003168 0.005703 0.002863 0.000000 0.000000 0.000000 0.079331 0.034459 0.036111 -0.100620 0.042907 0.016974 0.000000 0.000000 0.000000 0.179951 0.036688 0.072008
13.100000 0.001558 0.008378 0.000792 0.000000 0.000000 0.000000 0.047811 0.088227 0.035038 -0.027703 0.029761 0.028795 0.000000 0.000000 0.000000 0.075514 0.093456 0.054674
13.300000 0.007098 0.007218 0.021715 0.000000 0.000000 0.000000 0.269583 -0.019026 0.269583 -0.160823 0.142684 -0.011281 0.000000 0.000000 0.000000 0.430406 -0.068812 0.430406
