#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
11.100000 0.435393 0.068599 0.056033 0.430488 0.067516 0.056165 0.420617 0.023856 0.051886 0.515532 0.123898 0.134862 0.498207 0.084270 0.061608 0.424465 0.022141 0.052332 0.534781 0.115926 0.132089 0.320825 0.102912 0.049211 0.314612 0.101693 0.049531 0.299276 0.033790 0.041411 0.437523 0.165793 0.184280 0.395027 0.121787 0.076289 0.303183 0.033411 0.042258 0.466134 0.156256 0.177524
11.300000 0.425855 0.072310 0.058670 0.422701 0.071635 0.058121 0.415029 0.020170 0.053525 0.486630 0.171800 0.161696 0.487651 0.083412 0.060602 0.417605 0.021102 0.053979 0.502761 0.160944 0.157474 0.313095 0.116741 0.047578 0.309289 0.114211 0.047075 0.296141 0.032821 0.040458 0.380054 0.224792 0.188137 0.369163 0.118892 0.049613 0.299930 0.032933 0.042063 0.394646 0.219041 0.168029
11.500000 0.420374 0.091122 0.056759 0.418304 0.086695 0.056068 0.407109 0.018648 0.050613 0.452656 0.186210 0.195398 0.457679 0.118267 0.068467 0.410413 0.018190 0.051084 0.450866 0.196724 0.176891 0.311162 0.136858 0.057918 0.310008 0.129948 0.057495 0.290212 0.035861 0.042151 0.329087 0.276700 0.146836 0.330550 0.182856 0.063355 0.292240 0.036264 0.042962 0.327426 0.289677 0.134501
11.700000 0.474478 0.096768 0.069291 0.473823 0.100749 0.072164 0.457803 0.013509 0.066493 0.472343 0.254220 0.472343 0.000000 0.000000 0.000000 0.458817 0.013462 0.064797 0.472343 0.257205 0.472343 0.321263 0.134893 0.064585 0.321523 0.133453 0.063579 0.299588 0.033255 0.058197 0.429770 0.241374 0.429770 0.000000 0.000000 0.000000 0.300070 0.033629 0.056944 0.429770 0.240003 0.429770
11.900000 0.369018 0.108908 0.077207 0.364811 0.113203 0.080000 0.364156 0.018613 0.094436 0.000000 0.441226 0.000000 0.000000 0.000000 0.000000 0.363401 0.018338 0.085940 0.382564 0.086335 0.382564 0.325398 0.151412 0.079857 0.327428 0.155171 0.089399 0.314231 0.022996 0.088737 0.000000 0.227913 0.000000 0.000000 0.000000 0.000000 0.306270 0.024779 0.074227 0.278308 0.069930 0.278308
12.100000 0.472950 0.180490 0.172766 0.472950 0.180490 0.172766 0.472950 0.006795 0.200846 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.472950 0.006795 0.200846 0.000000 0.000000 0.000000 0.381105 0.202882 0.185218 0.381105 0.202882 0.185218 0.381105 0.013750 0.213822 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.381105 0.013750 0.213822 0.000000 0.000000 0.000000
12.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
