#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 1.629410e+11 (median) + 1.207350e+11  / - 6.699980e+10
#SM   Stats: 2.118940e+09 (median) + 3.890030e+09  / - 1.185570e+09
#VMP  Stats: 1.022000e+02 (median) + 1.605000e+01  / - 9.689995e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 6.497110e-12 (median) + 2.171646e-10  / - 5.633863e-12
sfh 0.055623 0 0 0 #avg: 3.32711e-09; avg_err: 2.67345e-09; sd: 1.27833e-06; counts: 228636
sfh 0.060123 0 0 0 #avg: 1.56727e-07; avg_err: 1.23759e-07; sd: 5.91762e-05; counts: 228636
sfh 0.062373 0 0 0 #avg: 6.03652e-06; avg_err: 4.67223e-06; sd: 0.00223406; counts: 228636
sfh 0.064623 0 0 0 #avg: 2.51406e-05; avg_err: 1.39143e-05; sd: 0.00665323; counts: 228636
sfh 0.066873 0 0 0 #avg: 8.1487e-05; avg_err: 2.423e-05; sd: 0.0115858; counts: 228636
sfh 0.069123 0 0 0 #avg: 0.000175159; avg_err: 3.58857e-05; sd: 0.017159; counts: 228636
sfh 0.071373 0 0 0 #avg: 0.000348818; avg_err: 5.06086e-05; sd: 0.0241989; counts: 228636
sfh 0.073623 0 0 0 #avg: 0.000622023; avg_err: 8.43728e-05; sd: 0.0403435; counts: 228636
sfh 0.075873 0 0 0 #avg: 0.000996269; avg_err: 0.000105764; sd: 0.050572; counts: 228636
sfh 0.078123 0 0 0 #avg: 0.00152878; avg_err: 0.000104281; sd: 0.0498629; counts: 228636
sfh 0.080373 0 0 0 #avg: 0.00231666; avg_err: 0.000131311; sd: 0.0627873; counts: 228636
sfh 0.082623 0 0 0 #avg: 0.0031475; avg_err: 0.000148759; sd: 0.0711304; counts: 228636
sfh 0.085998 0 0 0 #avg: 0.00534549; avg_err: 0.000237561; sd: 0.113592; counts: 228636
sfh 0.089373 0 0 0 #avg: 0.00753731; avg_err: 0.000221352; sd: 0.105841; counts: 228636
sfh 0.092748 0 0 0 #avg: 0.0101103; avg_err: 0.000199737; sd: 0.0955057; counts: 228636
sfh 0.096123 0 0 0 #avg: 0.0129789; avg_err: 0.000211481; sd: 0.101121; counts: 228636
sfh 0.099498 0 0.00373736 0 #avg: 0.0163163; avg_err: 0.000234703; sd: 0.112225; counts: 228636
sfh 0.102873 0 0.0117781 0 #avg: 0.0197361; avg_err: 0.00032346; sd: 0.154665; counts: 228636
sfh 0.106248 0 0.0210236 0 #avg: 0.0229629; avg_err: 0.000268015; sd: 0.128154; counts: 228636
sfh 0.109623 0 0.029967 0 #avg: 0.026566; avg_err: 0.000285098; sd: 0.136322; counts: 228636
sfh 0.112998 0 0.0375744 0 #avg: 0.0300033; avg_err: 0.000330108; sd: 0.157844; counts: 228636
sfh 0.116373 9.65055e-05 0.0431691 9.65055e-05 #avg: 0.0329454; avg_err: 0.000326845; sd: 0.156284; counts: 228636
sfh 0.119748 0.00157368 0.04684 0.00157368 #avg: 0.0360398; avg_err: 0.000411094; sd: 0.196568; counts: 228636
sfh 0.123123 0.00328165 0.0502634 0.00328165 #avg: 0.0391834; avg_err: 0.000453963; sd: 0.217066; counts: 228636
sfh 0.126498 0.0050191 0.0549453 0.0050191 #avg: 0.0428393; avg_err: 0.000534856; sd: 0.255746; counts: 228636
sfh 0.129873 0.00686404 0.0591615 0.00686404 #avg: 0.0464176; avg_err: 0.000587202; sd: 0.280775; counts: 228636
sfh 0.133248 0.0088737 0.0638869 0.0088737 #avg: 0.0503857; avg_err: 0.000563944; sd: 0.269654; counts: 228636
sfh 0.136623 0.0109748 0.0677708 0.0109748 #avg: 0.0548113; avg_err: 0.000581298; sd: 0.277952; counts: 228636
sfh 0.141685 0.0141327 0.0739211 0.0141327 #avg: 0.0611859; avg_err: 0.000684918; sd: 0.327499; counts: 228636
sfh 0.146748 0.0175289 0.0801519 0.0173964 #avg: 0.0671116; avg_err: 0.000685128; sd: 0.327599; counts: 228636
sfh 0.15181 0.0206517 0.0872773 0.0199077 #avg: 0.0728608; avg_err: 0.000894244; sd: 0.42759; counts: 228636
sfh 0.156873 0.0235193 0.0932757 0.0220531 #avg: 0.0780589; avg_err: 0.000856426; sd: 0.409507; counts: 228636
sfh 0.161935 0.0262769 0.100376 0.0238913 #avg: 0.0841441; avg_err: 0.000765283; sd: 0.365926; counts: 228636
sfh 0.166998 0.0294178 0.106189 0.0261171 #avg: 0.0903412; avg_err: 0.000769591; sd: 0.367986; counts: 228636
sfh 0.17206 0.031949 0.111563 0.0277676 #avg: 0.0954611; avg_err: 0.000848111; sd: 0.405531; counts: 228636
sfh 0.177123 0.0347028 0.119194 0.0297197 #avg: 0.101933; avg_err: 0.000955657; sd: 0.456955; counts: 228636
sfh 0.182185 0.0378351 0.12667 0.0320122 #avg: 0.108213; avg_err: 0.00111413; sd: 0.532732; counts: 228636
sfh 0.187248 0.040617 0.131952 0.0340906 #avg: 0.113732; avg_err: 0.00133457; sd: 0.638135; counts: 228636
