#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.01637e+07 5.3712e+08 5.53121e+06 4.5052e+08 3.02777e+08 1.22761e+08 1.36645e+09 1.10428e+07 1.39517e+09 5.34093e+08 6.52126e+08 2231
1.57947e+08 5.4225e+08 7.80451e+06 4.50623e+08 3.02021e+08 1.22864e+08 1.29544e+09 1.5781e+07 1.26943e+09 6.03326e+08 5.26385e+08 1105
2.52423e+08 5.4243e+08 7.49108e+06 4.61019e+08 3.00698e+08 1.33364e+08 1.25021e+09 1.51011e+07 1.20565e+09 6.67111e+08 5.30864e+08 1171
3.96377e+08 5.62848e+08 7.72813e+06 4.77585e+08 3.18312e+08 1.44332e+08 1.21043e+09 1.46246e+07 1.20565e+09 6.09881e+08 5.30864e+08 1226
6.33748e+08 5.62969e+08 7.86154e+06 4.70295e+08 3.5005e+08 1.37043e+08 1.16108e+09 1.47711e+07 1.14127e+09 6.15695e+08 5.35262e+08 1224
9.86803e+08 5.66434e+08 8.14761e+06 4.7771e+08 3.17596e+08 1.39062e+08 1.15714e+09 1.5261e+07 1.14127e+09 6.15695e+08 5.35262e+08 1127
1.58928e+09 5.52038e+08 7.98899e+06 4.66483e+08 3.29414e+08 1.33992e+08 1.15655e+09 1.56858e+07 1.14127e+09 6.15695e+08 5.35262e+08 1106
2.50268e+09 5.70037e+08 9.33164e+06 4.66638e+08 3.53708e+08 1.30662e+08 1.08735e+09 1.69914e+07 1.01076e+09 6.87579e+08 4.74045e+08 961
3.98784e+09 5.68344e+08 8.92697e+06 4.7771e+08 3.27634e+08 1.36432e+08 1.07789e+09 1.7203e+07 1.01076e+09 6.28269e+08 4.74045e+08 900
6.27851e+09 5.68456e+08 1.02218e+07 4.66483e+08 3.58413e+08 1.27835e+08 1.04108e+09 1.73497e+07 1.01076e+09 5.68287e+08 4.74045e+08 810
9.96588e+09 5.57043e+08 9.51021e+06 4.70295e+08 3.25602e+08 1.3432e+08 1.07501e+09 1.9335e+07 1.01076e+09 6.87579e+08 4.74045e+08 743
1.58227e+10 5.74638e+08 1.09757e+07 4.95451e+08 2.86872e+08 1.56803e+08 1.00754e+09 1.93205e+07 9.44654e+08 5.73748e+08 4.07939e+08 637
2.4967e+10 5.81267e+08 1.15706e+07 4.87529e+08 3.37276e+08 1.51554e+08 1.02975e+09 2.06189e+07 9.44654e+08 6.94375e+08 4.07939e+08 602
3.96629e+10 5.6216e+08 1.16858e+07 4.66483e+08 3.38287e+08 1.25205e+08 9.9998e+08 2.21507e+07 8.77994e+08 6.40409e+08 4.1105e+08 514
6.25829e+10 5.51895e+08 1.32773e+07 4.55301e+08 3.15331e+08 1.14023e+08 1.06317e+09 2.49975e+07 1.01076e+09 6.28269e+08 4.74045e+08 399
9.79128e+10 5.18677e+08 1.4307e+07 4.50623e+08 2.65513e+08 1.18334e+08 1.13957e+09 3.35377e+07 1.14127e+09 6.15695e+08 5.35262e+08 239
1.53464e+11 5.13205e+08 2.19864e+07 4.50623e+08 2.1831e+08 1.14648e+08 1.05357e+09 5.06961e+07 1.01076e+09 6.87579e+08 4.74045e+08 98
2.42274e+11 4.39784e+08 2.99679e+07 3.91441e+08 1.93048e+08 7.25677e+07 1.16048e+09 8.69005e+07 1.20565e+09 4.3338e+08 5.99643e+08 34
4.43348e+11 6.25132e+08 2.00875e+08 6.06006e+08 5.91969e+08 2.92342e+08 1.05649e+09 3.65936e+08 1.15096e+09 8.89109e+08 7.90792e+08 4
