#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
39.4505 5.46156e+08 1.0905e+08 6.27305e+08 2.26108e+08 3.184e+08 9.52579e+08 1.7074e+08 1.093e+09 4.72215e+08 7.74038e+08 6
102.53 8.53413e+08 8.53413e+08 8.53413e+08 0 0 8.6689e+08 8.6689e+08 8.6689e+08 0 0 1
134.17 1.40892e+09 1.40892e+09 1.40892e+09 0 0 1.35766e+09 1.35766e+09 1.35766e+09 0 0 1
161.485 8.61686e+08 9.44027e+07 6.37783e+08 7.09846e+08 2.83426e+08 1.85839e+09 2.14164e+08 1.56521e+09 1.20137e+09 8.72654e+08 34
198.434 7.58152e+08 4.67943e+07 6.43252e+08 4.49746e+08 2.01151e+08 1.27728e+09 1.08468e+08 1.01337e+09 1.08892e+09 5.36445e+08 67
247.097 9.10661e+08 1.11986e+08 7.73094e+08 4.78397e+08 3.00878e+08 1.16703e+09 1.30908e+08 1.01337e+09 4.73838e+08 4.01557e+08 32
314.405 9.81188e+08 1.41267e+08 7.73094e+08 9.47209e+08 3.13712e+08 9.61067e+08 1.39073e+08 8.63865e+08 7.79048e+08 4.63426e+08 17
389.921 2.1594e+09 7.26904e+08 2.76658e+09 1.08636e+09 2.2357e+09 6.30868e+08 6.60293e+07 7.15606e+08 4.97893e+07 2.33109e+08 4
486.82 7.92119e+08 7.92119e+08 7.92119e+08 0 0 7.73094e+08 7.73094e+08 7.73094e+08 0 0 1
602.66 6.92559e+08 6.92559e+08 6.92559e+08 0 0 4.00439e+08 4.00439e+08 4.00439e+08 0 0 1
