#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
47.2246 4.59522e+08 4.05872e+06 4.11571e+08 1.91755e+08 8.84239e+07 1.62933e+09 8.73325e+06 1.63903e+09 3.46011e+08 3.69595e+08 1490
62.8942 4.39781e+08 4.34273e+06 3.84989e+08 1.77739e+08 6.65392e+07 1.70883e+09 1.06709e+07 1.75696e+09 3.37367e+08 4.2435e+08 1287
79.0236 4.34418e+08 5.04916e+06 3.77759e+08 1.76954e+08 5.93096e+07 1.75085e+09 1.29176e+07 1.81553e+09 3.32289e+08 4.82918e+08 974
100.071 4.598e+08 5.77571e+06 3.9259e+08 2.17292e+08 7.37166e+07 1.54663e+09 1.53795e+07 1.57905e+09 4.61019e+08 5.68287e+08 984
126.486 4.9562e+08 5.7518e+06 4.2435e+08 2.56311e+08 1.01203e+08 1.33961e+09 1.39936e+07 1.33261e+09 5.96654e+08 5.89564e+08 1294
158.761 5.24866e+08 6.97657e+06 4.3338e+08 2.93226e+08 1.02901e+08 1.15688e+09 1.39241e+07 1.14127e+09 5.57071e+08 5.35262e+08 1348
197.821 5.46923e+08 7.50895e+06 4.66483e+08 2.76928e+08 1.29116e+08 9.81132e+08 1.41974e+07 8.77994e+08 5.79115e+08 4.1105e+08 1164
247.771 5.44119e+08 8.83791e+06 4.70295e+08 2.68933e+08 1.31647e+08 8.36879e+08 1.55211e+07 7.43049e+08 5.26385e+08 2.76105e+08 696
310.619 5.5373e+08 1.51746e+07 4.70295e+08 2.97963e+08 1.29017e+08 7.9422e+08 2.29445e+07 6.74785e+08 5.30864e+08 2.07841e+08 261
390.466 5.08726e+08 2.91741e+07 4.42101e+08 2.08494e+08 1.06126e+08 7.75958e+08 4.80572e+07 6.74785e+08 4.66483e+08 2.07841e+08 65
491.351 5.44712e+08 4.84984e+07 4.66944e+08 2.94092e+08 7.20832e+07 7.64116e+08 9.27321e+07 6.74785e+08 5.30864e+08 3.1462e+08 17
600.362 4.56211e+08 1.49795e+08 6.06006e+08 0 2.9959e+08 1.02961e+09 3.03003e+08 1.33261e+09 0 6.06006e+08 2
