#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.78333 - 1.95
#HM   Stats: 4.717650e+10 (median) + 3.554410e+10  / - 1.982360e+10
#SM   Stats: 1.454200e+08 (median) + 2.633190e+08  / - 8.520000e+07
#VMP  Stats: 7.202000e+01 (median) + 1.132000e+01  / - 8.269997e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.487092e-12 (median) + 2.377429e-12  / - 9.400819e-13
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 227009
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 227009
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 227009
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 227009
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 227009
sfh 0.069123 0 0 0 #avg: 2.62658e-16; avg_err: 2.04861e-16; sd: 9.76066e-14; counts: 227009
sfh 0.071373 0 0 0 #avg: 3.2556e-15; avg_err: 1.83821e-15; sd: 8.7582e-13; counts: 227009
sfh 0.073623 0 0 0 #avg: 6.69091e-15; avg_err: 3.50617e-15; sd: 1.67053e-12; counts: 227009
sfh 0.075873 0 0 0 #avg: 2.36528e-14; avg_err: 8.58987e-15; sd: 4.09267e-12; counts: 227009
sfh 0.078123 0 0 0 #avg: 4.43095e-14; avg_err: 1.39782e-14; sd: 6.65995e-12; counts: 227009
sfh 0.080373 0 0 0 #avg: 8.40579e-14; avg_err: 1.85483e-14; sd: 8.8374e-12; counts: 227009
sfh 0.082623 0 0 0 #avg: 1.70527e-13; avg_err: 2.5101e-14; sd: 1.19595e-11; counts: 227009
sfh 0.085998 0 0 0 #avg: 3.50703e-13; avg_err: 3.24197e-14; sd: 1.54465e-11; counts: 227009
sfh 0.089373 0 0 0 #avg: 7.26017e-13; avg_err: 4.48679e-14; sd: 2.13775e-11; counts: 227009
sfh 0.092748 0 0 0 #avg: 1.42931e-12; avg_err: 7.55069e-14; sd: 3.59755e-11; counts: 227009
sfh 0.096123 0 0 0 #avg: 2.41188e-12; avg_err: 1.07289e-13; sd: 5.11181e-11; counts: 227009
sfh 0.099498 0 0 0 #avg: 3.65499e-12; avg_err: 1.15111e-13; sd: 5.4845e-11; counts: 227009
sfh 0.102873 0 0 0 #avg: 5.25946e-12; avg_err: 1.25343e-13; sd: 5.97199e-11; counts: 227009
sfh 0.106248 0 0 0 #avg: 7.43119e-12; avg_err: 1.52023e-13; sd: 7.2432e-11; counts: 227009
sfh 0.109623 0 0 0 #avg: 1.00106e-11; avg_err: 1.84679e-13; sd: 8.79909e-11; counts: 227009
sfh 0.112998 0 0 0 #avg: 1.255e-11; avg_err: 1.95191e-13; sd: 9.29997e-11; counts: 227009
sfh 0.116373 0 1.29229e-13 0 #avg: 1.46828e-11; avg_err: 2.0803e-13; sd: 9.91167e-11; counts: 227009
sfh 0.119748 0 5.5682e-12 0 #avg: 1.67234e-11; avg_err: 1.97641e-13; sd: 9.41667e-11; counts: 227009
sfh 0.123123 0 1.20645e-11 0 #avg: 1.92305e-11; avg_err: 2.07215e-13; sd: 9.87285e-11; counts: 227009
sfh 0.126498 0 1.88495e-11 0 #avg: 2.23518e-11; avg_err: 2.3004e-13; sd: 1.09604e-10; counts: 227009
sfh 0.129873 0 2.61995e-11 0 #avg: 2.59663e-11; avg_err: 2.56723e-13; sd: 1.22317e-10; counts: 227009
sfh 0.133248 0 3.43099e-11 0 #avg: 2.96639e-11; avg_err: 2.64966e-13; sd: 1.26244e-10; counts: 227009
sfh 0.136623 0 4.27686e-11 0 #avg: 3.36058e-11; avg_err: 2.73424e-13; sd: 1.30274e-10; counts: 227009
sfh 0.141685 0 5.51081e-11 0 #avg: 4.01013e-11; avg_err: 3.10129e-13; sd: 1.47762e-10; counts: 227009
sfh 0.146748 1.46009e-12 6.67867e-11 1.46009e-12 #avg: 4.66261e-11; avg_err: 3.31989e-13; sd: 1.58177e-10; counts: 227009
sfh 0.15181 4.358e-12 7.62591e-11 4.358e-12 #avg: 5.23158e-11; avg_err: 3.37051e-13; sd: 1.60589e-10; counts: 227009
sfh 0.156873 7.97101e-12 8.53103e-11 7.97101e-12 #avg: 5.84784e-11; avg_err: 3.52839e-13; sd: 1.68111e-10; counts: 227009
sfh 0.161935 1.20445e-11 9.17546e-11 1.20445e-11 #avg: 6.45063e-11; avg_err: 3.81325e-13; sd: 1.81683e-10; counts: 227009
sfh 0.166998 1.63601e-11 9.85142e-11 1.63601e-11 #avg: 7.01732e-11; avg_err: 3.90897e-13; sd: 1.86244e-10; counts: 227009
sfh 0.17206 2.04346e-11 1.01854e-10 2.04346e-11 #avg: 7.42618e-11; avg_err: 3.91167e-13; sd: 1.86373e-10; counts: 227009
sfh 0.177123 2.39374e-11 1.02372e-10 2.39374e-11 #avg: 7.61357e-11; avg_err: 3.74115e-13; sd: 1.78249e-10; counts: 227009
sfh 0.182185 2.72658e-11 1.04456e-10 2.72658e-11 #avg: 7.8517e-11; avg_err: 3.66784e-13; sd: 1.74755e-10; counts: 227009
sfh 0.187248 2.97388e-11 1.06586e-10 2.92499e-11 #avg: 8.10081e-11; avg_err: 3.63129e-13; sd: 1.73014e-10; counts: 227009
sfh 0.19231 3.22215e-11 1.07743e-10 3.08289e-11 #avg: 8.2971e-11; avg_err: 3.58975e-13; sd: 1.71035e-10; counts: 227009
sfh 0.197373 3.49651e-11 1.07713e-10 3.24892e-11 #avg: 8.4765e-11; avg_err: 3.57083e-13; sd: 1.70133e-10; counts: 227009
sfh 0.202435 3.75676e-11 1.07923e-10 3.39776e-11 #avg: 8.6526e-11; avg_err: 3.51085e-13; sd: 1.67276e-10; counts: 227009
sfh 0.207498 4.01374e-11 1.08877e-10 3.54078e-11 #avg: 8.83082e-11; avg_err: 3.46487e-13; sd: 1.65085e-10; counts: 227009
sfh 0.21256 4.2811e-11 1.09694e-10 3.68746e-11 #avg: 9.03519e-11; avg_err: 3.44025e-13; sd: 1.63912e-10; counts: 227009
sfh 0.217623 4.53191e-11 1.09967e-10 3.81578e-11 #avg: 9.22046e-11; avg_err: 3.40702e-13; sd: 1.62329e-10; counts: 227009
sfh 0.222685 4.68327e-11 1.09142e-10 3.86029e-11 #avg: 9.27169e-11; avg_err: 3.38876e-13; sd: 1.61459e-10; counts: 227009
sfh 0.227748 4.83656e-11 1.08916e-10 3.91214e-11 #avg: 9.29171e-11; avg_err: 3.18304e-13; sd: 1.51657e-10; counts: 227009
sfh 0.23281 5.00792e-11 1.1002e-10 3.99141e-11 #avg: 9.43239e-11; avg_err: 3.18643e-13; sd: 1.51818e-10; counts: 227009
sfh 0.237873 5.18026e-11 1.10013e-10 4.06316e-11 #avg: 9.57064e-11; avg_err: 3.21609e-13; sd: 1.53232e-10; counts: 227009
sfh 0.242935 5.37874e-11 1.09733e-10 4.15461e-11 #avg: 9.71251e-11; avg_err: 3.23843e-13; sd: 1.54296e-10; counts: 227009
sfh 0.247998 5.62991e-11 1.11077e-10 4.30026e-11 #avg: 9.9377e-11; avg_err: 3.19914e-13; sd: 1.52424e-10; counts: 227009
sfh 0.25306 5.80777e-11 1.10865e-10 4.35873e-11 #avg: 1.00676e-10; avg_err: 3.14664e-13; sd: 1.49923e-10; counts: 227009
sfh 0.258123 5.97227e-11 1.10668e-10 4.41952e-11 #avg: 1.01645e-10; avg_err: 3.10397e-13; sd: 1.4789e-10; counts: 227009
sfh 0.263185 6.15518e-11 1.11233e-10 4.48458e-11 #avg: 1.03042e-10; avg_err: 3.08108e-13; sd: 1.46799e-10; counts: 227009
sfh 0.268248 6.29858e-11 1.09574e-10 4.50948e-11 #avg: 1.03945e-10; avg_err: 3.09225e-13; sd: 1.47331e-10; counts: 227009
