#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 3.011760e+14 (median) + 2.055890e+14  / - 1.198520e+14
#SM   Stats: 3.629570e+11 (median) + 3.100210e+11  / - 2.356420e+11
#VMP  Stats: 8.801600e+02 (median) + 2.521401e+02  / - 7.417999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.617667e-11 (median) + 4.775797e-11  / - 5.742535e-12
sfh 0.222685 450.281 210.304 434.009 #avg: 345.804; avg_err: 98.007; sd: 219.15; counts: 6
sfh 0.227748 508.486 319.242 487.446 #avg: 384.851; avg_err: 121.385; sd: 271.424; counts: 6
sfh 0.23281 424.968 315.137 404.845 #avg: 363.83; avg_err: 103.316; sd: 231.022; counts: 6
sfh 0.237873 319.625 239.355 298.506 #avg: 274.78; avg_err: 74.5499; sd: 166.699; counts: 6
sfh 0.242935 222.205 380.618 204.44 #avg: 252.402; avg_err: 77.8646; sd: 174.111; counts: 6
sfh 0.247998 218.012 423.479 200.46 #avg: 204.537; avg_err: 95.9793; sd: 214.616; counts: 6
sfh 0.25306 84.36 412.674 68.4256 #avg: 139.171; avg_err: 73.4554; sd: 164.251; counts: 6
sfh 0.258123 111.8 334.468 98.9796 #avg: 136.62; avg_err: 66.3148; sd: 148.284; counts: 6
sfh 0.263185 81.868 366.469 67.6998 #avg: 138.063; avg_err: 65.3056; sd: 146.028; counts: 6
sfh 0.268248 125.977 122.146 107.753 #avg: 128.439; avg_err: 38.7233; sd: 86.5879; counts: 6
sfh 0.27331 158.136 108.699 123.697 #avg: 140.569; avg_err: 33.5844; sd: 75.0969; counts: 6
sfh 0.278373 177.286 88.883 130.331 #avg: 153.098; avg_err: 34.2849; sd: 76.6633; counts: 6
sfh 0.283435 169.397 110.399 112.244 #avg: 158.094; avg_err: 35.7451; sd: 79.9285; counts: 6
sfh 0.288498 192.242 94.762 130.357 #avg: 165.216; avg_err: 32.3326; sd: 72.298; counts: 6
sfh 0.29356 140.149 265.488 74.0293 #avg: 172.994; avg_err: 50.5724; sd: 113.083; counts: 6
sfh 0.298623 159.697 267.965 80.8102 #avg: 196.356; avg_err: 53.7504; sd: 120.189; counts: 6
sfh 0.303685 177.332 234.281 104.834 #avg: 198.246; avg_err: 49.735; sd: 111.211; counts: 6
sfh 0.308748 146.582 188.329 47.322 #avg: 184.945; avg_err: 41.7569; sd: 93.3713; counts: 6
sfh 0.31381 159.61 205.723 62.3602 #avg: 184.729; avg_err: 41.0863; sd: 91.8717; counts: 6
sfh 0.318873 182.704 43.21 93.3811 #avg: 158.255; avg_err: 21.871; sd: 48.905; counts: 6
sfh 0.323935 149.967 35.531 64.3027 #avg: 138.289; avg_err: 17.6568; sd: 39.4817; counts: 6
sfh 0.328997 140.005 101.407 81.5854 #avg: 140.348; avg_err: 26.0615; sd: 58.2753; counts: 6
sfh 0.33406 83.0605 32.4815 63.4968 #avg: 78.0287; avg_err: 14.4584; sd: 32.33; counts: 6
sfh 0.339122 90.3264 16.6486 75.0913 #avg: 71.3697; avg_err: 15.3453; sd: 34.3131; counts: 6
sfh 0.344185 58.7943 64.6197 44.9959 #avg: 62.3272; avg_err: 17.382; sd: 38.8672; counts: 6
sfh 0.349247 86.9719 58.9911 72.1385 #avg: 69.9747; avg_err: 20.7278; sd: 46.3488; counts: 6
sfh 0.35431 91.1443 21.8657 71.4698 #avg: 62.9452; avg_err: 16.7398; sd: 37.4313; counts: 6
sfh 0.359372 44.7549 67.5851 23.8014 #avg: 52.6992; avg_err: 15.7818; sd: 35.2892; counts: 6
sfh 0.364435 36.8776 74.5544 32.8919 #avg: 50.3994; avg_err: 18.1626; sd: 40.6127; counts: 6
sfh 0.369497 42.1231 45.8316 37.5106 #avg: 44.432; avg_err: 12.9092; sd: 28.8657; counts: 6
sfh 0.37456 54.6035 27.1869 48.4119 #avg: 45.2109; avg_err: 12.2664; sd: 27.4285; counts: 6
sfh 0.379622 48.136 24.6967 41.1616 #avg: 37.1945; avg_err: 9.95997; sd: 22.2712; counts: 6
sfh 0.384685 59.1931 18.6073 55.4396 #avg: 39.4881; avg_err: 12.2795; sd: 27.4579; counts: 6
sfh 0.389747 54.4272 19.1692 50.7908 #avg: 40.6163; avg_err: 11.311; sd: 25.2922; counts: 6
