#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 11.25 - 11.75
#HM   Stats: 6.919120e+12 (median) + 1.428678e+13  / - 4.044120e+12
#SM   Stats: 2.223390e+11 (median) + 8.595499e+10  / - 3.441900e+10
#VMP  Stats: 2.880400e+02 (median) + 1.196600e+02  / - 6.415001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.624568e-11 (median) + 1.240387e-11  / - 4.878225e-12
sfh 0.055623 0 0 0 #avg: 2.74534e-15; avg_err: 2.07312e-15; sd: 1.11526e-13; counts: 2895
sfh 0.060123 0 0 0 #avg: 6.28991e-14; avg_err: 2.32637e-14; sd: 1.25149e-12; counts: 2895
sfh 0.062373 0 0 0 #avg: 1.1668e-13; avg_err: 3.55058e-14; sd: 1.91007e-12; counts: 2895
sfh 0.064623 0 0 0 #avg: 1.71399e-13; avg_err: 3.34235e-14; sd: 1.79805e-12; counts: 2895
sfh 0.066873 0 0 0 #avg: 3.64729e-13; avg_err: 4.87254e-14; sd: 2.62123e-12; counts: 2895
sfh 0.069123 0 0 0 #avg: 5.53201e-13; avg_err: 7.06144e-14; sd: 3.79876e-12; counts: 2895
sfh 0.071373 0 1.52047e-13 0 #avg: 9.85248e-13; avg_err: 1.35321e-13; sd: 7.27972e-12; counts: 2895
sfh 0.073623 0 5.40313e-13 0 #avg: 1.52018e-12; avg_err: 3.94351e-13; sd: 2.12145e-11; counts: 2895
sfh 0.075873 0 1.10993e-12 0 #avg: 1.98977e-12; avg_err: 3.4116e-13; sd: 1.8353e-11; counts: 2895
sfh 0.078123 0 2.12623e-12 0 #avg: 2.26405e-12; avg_err: 2.19868e-13; sd: 1.1828e-11; counts: 2895
sfh 0.080373 3.33713e-14 3.06107e-12 3.33713e-14 #avg: 2.6688e-12; avg_err: 2.13786e-13; sd: 1.15008e-11; counts: 2895
sfh 0.082623 1.4575e-13 3.78611e-12 1.4575e-13 #avg: 2.87165e-12; avg_err: 1.99443e-13; sd: 1.07292e-11; counts: 2895
sfh 0.085998 4.2208e-13 5.02905e-12 4.2208e-13 #avg: 4.10478e-12; avg_err: 2.52348e-13; sd: 1.35753e-11; counts: 2895
sfh 0.089373 8.53014e-13 6.01041e-12 8.53014e-13 #avg: 5.04182e-12; avg_err: 2.94236e-13; sd: 1.58287e-11; counts: 2895
sfh 0.092748 1.31403e-12 7.43476e-12 1.28416e-12 #avg: 5.78745e-12; avg_err: 3.01869e-13; sd: 1.62393e-11; counts: 2895
