#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.78333 - 2.95
#HM   Stats: 1.003680e+14 (median) + 7.404399e+13  / - 2.789740e+13
#SM   Stats: 2.045910e+11 (median) + 2.885390e+11  / - 1.426416e+11
#VMP  Stats: 7.195800e+02 (median) + 2.237000e+01  / - 9.889001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.159313e-11 (median) + 8.005061e-11  / - 1.036859e-11
sfh 0.055623 0 0 0 #avg: 0.250055; avg_err: 0.250055; sd: 0.661583; counts: 8
sfh 0.060123 0 0 0 #avg: 0.527873; avg_err: 0.527873; sd: 1.39662; counts: 8
sfh 0.062373 0 0 0 #avg: 1.03786; avg_err: 1.03786; sd: 2.74591; counts: 8
sfh 0.064623 0 0 0 #avg: 0.772743; avg_err: 0.772743; sd: 2.04448; counts: 8
sfh 0.066873 0 0.492981 0 #avg: 0.591742; avg_err: 0.515915; sd: 1.36498; counts: 8
sfh 0.069123 0 0.791278 0 #avg: 0.505155; avg_err: 0.38054; sd: 1.00681; counts: 8
sfh 0.071373 0.165255 1.00639 0.165255 #avg: 0.924535; avg_err: 0.64893; sd: 1.71691; counts: 8
sfh 0.073623 0.57173 0.98488 0.57173 #avg: 0.950095; avg_err: 0.52306; sd: 1.38389; counts: 8
sfh 0.075873 0.788643 2.2315 0.788643 #avg: 1.40878; avg_err: 0.615238; sd: 1.62777; counts: 8
sfh 0.078123 1.5174 4.34978 1.50271 #avg: 2.45574; avg_err: 1.10872; sd: 2.9334; counts: 8
sfh 0.080373 3.12156 7.00014 3.0962 #avg: 3.98166; avg_err: 1.5983; sd: 4.22872; counts: 8
sfh 0.082623 4.37145 6.01725 4.34869 #avg: 5.33574; avg_err: 2.23389; sd: 5.91032; counts: 8
sfh 0.085998 6.07342 30.8397 5.9621 #avg: 13.4487; avg_err: 5.93863; sd: 15.7121; counts: 8
sfh 0.089373 7.52929 58.7265 7.35968 #avg: 26.7144; avg_err: 14.6991; sd: 38.8903; counts: 8
sfh 0.092748 7.1894 42.1499 6.84504 #avg: 26.4177; avg_err: 14.8484; sd: 39.2851; counts: 8
sfh 0.096123 6.69095 39.5808 5.67119 #avg: 20.8013; avg_err: 9.28851; sd: 24.5751; counts: 8
sfh 0.099498 20.1756 36.972 19.511 #avg: 21.6618; avg_err: 8.78684; sd: 23.2478; counts: 8
sfh 0.102873 11.7359 18.3427 10.7875 #avg: 14.1747; avg_err: 4.87206; sd: 12.8903; counts: 8
sfh 0.106248 12.9029 28.4431 11.2372 #avg: 22.5922; avg_err: 10.8701; sd: 28.7595; counts: 8
sfh 0.109623 15.276 47.5912 13.3077 #avg: 27.5899; avg_err: 13.5059; sd: 35.7332; counts: 8
sfh 0.112998 17.219 18.4443 15.3573 #avg: 18.0837; avg_err: 6.75315; sd: 17.8672; counts: 8
sfh 0.116373 21.8428 28.6121 19.2479 #avg: 22.4763; avg_err: 7.24987; sd: 19.1814; counts: 8
sfh 0.119748 28.8843 9.7642 25.2947 #avg: 22.9032; avg_err: 7.07094; sd: 18.708; counts: 8
sfh 0.123123 21.5069 63.5783 17.4867 #avg: 39.4531; avg_err: 17.0819; sd: 45.1946; counts: 8
sfh 0.126498 24.5179 110.318 20.3682 #avg: 53.6023; avg_err: 26.9651; sd: 71.343; counts: 8
sfh 0.129873 50.2489 84.1071 46.5178 #avg: 64.1135; avg_err: 30.1362; sd: 79.7329; counts: 8
sfh 0.133248 44.7427 46.8877 40.8304 #avg: 53.6367; avg_err: 24.2909; sd: 64.2676; counts: 8
sfh 0.136623 24.9124 65.1739 20.4005 #avg: 58.1178; avg_err: 28.038; sd: 74.1816; counts: 8
sfh 0.141685 24.0144 59.6606 15.505 #avg: 60.1905; avg_err: 31.2263; sd: 82.6169; counts: 8
sfh 0.146748 25.402 69.6397 14.6205 #avg: 49.4295; avg_err: 20.31; sd: 53.7353; counts: 8
sfh 0.15181 26.7508 72.5068 20.1839 #avg: 68.6178; avg_err: 40.5621; sd: 107.317; counts: 8
sfh 0.156873 31.2953 53.4496 24.7348 #avg: 72.8293; avg_err: 46.9015; sd: 124.09; counts: 8
sfh 0.161935 31.3114 72.2596 24.8862 #avg: 84.053; avg_err: 53.8002; sd: 142.342; counts: 8
sfh 0.166998 45.7247 64.7153 37.9368 #avg: 101.704; avg_err: 65.9949; sd: 174.606; counts: 8
sfh 0.17206 39.3203 77.4107 28.1842 #avg: 109.615; avg_err: 68.6147; sd: 181.537; counts: 8
sfh 0.177123 34.3631 102.801 19.8561 #avg: 98.3223; avg_err: 49.0703; sd: 129.828; counts: 8
sfh 0.182185 33.7327 153.366 8.7258 #avg: 77.7357; avg_err: 27.6006; sd: 73.0244; counts: 8
sfh 0.187248 44.1385 166.074 17.7641 #avg: 93.3919; avg_err: 34.4054; sd: 91.0281; counts: 8
sfh 0.19231 101.129 146.911 80.1042 #avg: 113.446; avg_err: 38.8759; sd: 102.856; counts: 8
sfh 0.197373 92.7655 140.352 73.5009 #avg: 111.482; avg_err: 38.9286; sd: 102.995; counts: 8
sfh 0.202435 38.6088 149.04 18.9424 #avg: 72.8028; avg_err: 28.281; sd: 74.8244; counts: 8
sfh 0.207498 43.208 111.562 26.6161 #avg: 74.0422; avg_err: 28.6166; sd: 75.7124; counts: 8
sfh 0.21256 30.3499 96.7901 23.7186 #avg: 59.0271; avg_err: 23.0555; sd: 60.9991; counts: 8
sfh 0.217623 48.8995 147.865 43.0784 #avg: 82.9616; avg_err: 32.6233; sd: 86.3132; counts: 8
sfh 0.222685 53.9594 167.131 44.2117 #avg: 93.1026; avg_err: 34.6456; sd: 91.6636; counts: 8
sfh 0.227748 60.0218 205.877 49.9122 #avg: 113.772; avg_err: 42.8936; sd: 113.486; counts: 8
sfh 0.23281 52.3521 160.428 41.5901 #avg: 109.102; avg_err: 43.6526; sd: 115.494; counts: 8
sfh 0.237873 54.4718 240.314 36.9693 #avg: 136.346; avg_err: 53.2933; sd: 141.001; counts: 8
sfh 0.242935 63.4981 212.244 32.5935 #avg: 149.771; avg_err: 70.0495; sd: 185.333; counts: 8
sfh 0.247998 67.8836 354.288 44.8791 #avg: 164.589; avg_err: 75.9131; sd: 200.847; counts: 8
sfh 0.25306 98.5 350.951 72.8667 #avg: 201.406; avg_err: 99.2698; sd: 262.643; counts: 8
sfh 0.258123 111.839 385.242 88.4516 #avg: 205.564; avg_err: 93.956; sd: 248.584; counts: 8
sfh 0.263185 122.483 430.797 97.5643 #avg: 234.589; avg_err: 98.5114; sd: 260.637; counts: 8
sfh 0.268248 123.251 393.05 96.0004 #avg: 228.468; avg_err: 91.8163; sd: 242.923; counts: 8
sfh 0.27331 193.615 313.908 159.128 #avg: 225.09; avg_err: 71.5818; sd: 189.388; counts: 8
sfh 0.278373 185.77 209.61 134.253 #avg: 204.476; avg_err: 59.7583; sd: 158.106; counts: 8
sfh 0.283435 180.386 99.758 106.668 #avg: 169.43; avg_err: 43.5877; sd: 115.322; counts: 8
sfh 0.288498 104.901 139.416 36.3187 #avg: 141.781; avg_err: 38.8942; sd: 102.904; counts: 8
sfh 0.29356 148.891 52.894 75.6947 #avg: 133.769; avg_err: 31.4993; sd: 83.3394; counts: 8
sfh 0.298623 141.267 46.851 129.035 #avg: 127.8; avg_err: 31.7417; sd: 83.9808; counts: 8
sfh 0.303685 114.298 165.97 67.5675 #avg: 137.076; avg_err: 41.3776; sd: 109.475; counts: 8
sfh 0.308748 99.4198 220.146 88.8605 #avg: 143.037; avg_err: 49.7029; sd: 131.502; counts: 8
sfh 0.31381 114.657 101.04 112.543 #avg: 133.547; avg_err: 44.9018; sd: 118.799; counts: 8
sfh 0.318873 113.091 124.455 111.3 #avg: 122.56; avg_err: 48.4917; sd: 128.297; counts: 8
sfh 0.323935 66.0649 105.555 64.2773 #avg: 95.1739; avg_err: 43.9478; sd: 116.275; counts: 8
sfh 0.328997 103.409 87.725 102.103 #avg: 105.328; avg_err: 46.915; sd: 124.126; counts: 8
sfh 0.33406 60.4623 97.2237 59.3092 #avg: 79.7703; avg_err: 36.2844; sd: 95.9995; counts: 8
sfh 0.339122 32.2783 122.967 31.5433 #avg: 59.3824; avg_err: 29.7165; sd: 78.6226; counts: 8
sfh 0.344185 28.2681 74.3219 27.0429 #avg: 44.5431; avg_err: 21.7611; sd: 57.5744; counts: 8
sfh 0.349247 41.2892 27.1442 39.4928 #avg: 41.42; avg_err: 18.2143; sd: 48.1905; counts: 8
sfh 0.35431 45.2847 32.1152 43.0465 #avg: 53.9167; avg_err: 26.0445; sd: 68.9072; counts: 8
sfh 0.359372 49.6611 50.5879 45.2622 #avg: 58.1557; avg_err: 26.5889; sd: 70.3477; counts: 8
sfh 0.364435 47.0017 39.7674 42.6758 #avg: 48.5119; avg_err: 19.286; sd: 51.0259; counts: 8
sfh 0.369497 66.8127 8.7291 62.7199 #avg: 51.8841; avg_err: 21.9696; sd: 58.126; counts: 8
sfh 0.37456 16.0598 72.593 12.3724 #avg: 35.442; avg_err: 14.2126; sd: 37.603; counts: 8
sfh 0.379622 17.3744 33.5481 14.3642 #avg: 28.3558; avg_err: 11.569; sd: 30.6088; counts: 8
sfh 0.384685 16.0035 36.4166 12.3221 #avg: 30.8187; avg_err: 14.5881; sd: 38.5966; counts: 8
sfh 0.389747 10.8818 27.9731 8.33428 #avg: 26.5955; avg_err: 14.9961; sd: 39.6759; counts: 8
sfh 0.39481 8.39016 27.895 5.73077 #avg: 24.912; avg_err: 13.4394; sd: 35.5572; counts: 8
sfh 0.399872 30.0254 16.8797 27.5779 #avg: 30.7064; avg_err: 13.9725; sd: 36.9676; counts: 8
sfh 0.404935 32.8773 8.6323 30.8694 #avg: 38.2873; avg_err: 21.1288; sd: 55.9016; counts: 8
sfh 0.409997 9.86298 27.3869 7.87337 #avg: 39.0005; avg_err: 25.4101; sd: 67.2287; counts: 8
sfh 0.41506 6.80785 33.6357 4.40402 #avg: 36.1848; avg_err: 23.415; sd: 61.9501; counts: 8
sfh 0.420122 6.77443 39.1665 4.34918 #avg: 28.1427; avg_err: 16.0192; sd: 42.3829; counts: 8
sfh 0.425185 5.06522 36.862 2.64461 #avg: 26.0718; avg_err: 17.7785; sd: 47.0375; counts: 8
sfh 0.430247 5.88149 24.232 3.38346 #avg: 20.1359; avg_err: 12.5168; sd: 33.1164; counts: 8
sfh 0.43531 10.1036 16.8497 7.63355 #avg: 15.9912; avg_err: 7.72749; sd: 20.445; counts: 8
sfh 0.440372 10.9093 12.1032 7.77303 #avg: 17.6307; avg_err: 9.6293; sd: 25.4767; counts: 8
sfh 0.445435 10.6382 12.3728 7.33904 #avg: 17.3217; avg_err: 8.57354; sd: 22.6835; counts: 8
sfh 0.450497 7.98322 9.54958 4.35443 #avg: 15.0312; avg_err: 7.42319; sd: 19.6399; counts: 8
sfh 0.45556 11.9599 5.8111 11.6082 #avg: 15.5271; avg_err: 7.88563; sd: 20.8634; counts: 8
sfh 0.460622 6.35153 12.1671 5.86798 #avg: 10.231; avg_err: 4.0019; sd: 10.588; counts: 8
sfh 0.465685 5.84364 12.8231 5.29087 #avg: 8.9284; avg_err: 3.605; sd: 9.53792; counts: 8
sfh 0.470747 5.9711 14.8055 5.10278 #avg: 10.3809; avg_err: 3.5467; sd: 9.38367; counts: 8
sfh 0.47581 5.93937 22.2678 5.05916 #avg: 11.1612; avg_err: 4.14355; sd: 10.9628; counts: 8
sfh 0.480872 6.34481 16.2502 5.64611 #avg: 11.0683; avg_err: 4.19696; sd: 11.1041; counts: 8
sfh 0.485935 6.48831 8.62339 5.88243 #avg: 8.65677; avg_err: 3.49542; sd: 9.24801; counts: 8
sfh 0.490997 6.65366 8.76884 6.23054 #avg: 8.78392; avg_err: 3.6217; sd: 9.58213; counts: 8
sfh 0.49606 6.86163 12.5524 6.37565 #avg: 7.8526; avg_err: 2.69122; sd: 7.1203; counts: 8
sfh 0.501122 6.8251 10.0605 6.33578 #avg: 7.9761; avg_err: 2.46492; sd: 6.52156; counts: 8
sfh 0.506185 6.60564 11.5599 6.27081 #avg: 8.47838; avg_err: 2.8382; sd: 7.50917; counts: 8
sfh 0.511247 6.02628 11.5414 5.69294 #avg: 7.71195; avg_err: 2.56758; sd: 6.79317; counts: 8
sfh 0.51631 5.91359 8.56881 5.64143 #avg: 7.51559; avg_err: 2.48599; sd: 6.57732; counts: 8
sfh 0.521372 5.572 3.26557 5.33687 #avg: 6.04832; avg_err: 2.37732; sd: 6.28979; counts: 8
sfh 0.526435 5.32713 3.50005 5.11439 #avg: 5.79447; avg_err: 2.09561; sd: 5.54447; counts: 8
sfh 0.531497 5.51558 3.39252 5.32164 #avg: 5.85866; avg_err: 2.19856; sd: 5.81685; counts: 8
sfh 0.53656 5.29844 4.21192 5.1339 #avg: 6.09382; avg_err: 2.25321; sd: 5.96142; counts: 8
sfh 0.541622 4.64914 1.79487 4.44752 #avg: 3.5197; avg_err: 1.22704; sd: 3.24643; counts: 8
sfh 0.546685 5.75657 1.76337 5.47815 #avg: 4.02059; avg_err: 1.23583; sd: 3.26969; counts: 8
sfh 0.551747 5.13611 0.87036 4.84178 #avg: 3.3194; avg_err: 1.02473; sd: 2.71117; counts: 8
sfh 0.55681 3.42765 2.30076 3.12945 #avg: 3.05464; avg_err: 0.987654; sd: 2.61309; counts: 8
sfh 0.561872 4.83657 3.45576 4.57815 #avg: 5.61358; avg_err: 2.62462; sd: 6.94409; counts: 8
sfh 0.566935 2.84607 2.06619 2.59341 #avg: 2.93561; avg_err: 0.994863; sd: 2.63216; counts: 8
sfh 0.571997 3.67273 1.11929 3.46269 #avg: 3.13025; avg_err: 1.06012; sd: 2.80481; counts: 8
sfh 0.57706 3.90509 1.79519 3.73508 #avg: 3.39138; avg_err: 1.10444; sd: 2.92209; counts: 8
sfh 0.582123 3.61314 5.74532 3.47387 #avg: 4.19761; avg_err: 1.30583; sd: 3.45491; counts: 8
