#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
42.7176 0 0 0 0 0 0 0.0813953 0.0147713 0.0635821 0.0689264 0.0486493 27
64.5696 0.222222 0.222222 0.146986 0 1 0 0.142795 0.0821726 0.0145546 0.29041 0.00151865 9
83.4885 0.031746 0.031746 0.0222661 0 0 0 0.17335 0.0189905 0.107833 0.249553 0.0934569 63
103.47 0.0714286 0.0714286 0.0143744 0 0 0 0.196546 0.00943007 0.158102 0.200957 0.118333 322
128.808 0.0571837 0.0571837 0.00621006 0 0 0 0.20187 0.00441652 0.161047 0.216136 0.121361 1399
160.163 0.0629584 0.0647922 0.00443237 0 0 0 0.221868 0.00298321 0.183149 0.217112 0.12642 3272
199.408 0.0518483 0.0520883 0.00345977 0 0 0 0.229358 0.00256553 0.198792 0.206709 0.135778 4166
247.907 0.0524297 0.0530691 0.0040595 0 0 0 0.242167 0.00289959 0.220401 0.193027 0.154835 3128
310.082 0.0406447 0.0406447 0.00522916 0 0 0 0.267499 0.00434254 0.24907 0.191407 0.159504 1427
386.922 0.068323 0.068323 0.0114919 0 0 0 0.299746 0.00703255 0.295975 0.156965 0.163997 483
486.511 0.0294118 0.0294118 0.0145416 0 0 0 0.302852 0.0137191 0.290006 0.185822 0.157347 136
617.568 0.0555556 0.0555556 0.0555556 0 0 0 0.307642 0.0230372 0.290361 0.165413 0.0731643 18
805.615 0 0 0 0 0 0 0.484266 0.141912 0.386245 0.377707 0.0836434 3
